序列号,名称,是否直刷（是否有触发类判断条件）,阵营,类型（0不存在 1基地 2水晶 4塔 8兵 16野怪 32策略野怪）,建筑类型（0代表无，1 塔， 2 水晶 ）,是否开启静态图标（0否）,图标ID（野怪专用，对应MinimapStaticIcon脚本控制是否显示图标）,战场ID,刷怪类型 1 正常刷兵 2 随机方式 3 时段方式 4、时段随机方式,怪物表类型ID列表,时间段,比例列表（扩大100倍）,起始时间（定时器包括刷新时间2秒检测一次）,刷新时间,同步最后刷新时间列,基础等级,升级时间,最大等级,怪物时间序列（控制是否显示显示哪个倒计时）,怪物对应战绩表位置,路径ID,触发类型（0没有1塔2影响刷兵修改是否直刷3基地保护事件4基地保护互斥事件5根据凶手刷不同阵营的怪物6三路水晶同时破掉事件）,影响序列号,影响Pam(填0不刷填1刷),死亡触发类型（0没有1塔2影响刷兵3基地保护事件4基地保护互斥事件5根据凶手刷不同阵营的怪物6三路水晶同时破掉事件）,死亡影响序列号,死亡影响Pam,路径类型上路中路下路全部路对应 1 2 4 7
235,2阵营上路水晶,1,2,2,2,0,1,2,1,206,,,3,300,-1,1,0,0,0,0,13,2;4;4;2;6,264;248;231;258;294,0;1025;1026;1;0,2;4;4;2;6,264;248;231;258;294,1;1025;1026;0;1,
236,2阵营中路水晶,1,2,2,2,0,1,2,1,207,,,3,300,-1,1,0,0,0,0,14,2;4;4;2;6,265;248;231;259;295,0;1025;1026;1;0,2;4;4;2;6,265;248;231;259;295,1;1025;1026;0;1,
237,2阵营下路水晶,1,2,2,2,0,1,2,1,208,,,3,300,-1,1,0,0,0,0,15,2;4;4;2;6,266;248;231;260;296,0;1025;1026;1;0,2;4;4;2;6,266;248;231;260;296,1;1025;1026;0;1,
238,1阵营基地塔1,1,1,4,1,0,2,2,1,209,,,2,0,-1,1,0,0,0,0,-1,3,230,1025,3,230,1025,
239,1阵营上路一塔,1,1,4,1,0,2,2,1,211,,,6,0,-1,1,0,0,0,0,13,1,240,1025,1,240,1025,
240,1阵营上路二塔,1,1,4,1,0,2,2,1,212,,,5,0,-1,1,0,0,0,0,13,1,241,1025,1,241,1025,
241,1阵营上路三塔,1,1,4,1,0,2,2,1,213,,,4,0,-1,1,0,0,0,0,13,1,232,1025,1,232,1025,
242,1阵营中路一塔,1,1,4,1,0,2,2,1,214,,,6,0,-1,1,0,0,0,0,14,1,243,1025,1,243,1025,
243,1阵营中路二塔,1,1,4,1,0,2,2,1,215,,,5,0,-1,1,0,0,0,0,14,1,244,1025,1,244,1025,
244,1阵营中路三塔,1,1,4,1,0,2,2,1,216,,,4,0,-1,1,0,0,0,0,14,1,233,1025,1,233,1025,
245,1阵营下路一塔,1,1,4,1,0,2,2,1,217,,,6,0,-1,1,0,0,0,0,15,1,246,1025,1,246,1025,
246,1阵营下路二塔,1,1,4,1,0,2,2,1,218,,,5,0,-1,1,0,0,0,0,15,1,247,1025,1,247,1025,
247,1阵营下路三塔,1,1,4,1,0,2,2,1,219,,,4,0,-1,1,0,0,0,0,15,1,234,1025,1,234,1025,
248,2阵营基地塔2,1,2,4,1,0,2,2,1,220,,,2,0,-1,1,0,0,0,0,-1,3,231,1025,3,231,1025,
249,2阵营上路一塔,1,2,4,1,0,2,2,1,222,,,6,0,-1,1,0,0,0,0,13,1,250,1025,1,250,1025,
250,2阵营上路二塔,1,2,4,1,0,2,2,1,223,,,5,0,-1,1,0,0,0,0,13,1,251,1025,1,251,1025,
251,2阵营上路三塔,1,2,4,1,0,2,2,1,224,,,4,0,-1,1,0,0,0,0,13,1,235,1025,1,235,1025,
252,2阵营中路一塔,1,2,4,1,0,2,2,1,225,,,6,0,-1,1,0,0,0,0,14,1,253,1025,1,253,1025,
253,2阵营中路二塔,1,2,4,1,0,2,2,1,226,,,5,0,-1,1,0,0,0,0,14,1,254,1025,1,254,1025,
254,2阵营中路三塔,1,2,4,1,0,2,2,1,227,,,4,0,-1,1,0,0,0,0,14,1,236,1025,1,236,1025,
255,2阵营下路一塔,1,2,4,1,0,2,2,1,228,,,6,0,-1,1,0,0,0,0,15,1,256,1025,1,256,1025,
256,2阵营下路二塔,1,2,4,1,0,2,2,1,229,,,5,0,-1,1,0,0,0,0,15,1,257,1025,1,257,1025,
257,2阵营下路三塔,1,2,4,1,0,2,2,1,230,,,4,0,-1,1,0,0,0,0,15,1,237,1025,1,237,1025,
258,1阵营上路近战小兵,1,1,8,0,0,3,2,1,240,,,55,30,164;294,1,60,45,0,0,13,0,0,0,0,0,0,1
259,1阵营中路近战小兵,1,1,8,0,0,3,2,1,241,,,55,30,165;295,1,60,45,0,0,14,0,0,0,0,0,0,2
260,1阵营下路近战小兵,1,1,8,0,0,3,2,1,242,,,55,30,166;296,1,60,45,0,0,15,0,0,0,0,0,0,4
261,2阵营上路近战小兵,1,2,8,0,0,3,2,1,243,,,55,30,167;297,1,60,45,0,0,13,0,0,0,0,0,0,1
262,2阵营中路近战小兵,1,2,8,0,0,3,2,1,244,,,55,30,168;298,1,60,45,0,0,14,0,0,0,0,0,0,2
263,2阵营下路近战小兵,1,2,8,0,0,3,2,1,245,,,55,30,169;299,1,60,45,0,0,15,0,0,0,0,0,0,4
264,1阵营超级兵上路近战小兵,0,1,8,0,0,3,2,1,246,,,0,30,258,1,60,45,0,0,13,0,0,0,0,0,0,1
265,1阵营超级兵中路近战小兵,0,1,8,0,0,3,2,1,247,,,0,30,259,1,60,45,0,0,14,0,0,0,0,0,0,2
266,1阵营超级兵下路近战小兵,0,1,8,0,0,3,2,1,248,,,0,30,260,1,60,45,0,0,15,0,0,0,0,0,0,4
267,2阵营超级兵上路近战小兵,0,2,8,0,0,3,2,1,249,,,0,30,261,1,60,45,0,0,13,0,0,0,0,0,0,1
268,2阵营超级兵中路近战小兵,0,2,8,0,0,3,2,1,250,,,0,30,262,1,60,45,0,0,14,0,0,0,0,0,0,2
269,2阵营超级兵下路近战小兵,0,2,8,0,0,3,2,1,251,,,0,30,263,1,60,45,0,0,15,0,0,0,0,0,0,4
270,3雕纹魔像,1,0,32,0,0,14,2,1,252,,,1200,420,-1,1,60,20,16,5,-1,0,0,0,5;5,322;324,1;2,
271,3小BOSS,1,0,32,0,0,15,2,3,253;343,1200,,600,300,-1,1,60,20,21,6,-1,0,0,0,5;5,320;321,1;2,
272,31红buff,1,0,16,0,0,16,2,1,254,,,90,300,-1,1,60,30,17,1,-1,0,0,0,0,0,0,
273,31蓝buff,1,0,16,0,0,17,2,1,255,,,90,300,-1,1,60,30,18,3,-1,0,0,0,0,0,0,
274,32红buff,1,0,16,0,0,18,2,1,256,,,90,300,-1,1,60,30,19,4,-1,0,0,0,0,0,0,
275,32蓝buff,1,0,16,0,0,19,2,1,257,,,90,300,-1,1,60,30,20,2,-1,0,0,0,0,0,0,
276,312石甲虫,1,0,16,0,0,21,2,1,258,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
277,314锋啄鸟,1,0,16,0,0,22,2,1,259,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
278,313暗影狼,1,0,16,0,0,23,2,1,260,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
279,322石甲虫,1,0,16,0,0,24,2,1,261,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
280,324锋啄鸟,1,0,16,0,0,25,2,1,262,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
281,323暗影狼,1,0,16,0,0,26,2,1,263,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
282,31魔沼蛙,1,0,16,0,0,27,2,1,264,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
283,32魔沼蛙,1,0,16,0,0,28,2,1,265,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
284,31峡谷迅捷蟹,1,0,16,0,0,29,2,1,266,,,90,180,-1,1,60,30,0,0,-1,0,0,0,5;5,290;291,1;2,
285,32峡谷迅捷蟹,1,0,16,0,0,30,2,1,267,,,90,180,-1,1,60,30,0,0,-1,0,0,0,5;5,292;293,1;2,
286,1阵营泉水,1,1,2,0,0,0,2,1,268,,,0,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
287,2阵营泉水,1,2,2,0,0,0,2,1,269,,,0,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
288,1阵营围墙,1,1,2,0,0,0,2,1,270,,,4,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
289,2阵营围墙,1,2,2,0,0,0,2,1,271,,,4,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
290,311峡谷迅捷蟹,0,1,16,0,0,0,2,1,272,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
291,312峡谷迅捷蟹,0,2,16,0,0,0,2,1,273,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
292,321峡谷迅捷蟹,0,1,16,0,0,0,2,1,274,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
293,322峡谷迅捷蟹,0,2,16,0,0,0,2,1,275,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
294,1阵营3水晶破超级兵上路头目小兵,0,1,8,0,0,3,2,1,276,,,0,30,258,1,60,45,0,0,13,0,0,0,0,0,0,1
295,1阵营3水晶破超级兵中路头目小兵,0,1,8,0,0,3,2,1,277,,,0,30,259,1,60,45,0,0,14,0,0,0,0,0,0,2
296,1阵营3水晶破超级兵下路头目小兵,0,1,8,0,0,3,2,1,278,,,0,30,260,1,60,45,0,0,15,0,0,0,0,0,0,4
297,2阵营3水晶破超级兵上路头目小兵,0,2,8,0,0,3,2,1,279,,,0,30,261,1,60,45,0,0,13,0,0,0,0,0,0,1
298,2阵营3水晶破超级兵中路头目小兵,0,2,8,0,0,3,2,1,280,,,0,30,262,1,60,45,0,0,14,0,0,0,0,0,0,2
299,2阵营3水晶破超级兵下路头目小兵,0,2,8,0,0,3,2,1,281,,,0,30,263,1,60,45,0,0,15,0,0,0,0,0,0,4
300,补给点,1,0,16,0,0,0,2,1,315,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
301,补给点,1,0,16,0,0,0,2,1,316,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
302,补给点,1,0,16,0,0,0,2,1,317,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
303,补给点,1,0,16,0,0,0,2,1,318,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
304,补给点,1,0,16,0,0,0,2,1,319,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
305,补给点,1,0,16,0,0,0,2,1,320,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
306,补给点,1,0,16,0,0,0,2,1,321,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
307,补给点,1,0,16,0,0,0,2,1,322,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
308,补给点,1,0,16,0,0,0,2,1,323,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
309,补给点,1,0,16,0,0,0,2,1,324,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
310,补给点,1,0,16,0,0,0,2,1,325,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
311,补给点,1,0,16,0,0,0,2,1,326,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
312,补给点,1,0,16,0,0,0,2,1,327,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
313,补给点,1,0,16,0,0,0,2,1,328,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
314,补给点,1,0,16,0,0,0,2,1,329,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
315,补给点,1,0,16,0,0,0,2,1,330,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
316,补给点,1,0,16,0,0,0,2,1,331,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
317,补给点,1,0,16,0,0,0,2,1,332,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
318,补给点,1,0,16,0,0,0,2,1,333,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
319,补给点,1,0,16,0,0,0,2,1,334,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
320,3小BOSS,0,1,8,0,0,0,2,1,335,,,600,0,-1,1,60,20,0,0,16,0,0,0,0,0,0,
321,3小BOSS,0,2,8,0,0,0,2,1,336,,,600,0,-1,1,60,20,0,0,17,0,0,0,0,0,0,
322,龙血,0,1,8,0,0,0,2,1,338,,,600,0,-1,1,60,20,0,0,16,0,0,0,0,0,0,
323,3小BOSS刷新提示,1,0,16,0,0,35,2,1,339,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
324,龙血,0,2,8,0,0,0,2,1,340,,,600,0,-1,1,60,20,0,0,17,0,0,0,0,0,0,
325,黑龙使者,1,0,16,0,0,36,2,1,341,,,180,100000,-1,1,60,7,0,7,-1,0,0,0,0,0,0,
326,红龙使者,1,0,16,0,0,37,2,1,342,,,180,100000,-1,1,60,7,0,8,-1,0,0,0,0,0,0,
328,驯服烈龙,0,1,8,0,0,0,2,1,344,,,0,0,-1,1,60,10,0,0,16,0,0,0,0,0,0,
329,驯服烈龙,0,2,8,0,0,0,2,1,345,,,0,0,-1,1,60,10,0,0,17,0,0,0,0,0,0,
530,1阵营基地,1,1,1,0,0,4,8,1,501,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
531,2阵营基地,1,2,1,0,0,4,8,1,502,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
532,1阵营上路水晶,1,1,2,1,0,1,8,1,503,,,3,0,-1,1,0,0,0,0,23,2;4;4;2;6,567;538;530;561;597,0;1025;1026;1;0,2;4;4;2;6;6,567;538;530;561;597;634,1;1025;1026;0;1;1,
533,1阵营中路水晶,1,1,2,1,0,1,8,1,504,,,3,0,-1,1,0,0,0,0,24,2;4;4;2;6,568;538;530;562;598,0;1025;1026;1;0,2;4;4;2;6;6,568;538;530;562;598;635,1;1025;1026;0;1;1,
534,1阵营下路水晶,1,1,2,1,0,1,8,1,505,,,3,0,-1,1,0,0,0,0,25,2;4;4;2;6,569;538;530;563;599,0;1025;1026;1;0,2;4;4;2;6;6,569;538;530;563;599;636,1;1025;1026;0;1;1,
535,2阵营上路水晶,1,2,2,1,0,1,8,1,506,,,3,0,-1,1,0,0,0,0,23,2;4;4;2;6,564;548;531;558;594,0;1025;1026;1;0,2;4;4;2;6;6,564;548;531;558;594;637,1;1025;1026;0;1;1,
536,2阵营中路水晶,1,2,2,1,0,1,8,1,507,,,3,0,-1,1,0,0,0,0,24,2;4;4;2;6,565;548;531;559;595,0;1025;1026;1;0,2;4;4;2;6;6,565;548;531;559;595;638,1;1025;1026;0;1;1,
537,2阵营下路水晶,1,2,2,1,0,1,8,1,508,,,3,0,-1,1,0,0,0,0,25,2;4;4;2;6,566;548;531;560;596,0;1025;1026;1;0,2;4;4;2;6;6,566;548;531;560;596;639,1;1025;1026;0;1;1,
538,1阵营基地塔1,1,1,4,1,0,2,8,1,509,,,2,0,-1,1,0,0,0,0,-1,3,530,1025,3,530,1025,
539,1阵营上路一塔,1,1,4,1,0,2,8,1,511,,,6,0,-1,1,0,0,0,0,23,1,540,1025,1,540,1025,
540,1阵营上路二塔,1,1,4,1,0,2,8,1,512,,,5,0,-1,1,0,0,0,0,23,1,541,1025,1,541,1025,
541,1阵营上路三塔,1,1,4,1,0,2,8,1,513,,,4,0,-1,1,0,0,0,0,23,1,532,1025,1,532,1025,
542,1阵营中路一塔,1,1,4,1,0,2,8,1,514,,,6,0,-1,1,0,0,0,0,24,1,543,1025,1,543,1025,
543,1阵营中路二塔,1,1,4,1,0,2,8,1,515,,,5,0,-1,1,0,0,0,0,24,1,544,1025,1,544,1025,
544,1阵营中路三塔,1,1,4,1,0,2,8,1,516,,,4,0,-1,1,0,0,0,0,24,1,533,1025,1,533,1025,
545,1阵营下路一塔,1,1,4,1,0,2,8,1,517,,,6,0,-1,1,0,0,0,0,25,1,546,1025,1,546,1025,
546,1阵营下路二塔,1,1,4,1,0,2,8,1,518,,,5,0,-1,1,0,0,0,0,25,1,547,1025,1,547,1025,
547,1阵营下路三塔,1,1,4,1,0,2,8,1,519,,,4,0,-1,1,0,0,0,0,25,1,534,1025,1,534,1025,
548,2阵营基地塔2,1,2,4,1,0,2,8,1,520,,,2,0,-1,1,0,0,0,0,-1,3,531,1025,3,531,1025,
549,2阵营上路一塔,1,2,4,1,0,2,8,1,522,,,6,0,-1,1,0,0,0,0,23,1,550,1025,1,550,1025,
550,2阵营上路二塔,1,2,4,1,0,2,8,1,523,,,5,0,-1,1,0,0,0,0,23,1,551,1025,1,551,1025,
551,2阵营上路三塔,1,2,4,1,0,2,8,1,524,,,4,0,-1,1,0,0,0,0,23,1,535,1025,1,535,1025,
552,2阵营中路一塔,1,2,4,1,0,2,8,1,525,,,6,0,-1,1,0,0,0,0,24,1,553,1025,1,553,1025,
553,2阵营中路二塔,1,2,4,1,0,2,8,1,526,,,5,0,-1,1,0,0,0,0,24,1,554,1025,1,554,1025,
554,2阵营中路三塔,1,2,4,1,0,2,8,1,527,,,4,0,-1,1,0,0,0,0,24,1,536,1025,1,536,1025,
555,2阵营下路一塔,1,2,4,1,0,2,8,1,528,,,6,0,-1,1,0,0,0,0,25,1,556,1025,1,556,1025,
556,2阵营下路二塔,1,2,4,1,0,2,8,1,529,,,5,0,-1,1,0,0,0,0,25,1,557,1025,1,557,1025,
557,2阵营下路三塔,1,2,4,1,0,2,8,1,530,,,4,0,-1,1,0,0,0,0,25,1,537,1025,1,537,1025,
558,1阵营上路近战小兵,1,1,8,0,0,3,8,1,540,,,55,30,564;594,1,60,45,0,0,23,0,0,0,0,0,0,1
559,1阵营中路近战小兵,1,1,8,0,0,3,8,1,541,,,55,30,565;595,1,60,45,0,0,24,0,0,0,0,0,0,2
560,1阵营下路近战小兵,1,1,8,0,0,3,8,1,542,,,55,30,566;596,1,60,45,0,0,25,0,0,0,0,0,0,4
561,2阵营上路近战小兵,1,2,8,0,0,3,8,1,543,,,55,30,567;597,1,60,45,0,0,23,0,0,0,0,0,0,1
562,2阵营中路近战小兵,1,2,8,0,0,3,8,1,544,,,55,30,568;598,1,60,45,0,0,24,0,0,0,0,0,0,2
563,2阵营下路近战小兵,1,2,8,0,0,3,8,1,545,,,55,30,569;599,1,60,45,0,0,25,0,0,0,0,0,0,4
564,1阵营超级兵上路近战小兵,0,1,8,0,0,3,8,1,546,,,0,30,558,1,60,45,0,0,23,0,0,0,0,0,0,1
565,1阵营超级兵中路近战小兵,0,1,8,0,0,3,8,1,547,,,0,30,559,1,60,45,0,0,24,0,0,0,0,0,0,2
566,1阵营超级兵下路近战小兵,0,1,8,0,0,3,8,1,548,,,0,30,560,1,60,45,0,0,25,0,0,0,0,0,0,4
567,2阵营超级兵上路近战小兵,0,2,8,0,0,3,8,1,549,,,0,30,561,1,60,45,0,0,23,0,0,0,0,0,0,1
568,2阵营超级兵中路近战小兵,0,2,8,0,0,3,8,1,550,,,0,30,562,1,60,45,0,0,24,0,0,0,0,0,0,2
569,2阵营超级兵下路近战小兵,0,2,8,0,0,3,8,1,551,,,0,30,563,1,60,45,0,0,25,0,0,0,0,0,0,4
570,泰坦,1,0,32,0,0,14,8,1,552,,,1260,420,-1,1,60,10,16,5,-1,0,0,0,5;5,622;624,1;2,
571,3小BOSS,1,0,32,0,0,15,8,3,553;643,1200,,660,420,-1,1,60,10,15,6,-1,0,0,0,5;5,620;621,1;2,
572,31红buff,1,0,16,0,0,16,8,1,554,,,90,300,-1,1,60,30,17,1,-1,0,0,0,0,0,0,
573,31蓝buff,1,0,16,0,0,17,8,1,555,,,90,300,-1,1,60,30,18,3,-1,0,0,0,0,0,0,
574,32红buff,1,0,16,0,0,18,8,1,556,,,90,300,-1,1,60,30,19,4,-1,0,0,0,0,0,0,
575,32蓝buff,1,0,16,0,0,19,8,1,557,,,90,300,-1,1,60,30,20,2,-1,0,0,0,0,0,0,
576,312石甲虫,1,0,16,0,0,21,8,1,558,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
577,314锋啄鸟,1,0,16,0,0,22,8,1,559,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
578,313暗影狼,1,0,16,0,0,23,8,1,560,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
579,322石甲虫,1,0,16,0,0,24,8,1,561,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
580,324锋啄鸟,1,0,16,0,0,25,8,1,562,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
581,323暗影狼,1,0,16,0,0,26,8,1,563,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
582,31魔沼蛙,1,0,16,0,0,27,8,1,564,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
583,32魔沼蛙,1,0,16,0,0,28,8,1,565,,,90,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
584,31峡谷迅捷蟹,1,0,16,0,0,29,8,1,566,,,120,180,-1,1,60,30,0,0,-1,0,0,0,5;5,590;591,1;2,
585,32峡谷迅捷蟹,1,0,16,0,0,30,8,1,567,,,120,180,-1,1,60,30,0,0,-1,0,0,0,5;5,592;593,1;2,
586,1阵营泉水,1,1,2,0,0,0,8,1,568,,,0,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
587,2阵营泉水,1,2,2,0,0,0,8,1,569,,,0,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
588,1阵营围墙,1,1,2,0,0,0,8,1,570,,,4,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
589,2阵营围墙,1,2,2,0,0,0,8,1,571,,,4,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
590,311峡谷迅捷蟹,0,1,16,0,0,0,8,1,572,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
591,312峡谷迅捷蟹,0,2,16,0,0,0,8,1,573,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
592,321峡谷迅捷蟹,0,1,16,0,0,0,8,1,574,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
593,322峡谷迅捷蟹,0,2,16,0,0,0,8,1,575,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
594,1阵营3水晶破上路出动坦克,0,1,8,0,0,3,8,1,576,,,0,30,558,1,60,60,0,0,23,0,0,0,0,0,0,1
595,1阵营3水晶破中路出动坦克,0,1,8,0,0,3,8,1,577,,,0,30,559,1,60,60,0,0,24,0,0,0,0,0,0,2
596,1阵营3水晶破下路出动坦克,0,1,8,0,0,3,8,1,578,,,0,30,560,1,60,60,0,0,25,0,0,0,0,0,0,4
597,2阵营3水晶破上路出动坦克,0,2,8,0,0,3,8,1,579,,,0,30,561,1,60,60,0,0,23,0,0,0,0,0,0,1
598,2阵营3水晶破中路出动坦克,0,2,8,0,0,3,8,1,580,,,0,30,562,1,60,60,0,0,24,0,0,0,0,0,0,2
599,2阵营3水晶破下路出动坦克,0,2,8,0,0,3,8,1,581,,,0,30,563,1,60,60,0,0,25,0,0,0,0,0,0,4
600,补给点,1,0,16,0,0,0,8,1,615,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
601,补给点,1,0,16,0,0,0,8,1,619,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
602,补给点,1,0,16,0,0,0,8,1,620,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
603,补给点,1,0,16,0,0,0,8,1,623,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
604,补给点,1,0,16,0,0,0,8,1,624,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
605,补给点,1,0,16,0,0,0,8,1,626,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
606,补给点,1,0,16,0,0,0,8,1,627,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
607,补给点,1,0,16,0,0,0,8,1,628,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
608,补给点,1,0,16,0,0,0,8,1,630,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
609,补给点,1,0,16,0,0,0,8,1,633,,,8,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
620,3小BOSS,0,1,8,0,0,0,8,1,635,,,600,0,-1,1,60,20,0,0,26,0,0,0,0,0,0,
621,3小BOSS,0,2,8,0,0,0,8,1,636,,,600,0,-1,1,60,20,0,0,27,0,0,0,0,0,0,
622,龙血,0,1,8,0,0,0,8,1,638,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
623,3小BOSS刷新提示,1,0,16,0,0,35,8,1,639,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
624,龙血,0,2,8,0,0,0,8,1,640,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
625,黑龙使者,1,0,32,0,0,36,8,1,641,,,180,100000,-1,1,60,7,0,7,-1,0,0,0,0,0,0,
626,红龙使者,1,0,32,0,0,37,8,1,642,,,180,100000,-1,1,60,7,0,8,-1,0,0,0,0,0,0,
628,驯服烈龙,0,1,8,0,0,0,8,1,644,,,0,0,-1,1,60,10,0,0,16,0,0,0,0,0,0,
629,驯服烈龙,0,2,8,0,0,0,8,1,645,,,0,0,-1,1,60,10,0,0,17,0,0,0,0,0,0,
630,1阵营商店NPC,1,1,32,0,0,0,8,1,646,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
631,2阵营商店NPC,1,2,32,0,0,0,8,1,647,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
632,1阵营翅膀NPC,1,1,32,0,0,0,8,1,648,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
633,2阵营翅膀NPC,1,2,32,0,0,0,8,1,649,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
634,1阵营超级炮车（上路）,1,1,8,0,0,3,8,1,582,,,1800,30,558,1,60,45,0,0,23,0,0,0,0,0,0,1
635,1阵营超级炮车（中路）,1,1,8,0,0,3,8,1,583,,,1800,30,559,1,60,45,0,0,24,0,0,0,0,0,0,2
636,1阵营超级炮车（下路）,1,1,8,0,0,3,8,1,584,,,1800,30,560,1,60,45,0,0,25,0,0,0,0,0,0,4
637,2阵营超级炮车（上）,1,2,8,0,0,3,8,1,585,,,1800,30,561,1,60,45,0,0,23,0,0,0,0,0,0,1
638,2阵营超级炮车（中）,1,2,8,0,0,3,8,1,586,,,1800,30,562,1,60,45,0,0,24,0,0,0,0,0,0,2
639,2阵营超级炮车（下）,1,2,8,0,0,3,8,1,587,,,1800,30,563,1,60,45,0,0,25,0,0,0,0,0,0,4
640,蓝色方出生光效,1,1,32,0,0,0,8,1,652,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
641,红色方出生光效,1,2,32,0,0,0,8,1,653,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
830,1阵营基地,1,1,1,0,0,4,9,1,801,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
831,2阵营基地,1,2,1,0,0,4,9,1,802,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
833,1阵营中路水晶,1,1,2,2,0,1,9,1,804,,,3,0,-1,1,0,0,0,0,34,2;4;4;2;6,868;838;830;862;898,0;1025;1026;1;0,2;4;4;2;6,868;838;830;862;898,1;1025;1026;0;1,
