类型ID,怪物ID,名称,朝向x,朝向y,朝向z,x,y,z,广播类型（0不广播1死亡广播2复活广播4死亡文字广播8定时广播16首次出生广播32自杀广播）,广播所对应广播ID,广播参数,位置索引（需要保持唯一）,掉落经验类型(1单独2周围3己方全部),死亡加经验,掉落天赋类型(1单独2周围3己方全部4补刀掉落5补刀加失败分成),死亡加天赋点,补刀掉落类型衰减系数,掉落buff类型(1单独2周围3己方全部),BuffID,buff等级,掉落经验buff范围,掉落天赋范围,累积多少次数刷怪（处理三波刷怪问题）,同步累积次数索引行(读取本表位置索引),战斗信号标志位,气势掉落路径上路中路下路全部路对应 1 2 4 7,气势掉落值
247,1015,1阵营超级兵中路头目小兵,0,220,0,92,2,94,0,,0,540,2,75,2,47,0.8,0,0,0,24,15,0,496,0,,
248,1013,1阵营超级兵下路近战小兵,0,220,0,95.7,2,110.3,0,,0,541,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
248,1013,1阵营超级兵下路近战小兵,0,220,0,94.7,2,109.3,0,,0,542,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
248,1013,1阵营超级兵下路近战小兵,0,220,0,93.7,2,108.3,0,,0,543,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
248,1014,1阵营超级兵下路远程小兵,0,220,0,96.7,2,111.3,0,,0,544,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
248,1014,1阵营超级兵下路远程小兵,0,220,0,97.7,2,112.3,0,,0,545,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
248,1014,1阵营超级兵下路远程小兵,0,220,0,98.7,2,113.3,0,,0,546,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
248,1015,1阵营超级兵下路头目小兵,0,220,0,92.7,2,107.3,0,,0,547,2,75,2,47,0.8,0,0,0,24,15,0,503,0,,
249,1028,2阵营超级兵上路近战小兵,0,36,0,-100.3,2,-111.3,0,,0,548,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
249,1028,2阵营超级兵上路近战小兵,0,36,0,-99.3,2,-110.3,0,,0,549,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
249,1028,2阵营超级兵上路近战小兵,0,36,0,-98.3,2,-109.3,0,,0,550,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
249,1029,2阵营超级兵上路远程小兵,0,36,0,-101.3,2,-112.3,0,,0,551,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
249,1029,2阵营超级兵上路远程小兵,0,36,0,-102.3,2,-113.3,0,,0,552,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
249,1029,2阵营超级兵上路远程小兵,0,36,0,-103.3,2,-114.3,0,,0,553,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
249,1030,2阵营超级兵上路头目小兵,0,36,0,-97.3,2,-108.3,0,,0,554,2,75,2,47,0.8,0,0,0,24,15,0,510,0,,
250,1028,2阵营超级兵中路近战小兵,0,36,0,-97,2,-95,0,,0,555,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
250,1028,2阵营超级兵中路近战小兵,0,36,0,-96,2,-94,0,,0,556,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
250,1028,2阵营超级兵中路近战小兵,0,36,0,-95,2,-93,0,,0,557,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
250,1029,2阵营超级兵中路远程小兵,0,36,0,-98,2,-96,0,,0,558,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
250,1029,2阵营超级兵中路远程小兵,0,36,0,-99,2,-97,0,,0,559,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
250,1029,2阵营超级兵中路远程小兵,0,36,0,-100,2,-98,0,,0,560,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
250,1030,2阵营超级兵中路头目小兵,0,36,0,-94,2,-92,0,,0,561,2,75,2,47,0.8,0,0,0,24,15,0,517,0,,
251,1028,2阵营超级兵下路近战小兵,0,36,0,-114.5,2,-94.6,0,,0,562,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
251,1028,2阵营超级兵下路近战小兵,0,36,0,-113.5,2,-93.6,0,,0,563,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
251,1028,2阵营超级兵下路近战小兵,0,36,0,-112.5,2,-92.6,0,,0,564,2,34,2,21,0.8,0,0,0,24,15,0,0,0,,
251,1029,2阵营超级兵下路远程小兵,0,36,0,-115.5,2,-95.6,0,,0,565,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
251,1029,2阵营超级兵下路远程小兵,0,36,0,-116.5,2,-96.6,0,,0,566,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
251,1029,2阵营超级兵下路远程小兵,0,36,0,-117.5,2,-97.6,0,,0,567,2,34,2,18,0.8,0,0,0,24,15,0,0,0,,
251,1030,2阵营超级兵下路头目小兵,0,36,0,-111.5,2,-91.6,0,,0,568,2,75,2,47,0.8,0,0,0,24,15,0,524,0,,
252,1016,3雕纹魔像,0,48,0,42.5,1,-53,1;2;16,2;25;25,0,569,3,800,3,400,0.8,0,0,1,20,20,0,0,0,7,4
252,1073,3雕纹魔像c,0,48,0,43,2,-52,0,,0,570,3,800,3,400,0.8,0,0,1,20,20,0,0,0,,
253,1017,3小BOSS,0,238.5,0,-48,-0.5,55.8,1;2;16,2;24;24,0,571,3,400,3,100,0.8,0,0,1,20,20,0,0,0,7,2
253,1073,3小BOSSc,0,238.5,0,-47,1,54,0,,0,572,3,400,3,100,0.8,0,0,1,20,20,0,0,0,,
254,1018,31红buff,0,52.8,0,-9.3,4,61.98,0,,0,573,2,95,4,55,0.8,1,1045,1,20,20,0,0,0,,
254,1073,31红buffc,0,52.8,0,-7,4,63,0,,0,574,2,95,4,55,0.8,1,1045,1,20,20,0,0,0,,
254,1019,31小红buff,0,52.8,0,-4.88,4,62.23,0,,0,575,2,25,4,14,0.8,0,0,0,20,20,0,0,0,,
254,1019,31小红buff,0,52.8,0,-7.53,4,65.74,0,,0,576,2,25,4,14,0.8,0,0,0,20,20,0,0,0,,
255,1020,31蓝buff,0,120,0,59,3.6,-6.5,0,,0,577,2,95,4,55,0.8,1,1046,1,20,20,0,0,0,,
255,1073,31蓝buffc,0,120,0,61,4,-7,0,,0,578,2,95,4,55,0.8,1,1046,1,20,20,0,0,0,,
255,1021,31小蓝buff,0,130,0,63,3.6,-9.4,0,,0,579,2,25,4,14,0.8,0,0,0,20,20,0,0,0,,
255,1021,31小蓝buff,0,130,0,64,3.6,-5.4,0,,0,580,2,25,4,14,0.8,0,0,0,20,20,0,0,0,,
256,1018,32红buff,0,213,0,6.3,7,-58,0,,0,581,2,95,4,55,0.8,1,1045,1,20,20,0,0,0,,
256,1073,32红buffc,0,37,0,3,7,-60,0,,0,582,2,95,4,55,0.8,1,1045,1,20,20,0,0,0,,
256,1019,32小红buff,0,192,0,3.88,7,-63.75,0,,0,583,2,25,4,14,0.8,0,0,0,20,20,0,0,0,,
256,1019,32小红buff,0,257,0,0.972,7,-60.11,0,,0,584,2,25,4,14,0.8,0,0,0,20,20,0,0,0,,
257,1020,32蓝buff,0,285,0,-67,4,8.4,0,,0,585,2,95,4,55,0.8,1,1046,1,20,20,0,0,0,,
257,1073,32蓝buffc,0,14.39,0,-68,4,9,0,,0,586,2,95,4,55,0.8,1,1046,1,20,20,0,0,0,,
257,1021,32小蓝buff,0,285,0,-68,4,11.7,0,,0,587,2,25,4,14,0.8,0,0,0,20,20,0,0,0,,
257,1021,32小蓝buff,0,313,0,-70,4,8,0,,0,588,2,25,4,14,0.8,0,0,0,20,20,0,0,0,,
258,1072,31远古石甲虫,0,359,0,-18.1,4,88.65,0,,0,589,2,90,4,54,0.8,0,0,1,20,20,0,0,0,,
258,1073,31远古石甲虫c,0,359,0,-19.3,4,87.5,0,,0,590,2,90,4,54,0.8,0,0,1,20,20,0,0,0,,
258,1024,31石甲虫,0,29,0,-21.3,4,86.65,0,,0,591,2,50,4,29,0.8,0,0,0,20,20,0,0,0,,
259,1071,314野,0,358,0,4.9,4,39.2,0,,0,592,2,80,4,45,0.8,0,0,1,20,20,0,0,0,,
259,1073,314野c,0,358,0,6.35,4,41,0,,0,593,2,80,4,45,0.8,0,0,1,20,20,0,0,0,,
259,1023,314野,0,30,0,7.2,4,41.1,0,,0,594,2,20,4,11,0.8,0,0,0,20,20,0,0,0,,
259,1023,314野,0,310,0,2.8,4,41,0,,0,595,2,20,4,11,0.8,0,0,0,20,20,0,0,0,,
259,1023,314野,0,358,0,5.2,4,42,0,,0,596,2,20,4,11,0.8,0,0,0,20,20,0,0,0,,
260,1070,313狼,0,3.9,0,57.05,1.5,19.95,0,,0,597,2,70,4,64,0.8,0,0,1,20,20,0,0,0,,
260,1073,313狼c,0,3.9,0,56.5,1.5,20.5,0,,0,598,2,70,4,64,0.8,0,0,1,20,20,0,0,0,,
260,2011,313狼,0,3.9,0,58.5,1.5,21.9,0,,0,599,2,35,4,12,0.8,0,0,0,20,20,0,0,0,,
260,1022,313狼,0,20,0,54.7,1.5,21.7,0,,0,600,2,35,4,12,0.8,0,0,0,20,20,0,0,0,,
261,1072,32远古石甲虫,0,180,0,15.5,4,-87.06,0,,0,601,2,90,4,54,0.8,0,0,1,20,20,0,0,0,,
261,1073,32远古石甲虫c,0,180,0,14,4,-86,0,,0,602,2,90,4,54,0.8,0,0,1,20,20,0,0,0,,
261,1024,32石甲虫,0,220,0,18.53,4,-87.53,0,,0,603,2,50,4,29,0.8,0,0,0,20,20,0,0,0,,
262,1071,324锋啄鸟,0,-185,0,-9.9,4,-38,0,,0,604,2,80,4,45,0.8,0,0,1,20,20,0,0,0,,
262,1073,324锋啄鸟c,0,40.38,0,-9.2,4,-40,0,,0,605,2,80,4,45,0.8,0,0,1,20,20,0,0,0,,
262,1023,324锋啄鸟,0,190,0,-10,4,-41.51,0,,0,606,2,20,4,11,0.8,0,0,0,20,20,0,0,0,,
262,1023,324锋啄鸟,0,120,0,-7.6,4,-40,0,,0,607,2,20,4,11,0.8,0,0,0,20,20,0,0,0,,
262,1023,324锋啄鸟,0,240,0,-12.1,4,-40,0,,0,608,2,20,4,11,0.8,0,0,0,20,20,0,0,0,,
263,1070,323暗影狼,0,180,0,-60.51,4,-18.82,0,,0,609,2,70,4,64,0.8,0,0,1,20,20,0,0,0,,
263,1073,323暗影狼c,0,180,0,-61.8,4,-19,0,,0,610,2,70,4,64,0.8,0,0,1,20,20,0,0,0,,
263,1022,323暗影狼,0,165,0,-62.25,4,-20.24,0,,0,611,2,35,4,12,0.8,0,0,0,20,20,0,0,0,,
263,2011,323暗影狼,0,193,0,-59.03,4,-20.74,0,,0,612,2,35,4,12,0.8,0,0,0,20,20,0,0,0,,
264,1068,31魔沼蛙,0,218,0,88,5.9,-16.5,0,,0,613,2,140,4,72,0.8,0,0,0,20,20,0,0,0,,
264,1073,31魔沼蛙c,0,121.38,0,86,5.9,-13,0,,0,614,2,140,4,72,0.8,0,0,0,20,20,0,0,0,,
265,1068,32魔沼蛙,0,89,0,-91,5.9,17.7,0,,0,615,2,140,4,72,0.8,0,0,0,20,20,0,0,0,,
265,1073,32魔沼蛙c,0,121.38,0,-90,5.9,17,0,,0,616,2,140,4,72,0.8,0,0,0,20,20,0,0,0,,
266,1069,31峡谷迅捷蟹,0,121.38,0,54,-0.85,-44,0,,0,617,2,60,4,54,0.8,0,0,0,20,20,0,0,0,,
266,1073,31峡谷迅捷蟹c,0,121.38,0,54,-0.85,-44,0,,0,618,2,60,4,54,0.8,0,0,0,20,20,0,0,0,,
267,1069,32峡谷迅捷蟹,0,121.38,0,-58,-0.85,49,0,,0,619,2,60,4,54,0.8,0,0,0,20,20,0,0,0,,
267,1073,32峡谷迅捷蟹c,0,121.38,0,-58,-0.85,49,0,,0,620,2,60,4,54,0.8,0,0,0,20,20,0,0,0,,
268,1037,1阵营泉水,0,0,0,122.6074,2.4,125.2124,0,,0,621,1,1,1,200,0.8,0,0,0,1,1,0,0,0,,
269,1037,2阵营泉水,0,0,0,-126.5055,2.4,-123.8082,0,,0,622,1,1,1,200,0.8,0,0,0,1,1,0,0,0,,
270,2002,1阵营上路围墙,0,-81,0,83.5,2,47.6,0,,0,623,1,1,1,0,0,0,0,0,1,1,0,0,0,,
270,2002,1阵营下路围墙,0,-5.9,0,46.7,2,84.9,0,,0,624,1,1,1,0,0,0,0,0,1,1,0,0,0,,
271,2002,2阵营上路围墙,0,-9.23,0,-51,2,-84.6,0,,0,625,1,1,1,0,0,0,0,0,1,1,0,0,0,,
271,2002,2阵营下路围墙,0,96.7,0,-86.5,2,-45.9,0,,0,626,1,1,1,0,0,0,0,0,1,1,0,0,0,,
272,1074,311峡谷迅捷蟹,0,121.38,0,53.38,-0.85,-43.89,0,,0,627,2,1,1,50,0,0,0,0,1,1,0,0,0,,
273,1074,312峡谷迅捷蟹,0,121.38,0,53.38,-0.85,-43.89,0,,0,628,2,1,1,50,0,0,0,0,1,1,0,0,0,,
274,1074,321峡谷迅捷蟹,0,121.38,0,-57.68,-0.85,48.44,0,,0,629,2,1,1,50,0,0,0,0,1,1,0,0,0,,
275,1074,322峡谷迅捷蟹,0,121.38,0,-57.68,-0.85,48.44,0,,0,630,2,1,1,50,0,0,0,0,1,1,0,0,0,,
276,1015,1阵营3水晶破超级兵上路头目小兵,0,220,0,104.3,2,93.5,0,,0,631,2,75,4,66,0.8,0,0,0,24,15,0,36,0,,
277,1015,1阵营3水晶破超级兵中路头目小兵,0,220,0,94.6,2,96.4,0,,0,632,2,75,4,66,0.8,0,0,0,24,15,0,42,0,,
278,1015,1阵营3水晶破超级兵下路头目小兵,0,220,0,91.7,2,106.3,0,,0,633,2,75,4,66,0.8,0,0,0,24,15,0,48,0,,
279,1030,2阵营3水晶破超级兵上路头目小兵,0,36,0,-96.3,2,-107.3,0,,0,634,2,75,4,66,0.8,0,0,0,24,15,0,54,0,,
280,1030,2阵营3水晶破超级兵中路头目小兵,0,36,0,-99.4,2,-96.6,0,,0,635,2,75,4,66,0.8,0,0,0,24,15,0,60,0,,
281,1030,2阵营3水晶破超级兵下路头目小兵,0,36,0,-110.5,2,-90.6,0,,0,636,2,75,4,66,0.8,0,0,0,24,15,0,64,0,,
282,2015,1阵营魔泉,0,0,0,77.7,1.79,2.11,0,,0,637,1,1,4,1,0,1,1692,1,20,20,0,0,0,,
283,2015,1阵营魔泉,0,0,0,-1.34,4.66,74.4,0,,0,638,1,1,4,1,0,1,1692,1,20,20,0,0,0,,
284,2014,2阵营圣泉,0,0,0,-84.34,1.66,-2.71,0,,0,639,1,1,4,1,0,1,1692,1,20,20,0,0,0,,
285,2014,2阵营圣泉,0,0,0,-0.311,4.62,-73.92,0,,0,640,1,1,4,1,0,1,1692,1,20,20,0,0,0,,
286,2016,1阵营泉水,0,0,0,75,13,78,0,,0,641,1,1,1,200,0.8,0,0,0,1,1,0,0,0,,
287,2016,2阵营泉水,0,0,0,-81,5,-81,0,,0,642,1,1,1,200,0.8,0,0,0,1,1,0,0,0,,
288,1001,1阵营基地,0,219,0,67,13,66,4,21,0,643,3,160,3,0,0.8,0,0,0,20,20,0,0,0,,
289,1031,2阵营基地,0,42,0,-66,3,-67,4,21,0,644,3,160,3,0,0.8,0,0,0,20,20,0,0,0,,
290,1002,1阵营上路水晶,0,0,0,43,13,41,2;4;8,3;4;22,0;0;20,645,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
291,1002,1阵营中路水晶,0,0,0,75,13,37,2;4;8,5;6;22,0;0;20,646,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
292,1002,1阵营下路水晶,0,0,0,39,13,79,2;4;8,7;8;22,0;0;20,647,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
293,1032,2阵营上路水晶,0,0,0,-47,-4,-48,2;4;8,7;8;22,0;0;20,648,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
294,1032,2阵营中路水晶,0,0,0,-81,5,-23,2;4;8,5;6;22,0;0;20,649,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
295,1032,2阵营下路水晶,0,0,0,-25,5,-82,2;4;8,3;4;22,0;0;20,650,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
296,1016,3雕纹魔像,0,221,0,-7.6,-6.2,-7.8,1;2;16,2;25;25,0,651,3,800,3,400,0.8,0,0,1,20,20,0,0,0,7,4
296,1073,3雕纹魔像c,0,221,0,-6,-6.2,-7.8,0,,0,652,3,800,3,400,0.8,0,0,1,20,20,0,0,0,,
297,1017,3小BOSS,0,260,0,80,-6.2,-80.1,1;2;16,2;24;24,0,653,3,400,3,100,0.8,0,0,1,20,20,0,0,0,7,2
297,1073,3小BOSSc,0,260,0,80,-6.2,-82.5,0,,0,654,3,400,3,100,0.8,0,0,1,20,20,0,0,0,,
298,1017,3小BOSS,0,172,0,-81,-6.2,80,1;2;16,2;24;24,0,655,3,95,3,100,0.8,0,0,1,20,20,0,0,0,,
298,1073,3小BOSSc,0,172,0,-81,-6.2,82,0,,0,656,3,95,3,100,0.8,0,0,1,20,20,0,0,0,,
299,1018,31红buff,0,13,0,63,-1.03,-10,0,,0,657,2,95,4,150,0.8,0,0,0,20,20,0,0,0,,
299,1073,31红buffc,0,13,0,63,-1.03,-10,0,,0,658,2,95,4,0,0.8,0,0,0,20,20,0,0,0,,
299,1019,31小红buff,0,-5,0,67,-0.95,-6.6,0,,0,659,2,25,4,10,0.8,0,0,0,20,20,0,0,0,,
299,1019,31小红buff,0,30,0,60,-0.65,-5.51,0,,0,660,2,25,4,10,0.8,0,0,0,20,20,0,0,0,,
300,1020,31蓝buff,0,48.78,0,-7.59,-5.63,59.41,0,,0,661,2,95,4,150,0.8,0,0,0,20,20,0,0,0,,
300,1073,31蓝buffc,0,48.78,0,-7.59,-5.63,59.41,0,,0,662,2,95,4,0,0.8,0,0,0,20,20,0,0,0,,
300,1021,31小蓝buff,0,67.64,0,-9.15,-5.63,63.96,0,,0,663,2,25,4,10,0.8,0,0,0,20,20,0,0,0,,
300,1021,31小蓝buff,0,24.41,0,-3.14,-5.63,57.65,0,,0,664,2,25,4,10,0.8,0,0,0,20,20,0,0,0,,
301,1018,32红buff,0,225,0,-58.59,-0.76,8.1,0,,0,665,2,95,4,150,0.8,0,0,0,20,20,0,0,0,,
301,1073,32红buffc,0,225,0,-58.59,-0.76,8.1,0,,0,666,2,95,4,0,0.8,0,0,0,20,20,0,0,0,,
301,1019,32小红buff,0,233.35,0,-59.47,-0.34,3.1,0,,0,667,2,25,4,10,0.8,0,0,0,20,20,0,0,0,,
301,1019,32小红buff,0,197.83,0,-63.77,-1.08,8.09,0,,0,668,2,25,4,10,0.8,0,0,0,20,20,0,0,0,,
302,1020,32蓝buff,0,-122,0,8.47,-5.63,-58.8,0,,0,669,2,95,4,150,0.8,0,0,0,20,20,0,0,0,,
302,1073,32蓝buffc,0,-122,0,8.47,-5.63,-58.8,0,,0,670,2,95,4,0,0.8,0,0,0,20,20,0,0,0,,
302,1021,32小蓝buff,0,-110.62,0,8.98,-5.63,-63.18,0,,0,671,2,25,4,10,0.8,0,0,0,20,20,0,0,0,,
302,1021,32小蓝buff,0,-155.278,0,4.56,-5.63,-57.13,0,,0,672,2,25,4,10,0.8,0,0,0,20,20,0,0,0,,
303,1072,31远古石甲虫,0,12.5,0,12.7,-6.2,-55.1,0,,0,673,2,50,4,80,0.8,0,0,1,20,20,0,0,0,,
303,1073,31远古石甲虫c,0,12.5,0,11.5,-6.2,-56.25,0,,0,674,2,80,4,0,0.8,0,0,1,20,20,0,0,0,,
303,1024,31石甲虫,0,12.5,0,9.5,-6.2,-57.1,0,,0,675,2,80,4,50,0.8,0,0,0,20,20,0,0,0,,
304,1071,314野,0,261.7,0,82.2,-9.65,-13,0,,0,676,2,20,4,70,0.8,0,0,1,20,20,0,0,0,,
304,1073,314野c,0,261.7,0,83.65,-9.65,-11.2,0,,0,677,2,20,4,0,0.8,0,0,1,20,20,0,0,0,,
304,1023,314野,0,261.7,0,84.5,-9.65,-11.1,0,,0,678,2,20,4,20,0.8,0,0,0,20,20,0,0,0,,
304,1023,314野,0,261.7,0,80.1,-9.65,-11.2,0,,0,679,2,70,4,20,0.8,0,0,0,20,20,0,0,0,,
304,1023,314野,0,261.7,0,82.5,-9.65,-10.2,0,,0,680,2,70,4,20,0.8,0,0,0,20,20,0,0,0,,
305,1070,313狼,0,177,0,-15.1,-9.4,79.8,0,,0,681,2,35,4,70,0.8,0,0,1,20,20,0,0,0,,
305,1073,313狼c,0,177,0,-15.65,-9.4,80.35,0,,0,682,2,35,4,0,0.8,0,0,1,20,20,0,0,0,,
305,2011,313狼,0,177,0,-13.65,-9.4,81.75,0,,0,683,2,90,4,30,0.8,0,0,0,20,20,0,0,0,,
305,1022,313狼,0,177,0,-17.45,-9.4,81.55,0,,0,684,2,90,4,30,0.8,0,0,0,20,20,0,0,0,,
306,1072,32远古石甲虫,0,84,0,-49,-6.2,64,0,,0,685,2,50,4,80,0.8,0,0,1,20,20,0,0,0,,
306,1073,32远古石甲虫c,0,84,0,-16.6,-9.4,80.86,0,,0,686,2,80,4,0,0.8,0,0,1,20,20,0,0,0,,
306,1024,32石甲虫,0,84,0,-49,-9.4,62,0,,0,687,2,80,4,50,0.8,0,0,0,20,20,0,0,0,,
307,1071,324锋啄鸟,0,37,0,-16,-6.2,-42,0,,0,688,2,20,4,70,0.8,0,0,1,20,20,0,0,0,,
307,1073,324锋啄鸟c,0,37,0,-15.6,-6.2,-44,0,,0,689,2,20,4,0,0.8,0,0,1,20,20,0,0,0,,
307,1023,324锋啄鸟,0,37,0,-16.4,-6.2,-45.51,0,,0,690,2,20,4,20,0.8,0,0,0,20,20,0,0,0,,
307,1023,324锋啄鸟,0,37,0,-14,-6.2,-44,0,,0,691,2,70,4,20,0.8,0,0,0,20,20,0,0,0,,
307,1023,324锋啄鸟,0,37,0,-18.5,-6.2,-44,0,,0,692,2,70,4,20,0.8,0,0,0,20,20,0,0,0,,
308,1070,323暗影狼,0,224,0,-49,-6.2,14,0,,0,693,2,35,4,70,0.8,0,0,1,20,20,0,0,0,,
308,1073,323暗影狼c,0,224,0,-48.29,-9.4,13.82,0,,0,694,2,35,4,0,0.8,0,0,1,20,20,0,0,0,,
308,1022,323暗影狼,0,224,0,-48.74,-9.4,12.58,0,,0,695,2,140,4,30,0.8,0,0,0,20,20,0,0,0,,
308,2011,323暗影狼,0,224,0,-45.52,-9.4,12.08,0,,0,696,2,140,4,30,0.8,0,0,0,20,20,0,0,0,,
309,1068,31魔沼蛙,0,352,0,64.1,-6.2,-49.2,0,,0,697,2,140,4,130,0.8,0,0,0,20,20,0,0,0,,
309,1073,31魔沼蛙c,0,352,0,62.1,-6.2,-49.2,0,,0,698,2,140,4,0,0.8,0,0,0,20,20,0,0,0,,
310,1068,32魔沼蛙,0,229,0,-27.5,-6.2,-5.4,0,,0,699,2,60,4,130,0.8,0,0,0,20,20,0,0,0,,
310,1073,32魔沼蛙c,0,229,0,-27.5,-6.2,-5.4,0,,0,700,2,60,4,0,0.8,0,0,0,20,20,0,0,0,,
311,1073,324锋啄鸟c,0,40,0,-22.5,-6.2,-23.2,0,,0,701,2,60,4,54,0.8,0,0,1,20,20,0,0,0,,
311,1023,324锋啄鸟,0,40,0,-23.5,-6.2,-23.2,0,,0,702,2,60,4,54,0.8,0,0,0,20,20,0,0,0,,
311,1023,324锋啄鸟,0,40,0,-25,-6.2,-21,0,,0,703,2,15,4,54,0.8,0,0,0,20,20,0,0,0,,
311,1023,324锋啄鸟,0,40,0,-21,-6.2,-25,0,,0,704,2,15,4,54,0.8,0,0,0,20,20,0,0,0,,
312,1073,324锋啄鸟c,0,222,0,17,-6.2,18,0,,0,705,2,75,4,35,0.8,0,0,1,20,20,0,0,0,,
312,1023,324锋啄鸟,0,222,0,18,-6.2,18,0,,0,706,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
312,1023,324锋啄鸟,0,222,0,16,-6.2,18,0,,0,707,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
312,1023,324锋啄鸟,0,222,0,14,-6.2,18,0,,0,708,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
313,1071,314野,0,95,0,-26,-6.2,40,0,,0,709,2,75,4,35,0.8,0,0,1,20,20,0,0,0,,
313,1073,314野c,0,95,0,-23,-6.2,40,0,,0,710,2,75,4,35,0.8,0,0,1,20,20,0,0,0,,
313,1023,314野,0,95,0,-25,-6.2,41,0,,0,711,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
313,1023,314野,0,95,0,-27.5,-6.2,40,0,,0,712,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
313,1023,314野,0,95,0,-26,-6.2,38,0,,0,713,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
314,1071,314野,0,9.2,0,22,-6.2,-20,0,,0,714,2,75,4,35,0.8,0,0,1,20,20,0,0,0,,
314,1073,314野c,0,9.2,0,20,-6.2,-20,0,,0,715,2,75,4,35,0.8,0,0,1,20,20,0,0,0,,
314,1023,314野,0,9.2,0,21,-6.2,-20,0,,0,716,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
314,1023,314野,0,9.2,0,24,-6.2,-20,0,,0,717,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
314,1023,314野,0,9.2,0,23,-6.2,-20,0,,0,718,2,15,4,10,0.8,0,0,0,20,20,0,0,0,,
315,2017,一阵营左1补给点,0,0,0,110,0,-49,0,,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,,
316,2017,一阵营左2补给点,0,0,0,102,0,6.2,0,,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,,
317,2017,一阵营左3补给点,0,0,0,96,0,42,0,,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,,
318,2017,一阵营中1补给点,0,0,0,30.5,0,23.8,0,,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,,
319,2017,一阵营中2补给点,0,0,0,43.4,0,52.5,0,,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,,
320,2017,一阵营右1补给点,0,0,0,-47.7,0,116,0,,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,,
321,2017,一阵营右2补给点,0,0,0,-9.4,0,109,0,,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,,
322,2017,一阵营右3补给点,0,0,0,37,0,100,0,,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,,
323,2017,一阵营左野补给点,0,0,0,73,0.8,-26,0,,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,,
324,2017,一阵营右野补给点,0,0,0,-33,0.8,68,0,,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,,
325,2017,二阵营左1补给点,0,0,0,-114,0,50,0,,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,,
326,2017,二阵营左2补给点,0,0,0,-106,0,12,0,,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,,
327,2017,二阵营左3补给点,0,0,0,-102,0,-36,0,,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,,
328,2017,二阵营中1补给点,0,0,0,-33,0,-20,0,,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,,
329,2017,二阵营中2补给点,0,0,0,-41,0,-45,0,,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,,
330,2017,二阵营右1补给点,0,0,0,41,3.7,-113,0,,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,,
331,2017,二阵营右2补给点,0,0,0,7,4,-106,0,,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,,
332,2017,二阵营右3补给点,0,0,0,-43,0,-98,0,,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,,
