模型ID,颜值,色泽,透光,纹理,重量,模型名称（以第一行为例，Lv是等级，A是形状，0是颜色）,缩放比例1,缩放比例2
494,0,0,0,,0,Gem_Lv5_O_3,1,1
495,0,0,0,,0,Gem_Lv5_O_4,1,1
496,0,0,0,,0,Gem_Lv5_P_0,1,1
497,0,0,0,,0,Gem_Lv5_P_1,1,1
498,0,0,0,,0,Gem_Lv5_P_2,1,1
499,0,0,0,,0,Gem_Lv5_P_3,1,1
500,0,0,0,,0,Gem_Lv5_P_4,1,1
501,0,0,0,,0,Gem_Lv5_Q_0,1,1
502,0,0,0,,0,Gem_Lv5_Q_1,1,1
503,0,0,0,,0,Gem_Lv5_Q_2,1,1
504,0,0,0,,0,Gem_Lv5_Q_3,1,1
505,0,0,0,,0,Gem_Lv5_Q_4,1,1
506,0,0,0,,0,Gem_Lv5_R_0,1,1
507,0,0,0,,0,Gem_Lv5_R_1,1,1
508,0,0,0,,0,Gem_Lv5_R_2,1,1
509,0,0,0,,0,Gem_Lv5_R_3,1,1
510,0,0,0,,0,Gem_Lv5_R_4,1,1
511,0,0,0,,0,Gem_Lv5_S_0,1,1
512,0,0,0,,0,Gem_Lv5_S_1,1,1
513,0,0,0,,0,Gem_Lv5_S_2,1,1
514,0,0,0,,0,Gem_Lv5_S_3,1,1
515,0,0,0,,0,Gem_Lv5_S_4,1,1
516,0,0,0,,0,Gem_Lv5_T_0,1,1
517,0,0,0,,0,Gem_Lv5_T_1,1,1
518,0,0,0,,0,Gem_Lv5_T_2,1,1
519,0,0,0,,0,Gem_Lv5_T_3,1,1
520,0,0,0,,0,Gem_Lv5_T_4,1,1
521,0,0,0,,0,Gem_Lv5_U_0,1,1
522,0,0,0,,0,Gem_Lv5_U_1,1,1
523,0,0,0,,0,Gem_Lv5_U_2,1,1
524,0,0,0,,0,Gem_Lv5_U_3,1,1
525,0,0,0,,0,Gem_Lv5_U_4,1,1
