天赋效果ID,效果类型(0--新增技能[参数1:新增技能ID参数2槽位类型参数3槽位-1为按槽位表读取] 1--影响技能字段[参数1:技能ID 参数2:技能字段 参数3:add(0) or set(1)参数4:天赋数值] 2--影响技能条件效果[参数1:技能ID 参数2:技能事件 参数3:子类型(0--增加条件 1--减少条件 2--增加效果 3--减少效果) 4--条件效果ID] 3--开启效果列表[参数1:效果列表] 4--替换技能[参数1:旧技能ID 参数2:新技能ID]) 5--增加buff[参数1：buffID],参数1,参数2,参数3（槽位）,参数4（槽位等级）,参数5,参数6,备注
13900,0,1550,2,4,1,0,0,卓哥普攻1
13901,0,1551,2,-1,-1,0,0,卓哥普攻2
13902,0,1552,2,-1,-1,0,0,卓哥普攻3
13903,0,1553,2,-1,-1,0,0,卓哥普攻4
13904,0,1554,2,0,1,0,0,卓哥Q技能
13905,0,1555,2,1,1,0,0,卓哥E技能1
13906,0,1556,2,-1,-1,0,0,卓哥E技能2
13907,0,1557,2,2,1,0,0,卓哥R1技能
13908,0,1558,2,2,1,0,0,卓哥R2技能1
13909,0,1559,2,-1,-1,0,0,卓哥R2技能2
13910,0,1560,2,3,1,0,0,卓哥被动
13911,5,4839,1,,,,,卓哥被动buff
13912,5,4839,2,,,,0,夺息飞刃
13913,5,4863,1,,,,0,撕裂伤口
13914,5,4848,1,0,0,,,养精蓄锐
13915,5,4849,1,,,,0,无路可逃
13916,5,4850,1,,,,0,绝处逢生
13917,,,,,,,,危压
13918,5,4851,1,,,,,高级死亡之舞
13919,5,4856,1,,,,,高级狩猎滑翔
14000,0,1465,2,4,-1,0,0,start平A1
14001,0,1464,2,-1,-1,0,0,start平A2
14002,0,1466,2,-1,-1,0,0,start平A3
14003,0,1467,2,0,1,0,0,q技能自动学习
14004,0,1468,2,1,1,0,0,e技能自动学习
14005,0,1469,2,2,1,0,0,核榕术
14006,0,1470,2,2,1,0,0,火影
14007,5,2341,1,,,,,心火
14008,5,2334,1,,,,,吸金
14009,5,4963,1,,,,,熔岩
14010,5,4965,1,,,,,流星雨
14011,0,1457,2,0,2,,,三昧真火
14012,0,1458,2,2,2,,,火影2
14013,0,1459,2,2,2,,,核榕术2
14014,0,1454,2,-1,-1,0,0,核榕术2后续
14015,0,1463,2,-1,-1,0,0,核榕术1后续
14016,0,1461,2,-1,-1,0,0,熔岩
14017,0,1462,2,-1,-1,0,0,熔岩5s版
14018,0,1456,2,3,1,0,0,被动学习
14100,0,1473,2,4,1,0,0,普攻1
14101,0,1474,2,-1,-1,0,0,普攻2
14102,0,1475,2,0,1,0,0,Q技能
14103,0,1477,2,1,1,0,0,E技能
14104,0,1479,2,3,1,0,0,被动
14105,0,1478,2,2,1,0,0,R技能
14200,0,1429,2,4,1,0,0,普攻1
14201,0,1430,2,-1,-1,0,0,普攻2
14202,0,1431,2,-1,-1,0,0,普攻3
14203,0,1432,2,3,1,0,0,威严
14204,0,1433,2,0,1,0,0,神之震怒
14205,0,1434,2,1,1,0,0,祸乱战争
14206,0,1435,2,2,1,0,0,恶神降临
14207,0,1436,2,-1,-1,0,0,恶神降临后续
4,0,4,2,-1,-1,0,0,
5,0,5,2,-1,-1,0,0,
6,0,6,2,-1,-1,0,0,
7,0,7,2,-1,-1,0,0,
8,0,8,2,-1,-1,0,0,
9,0,9,2,-1,-1,0,0,
10,0,10,2,-1,-1,0,0,
11,0,11,2,-1,-1,0,0,
12,0,12,2,-1,-1,0,0,
13,0,13,2,-1,-1,0,0,
14,0,14,2,-1,-1,0,0,
22,0,151,2,-1,-1,0,0,
23,0,152,2,-1,-1,0,0,
24,0,24,2,-1,-1,0,0,
25,0,25,2,-1,-1,0,0,
26,0,26,2,-1,-1,0,0,
27,0,27,2,-1,-1,0,0,
28,0,28,2,4,1,0,0,
29,0,29,2,-1,-1,0,0,
30,0,30,2,-1,-1,0,0,
31,0,31,2,6,1,0,0,青蛙翻滚1
32,0,32,2,7,1,0,0,青蛙翻滚2
33,0,33,2,8,1,0,0,青蛙翻滚3
34,0,34,2,9,1,0,0,青蛙翻滚4
35,0,35,2,-1,-1,0,0,
36,0,36,2,-1,-1,0,0,
37,0,37,2,-1,-1,0,0,
38,0,38,2,-1,-1,0,0,
39,2,1,2,2,7,0,0,
40,0,45,2,-1,-1,0,0,
45,0,45,2,-1,-1,0,0,
46,3,3138,,,,,,翅膀
47,0,47,2,-1,-1,0,0,
48,0,48,2,-1,-1,0,0,
49,0,46,2,11,1,0,0,
50,0,50,2,-1,-1,0,0,
51,0,51,2,-1,-1,0,0,
52,0,52,2,-1,-1,0,0,
53,0,53,2,-1,-1,0,0,巨盾被动
54,0,54,2,-1,-1,0,0,
55,0,55,2,6,1,0,0,
56,0,56,2,7,1,0,0,
57,0,57,2,8,1,0,0,
58,0,58,2,9,1,0,0,
59,0,59,2,-1,-1,0,0,
60,0,60,2,-1,-1,0,0,
61,0,61,2,-1,-1,0,0,
62,0,62,2,-1,-1,0,0,
63,0,64,2,-1,-1,0,0,
64,0,141,2,3,1,0,0,
65,0,67,2,-1,-1,0,0,
66,0,68,2,-1,-1,0,0,
67,0,69,2,-1,-1,0,0,
68,0,70,2,-1,-1,0,0,
69,0,71,2,-1,-1,0,0,
70,0,72,2,-1,-1,0,0,
71,0,73,2,-1,-1,0,0,
72,0,74,2,-1,-1,0,0,
73,0,75,2,-1,-1,0,0,
74,0,86,2,-1,-1,0,0,
75,0,88,2,-1,-1,0,0,
77,0,236,2,-1,-1,0,0,耶哥蕊特
78,0,237,2,-1,-1,0,0,耶哥蕊特
79,0,238,2,-1,-1,0,0,耶哥蕊特
80,0,239,2,-1,-1,0,0,耶哥蕊特
81,0,240,2,-1,-1,0,0,耶哥蕊特
82,0,241,2,-1,-1,0,0,耶哥蕊特
83,0,284,2,-1,-1,0,0,耶哥蕊特连击2
84,0,285,2,-1,-1,0,0,耶哥蕊特连击3
85,3,1406,,,,,,耶哥蕊特天赋
86,0,335,2,-1,-1,0,0,耶哥蕊特天赋技能
129,0,87,2,-1,-1,0,0,
132,0,92,2,-1,-1,0,0,英雄2技能
133,0,93,2,-1,-1,0,0,英雄2技能
134,0,94,2,-1,-1,0,0,英雄2技能
135,0,95,2,-1,-1,0,0,英雄2技能
136,0,96,2,-1,-1,0,0,英雄2技能
137,0,97,2,-1,-1,0,0,英雄2技能
138,0,98,2,-1,-1,0,0,英雄2技能
139,0,99,2,-1,-1,0,0,英雄2技能
140,0,100,2,-1,-1,0,0,英雄2技能
141,0,101,2,-1,-1,0,0,英雄2技能
142,0,102,2,-1,-1,0,0,英雄2技能
144,0,1264,2,12,1,0,0,李寻欢跳跃
145,0,105,2,-1,-1,0,0,英雄3技能
146,0,106,2,-1,-1,0,0,英雄3技能
147,0,107,2,-1,-1,0,0,英雄3技能
148,0,108,2,-1,-1,0,0,英雄3技能
149,0,109,2,-1,-1,0,0,英雄3技能
150,0,110,2,-1,-1,0,0,英雄3技能
151,0,111,2,-1,-1,0,0,英雄3技能
152,0,112,2,-1,-1,0,0,英雄3技能
153,0,113,2,-1,-1,0,0,英雄3技能
154,0,114,2,-1,-1,0,0,英雄3技能
155,0,115,2,-1,-1,0,0,英雄3技能
156,0,116,2,-1,-1,0,0,英雄3技能
157,0,117,2,-1,-1,0,0,英雄3技能
158,0,118,2,-1,-1,0,0,英雄3技能
159,0,119,2,-1,-1,0,0,英雄3技能
165,0,125,2,-1,-1,0,0,魔山技能
166,0,126,2,-1,-1,0,0,魔山技能
167,0,127,2,-1,-1,0,0,魔山技能
168,0,128,2,-1,-1,0,0,魔山技能
170,0,129,2,-1,-1,0,0,魔山技能
173,0,133,2,10,1,0,0,通用翻滚
174,3,1367;1368,,,,,,每4秒回5体力
175,0,223,2,-1,-1,0,0,
176,0,224,2,-1,-1,0,0,
177,0,225,2,-1,-1,0,0,
178,0,226,2,-1,-1,0,0,
179,0,261,2,-1,-1,0,0,
180,0,262,2,-1,-1,0,0,
181,0,263,2,-1,-1,0,0,
182,0,282,2,-1,-1,0,0,
183,0,283,2,-1,-1,0,0,
184,0,293,2,-1,-1,0,0,红袍女
185,0,294,2,-1,-1,0,0,红袍女
186,0,295,2,-1,-1,0,0,红袍女
187,0,296,2,-1,-1,0,0,红袍女
188,0,321,2,-1,-1,0,0,魔山捅人1级
189,0,322,2,-1,-1,0,0,魔山捅人2级
190,0,323,2,-1,-1,0,0,魔山捅人3级
191,0,324,2,-1,-1,0,0,魔山捅人4级
192,0,325,2,-1,-1,0,0,魔山捅人5级
193,0,326,2,-1,-1,0,0,魔山反击1级
194,0,327,2,-1,-1,0,0,魔山反击2级
195,0,328,2,-1,-1,0,0,魔山反击3级
196,0,329,2,-1,-1,0,0,魔山反击4级
197,0,330,2,-1,-1,0,0,魔山反击5级
260,0,134,2,-1,-1,0,0,冰心技能
261,0,135,2,-1,-1,0,0,飞升技能
264,0,138,2,-1,-1,0,0,幽梦技能
265,3,127,,,,,,护甲+15
266,3,128,,,,,,护甲+45
267,3,129;800,,,,,,护甲+40<br>被动：将30%的普攻伤害转为魔法伤害回敬给攻击者
268,3,207;209;213,,,,,,生命+70<br>攻击+7<br>物理吸血+3%
269,3,206;210,,,,,,生命+60<br>法强+15<br>法术回复+2
270,3,208;211;212,,,,,,生命+80<br>生命回复+2<br>受普攻伤害减少8
271,0,229,2,-1,-1,0,0,正义荣耀
272,0,233,2,-1,-1,0,0,冰脉护手
273,0,315,2,-1,-1,0,0,嗜血猎杀
274,0,316,2,-1,-1,0,0,圣物之盾
275,3,1116;6012,,,,,,死亡可购买
276,0,317,2,-1,-1,0,0,九头蛇
277,0,318,2,-1,-1,0,0,猛禽斗篷
278,0,319,2,-1,-1,0,0,山岳之容2
279,0,320,2,-1,-1,0,0,巫妖之祸
280,0,234,2,-1,-1,0,0,水晶瓶
281,0,331,2,-1,-1,0,0,卢登
285,0,332,2,3,1,0,0,红袍女天赋效果
287,0,334,2,-1,-1,0,0,红袍女天赋技能
288,0,336,2,-1,-1,0,0,小恶魔天赋技能
289,0,337,2,-1,-1,0,0,小恶魔天赋技能
290,0,338,2,-1,-1,0,0,小恶魔天赋技能
291,0,376,2,-1,-1,0,0,卓格普攻
292,0,377,2,-1,-1,0,0,卓格普攻
293,0,378,2,-1,-1,0,0,卓格普攻
294,0,379,2,-1,-1,0,0,卓格普攻
295,0,380,2,-1,-1,0,0,卓格冲锋
297,0,382,2,-1,-1,0,0,圣物之盾2
298,3,1507,,,,,,小恶魔天赋技能
299,0,388,2,-1,-1,0,0,卓格冲锋
300,0,389,2,-1,-1,0,0,卓格冲锋
301,0,390,2,-1,-1,0,0,卓格冲锋
302,0,391,2,-1,-1,0,0,卓格冲锋
303,0,394,2,-1,-1,0,0,小恶魔跳跃攻击
304,0,298,2,5,1,0,0,红袍女跳跃攻击
305,3,1544,,,,,,小恶魔天赋技能
306,0,357,2,-1,-1,0,0,小恶魔天赋技能
307,0,396,2,-1,-1,0,0,眼
308,0,398,2,-1,-1,0,0,卓格天赋
309,0,403,2,-1,-1,0,0,卢安娜的飓风
310,0,404,2,-1,-1,0,0,通用跳跃
319,0,412,2,-1,-1,0,0,劳勃普攻
320,0,413,2,-1,-1,0,0,劳勃普攻
321,0,414,2,-1,-1,0,0,劳勃普攻
322,0,433,2,-1,-1,0,0,红毒蛇普攻
323,0,434,2,-1,-1,0,0,红毒蛇普攻
324,0,435,2,-1,-1,0,0,红毒蛇普攻
325,0,436,2,-1,-1,0,0,红毒蛇普攻
326,0,456,2,-1,-1,0,0,劳勃天赋
327,0,458,2,-1,-1,0,0,索罗斯普攻
328,0,459,2,-1,-1,0,0,索罗斯普攻
329,0,460,2,-1,-1,0,0,索罗斯普攻
330,0,457,2,3,1,0,0,索罗斯天赋
331,0,480,2,-1,-1,0,0,索罗斯跳斩
332,0,481,2,-1,-1,0,0,索罗斯冲锋动作2
333,0,482,2,-1,-1,0,0,索罗斯冲锋动作2
334,0,483,2,-1,-1,0,0,索罗斯冲锋动作2
335,0,484,2,-1,-1,0,0,索罗斯冲锋动作2
336,0,485,2,-1,-1,0,0,索罗斯冲锋动作2
337,0,487,2,-1,-1,0,0,俳雅菩厉普通攻击
338,0,488,2,-1,-1,0,0,俳雅菩厉普攻
339,0,489,2,-1,-1,0,0,俳雅菩厉普攻
340,0,455,2,-1,-1,0,0,红毒蛇天赋
343,0,515,2,-1,-1,0,0,红毒蛇普攻
344,0,516,2,-1,-1,0,0,红毒蛇普攻
345,0,517,2,-1,-1,0,0,红毒蛇普攻
346,0,518,2,-1,-1,0,0,红毒蛇普攻
347,0,519,2,-1,-1,0,0,红毒蛇普攻
348,0,520,2,-1,-1,0,0,红毒蛇普攻
349,0,521,2,-1,-1,0,0,红毒蛇普攻
350,0,522,2,-1,-1,0,0,红毒蛇普攻
351,0,523,2,-1,-1,0,0,红毒蛇普攻
352,0,524,2,-1,-1,0,0,红毒蛇普攻
353,0,525,2,-1,-1,0,0,男巫天赋
354,3,1747,,,,,,劳勃天赋
356,0,527,2,-1,-1,0,0,红毒蛇普攻
357,0,528,2,-1,-1,0,0,红毒蛇普攻
358,0,529,2,-1,-1,0,0,红毒蛇普攻
359,0,530,2,-1,-1,0,0,红毒蛇普攻
360,0,532,2,-1,-1,0,0,艾丽娅普攻
361,0,533,2,-1,-1,0,0,艾丽娅普攻
362,0,534,2,-1,-1,0,0,艾丽娅普攻
363,0,535,2,-1,-1,0,0,艾丽娅普攻
365,0,554,2,-1,-1,0,0,艾丽娅状态
366,0,555,2,-1,-1,0,0,艾丽娅2段
367,0,556,2,-1,-1,0,0,艾丽娅2段
368,0,557,2,-1,-1,0,0,艾丽娅2段
369,0,558,2,-1,-1,0,0,艾丽娅2段
370,0,559,2,-1,-1,0,0,艾丽娅2段
372,0,401,2,-1,-1,0,0,免费眼
373,0,561,2,-1,-1,0,0,亡者的板甲
374,0,560,2,-1,-1,0,0,翅膀飞行
375,0,564,2,-1,-1,0,0,疾射火炮
376,0,228,2,-1,-1,0,0,庇护
378,0,567,2,-1,-1,0,0,尸鬼普攻1
379,0,568,2,-1,-1,0,0,尸鬼普攻2
380,0,569,2,-1,-1,0,0,尸鬼普攻3
381,0,583,2,-1,-1,0,0,尸鬼被动
385,0,938,2,-1,-1,0,0,阿莎普攻1
386,0,1373,2,-1,-1,0,0,阿莎普攻2
387,0,589,2,-1,-1,0,0,阿莎普攻3
388,3,2431,,,,,,红袍女天赋火球
389,0,620,2,-1,-1,0,0,布兰登天赋（人）
390,0,623,2,-1,-1,0,0,布兰登天赋（狼）
391,0,603,2,-1,-1,0,0,布兰登普攻1
392,0,604,2,-1,-1,0,0,布兰登普攻2
393,0,605,2,-1,-1,0,0,布兰登普攻3
394,0,624,2,-1,-1,0,0,绿先知普攻1
395,0,625,2,-1,-1,0,0,绿先知普攻2
396,0,626,2,-1,-1,0,0,绿先知普攻3
397,0,627,2,-1,-1,0,0,绿先知普攻3
398,0,642,2,-1,-1,0,0,龙母普攻1
399,0,643,2,-1,-1,0,0,龙母普攻2
400,0,644,2,-1,-1,0,0,龙母普攻3
401,0,645,2,-1,-1,0,0,龙母天赋
402,0,660,2,-1,-1,0,0,阿莎天赋
403,0,641,2,-1,-1,0,0,绿先知天赋
404,5,1877,1,,,,,红毒蛇天赋
405,0,621,2,4,1,0,0,布兰简单普攻
406,0,670,2,-1,-1,0,0,机器人普攻1
407,0,671,2,-1,-1,0,0,机器人普攻2
408,0,672,2,-1,-1,0,0,机器人普攻3
409,0,686,2,-1,-1,0,0,龙母大招1
410,0,687,2,-1,-1,0,0,龙母大招2
411,0,688,2,-1,-1,0,0,龙母大招3
412,0,689,2,-1,-1,0,0,尸鬼普攻1
413,0,690,2,-1,-1,0,0,尸鬼普攻2
419,0,711,2,-1,-1,0,0,阿莎弹射选择1
420,0,713,2,-1,-1,0,0,阿莎弹射选择2
421,0,714,2,-1,-1,0,0,阿莎弹射选择3
422,0,715,2,-1,-1,0,0,阿莎弹射选择4
423,0,716,2,-1,-1,0,0,阿莎弹射选择5
424,0,617,2,2,1,,0,布兰登变狼
430,0,710,2,-1,-1,0,0,机器人天赋
431,0,692,2,-1,-1,0,0,
432,0,717,2,-1,-1,0,0,阿莎弹射伤害1
433,0,693,2,-1,-1,0,0,
434,0,718,2,-1,-1,0,0,阿莎弹射伤害2
435,0,694,2,-1,-1,0,0,
436,0,719,2,-1,-1,0,0,阿莎弹射伤害3
437,0,695,2,-1,-1,0,0,
438,0,720,2,-1,-1,0,0,阿莎弹射伤害4
439,0,709,2,-1,-1,0,0,
440,0,721,2,-1,-1,0,0,阿莎弹射伤害5
441,0,692,2,-1,-1,0,0,索罗斯翻滚
442,0,693,2,-1,-1,0,0,索罗斯翻滚
443,0,694,2,-1,-1,0,0,索罗斯翻滚
444,0,695,2,-1,-1,0,0,索罗斯翻滚
445,0,696,2,-1,-1,0,0,索罗斯翻滚
446,0,722,2,-1,-1,0,0,虫子普攻
447,0,723,2,-1,-1,0,0,虫子普攻
448,0,724,2,-1,-1,0,0,虫子普攻
449,0,725,2,-1,-1,0,0,虫子普攻
450,0,739,2,-1,-1,0,0,虫子天赋
451,0,709,2,-1,-1,0,0,机器人Q技能增益
453,0,900,2,-1,-1,0,0,小鱼人普攻1
454,0,901,2,-1,-1,0,0,小鱼人普攻2
455,0,902,2,-1,-1,0,0,小鱼人普攻3
456,0,903,2,-1,-1,0,0,小鱼人天赋
457,0,15,2,-1,-1,0,0,东洋剑客普攻1
458,0,16,2,-1,-1,0,0,东洋剑客普攻2
459,0,17,2,-1,-1,0,0,东洋剑客普攻3
460,0,18,2,-1,-1,0,0,东洋剑客剑气普攻1
461,0,19,2,-1,-1,0,0,东洋剑客剑气普攻2
462,0,20,2,-1,-1,0,0,东洋剑客剑气普攻3
463,0,21,2,-1,-1,0,0,东洋剑客剑气普攻4
464,0,145,2,-1,-1,0,0,东洋剑客天赋
465,0,740,2,-1,-1,0,0,龙母Q技能爆炸3
466,0,741,2,-1,-1,0,0,龙母Q技能爆炸4
467,0,742,2,-1,-1,0,0,龙母Q技能爆炸5
468,0,3,2,-1,-1,0,0,李寻欢普攻
469,0,5,2,-1,-1,0,0,李寻欢普攻
470,0,1,2,-1,-1,0,0,李寻欢普攻
471,0,151,2,3,1,0,0,李寻欢天赋1
472,0,363,2,-1,-1,0,0,卓格翻滚
473,0,364,2,-1,-1,0,0,卓格翻滚
474,0,365,2,-1,-1,0,0,卓格翻滚
475,0,366,2,-1,-1,0,0,卓格翻滚
476,0,367,2,-1,-1,0,0,卓格翻滚
478,5,1711,1,0,-1,0,0,鱼人天赋
479,5,1705,2,0,-1,0,0,虫子天赋2级
480,5,1705,3,0,-1,0,0,虫子天赋3级
481,5,1720,1,0,-1,0,0,群体性伤害技能吸血效果减少至1/3
482,0,156,2,6,1,0,0,李寻欢翻滚1
483,0,157,2,7,1,0,0,李寻欢翻滚2
484,0,158,2,8,1,0,0,李寻欢翻滚3
485,0,159,2,9,1,0,0,李寻欢翻滚4
486,0,160,2,-1,-1,0,0,李寻欢Q二段
487,0,754,2,-1,-1,0,0,虫子翻滚
488,0,755,2,-1,-1,0,0,虫子翻滚
489,0,756,2,-1,-1,0,0,虫子翻滚
490,0,757,2,-1,-1,0,0,虫子翻滚
491,0,758,2,-1,-1,0,0,虫子翻滚
492,0,169,2,-1,-1,0,0,东洋剑客翻滚
493,0,170,2,-1,-1,0,0,东洋剑客翻滚
494,0,171,2,-1,-1,0,0,东洋剑客翻滚
495,0,172,2,-1,-1,0,0,东洋剑客翻滚
496,0,173,2,-1,-1,0,0,东洋剑客翻滚
497,3,4110,,,,,,英雄强化附近小兵
498,0,800,2,4,1,0,0,无面者普攻1
499,0,801,2,-1,-1,0,0,无面者普攻2
500,0,802,2,-1,-1,0,0,无面者普攻3
501,0,803,2,3,1,0,0,无面者天赋
502,0,818,2,-1,-1,0,0,无面者隐身时突进
504,0,177,2,-1,-1,0,0,新装备：小范围伤害
505,0,178,2,-1,-1,0,0,新装备：溅射
506,0,179,2,-1,-1,0,0,新装备：飞刀1
507,0,180,2,-1,-1,0,0,新装备：飞刀2
508,0,181,2,-1,-1,0,0,新装备30
509,0,224,2,-1,-1,0,0,新装备33
510,0,751,2,-1,-1,0,0,新装备35
511,0,752,2,-1,-1,0,0,新装备38
512,0,753,2,-1,-1,0,0,新装备39
513,0,798,2,-1,-1,0,0,异鬼天赋
514,0,797,2,-1,-1,0,0,异鬼普攻
515,0,773,2,-1,-1,0,0,时空天赋
516,0,774,2,4,1,0,0,时空普攻
517,0,775,2,-1,-1,0,0,时空普攻
518,0,776,2,-1,-1,0,0,时空普攻
519,0,841,2,-1,-1,0,0,火法辅助结界1
520,0,842,2,-1,-1,0,0,火法辅助结界2
521,0,843,2,-1,-1,0,0,火法Q燃烧
522,0,846,2,-1,-1,0,0,炼狱牢笼1级
523,0,847,2,-1,-1,0,0,炼狱牢笼2级
524,0,848,2,-1,-1,0,0,AI指挥技能
525,0,851,2,-1,-1,0,0,龙Q技能
526,0,852,2,-1,-1,0,0,龙E技能
527,0,853,2,-1,-1,0,0,龙R技能
528,0,854,2,-1,-1,0,0,龙普通攻击
529,0,849,2,-1,-1,0,0,龙普通攻击
530,0,850,2,-1,-1,0,0,龙普通攻击
531,0,862,2,-1,-1,0,0,艾利亚致残
532,0,863,2,-1,-1,0,0,艾利亚致残
535,0,599,2,-1,-1,0,0,女枪E加速
536,0,150,2,-1,-1,0,0,小李内环伤害
537,0,867,2,-1,-1,0,0,弓箭手首当其冲
538,0,870,2,-1,-1,0,0,弓箭手追魂箭爆炸1级
539,0,871,2,-1,-1,0,0,弓箭手追魂箭爆炸2级
540,0,872,2,-1,-1,0,0,红毒蛇礼物
541,0,873,2,-1,-1,0,0,死亡路径
542,0,878,2,-1,-1,0,0,弹弹乐选择范围
543,0,879,2,-1,-1,0,0,弹弹乐泡泡
544,0,881,2,-1,-1,0,0,海洋空间
545,0,882,2,-1,-1,0,0,泡泡糖
546,0,885,2,-1,-1,0,0,喷气子弹
547,0,886,2,-1,-1,0,0,弹射
548,0,887,2,-1,-1,0,0,弹射伤害
549,0,888,2,-1,-1,0,0,无面者天赋攻击
550,0,889,2,-1,-1,0,0,时光旅者天赋爆发
551,0,855,2,-1,-1,0,0,ATM释放
552,0,917,2,4,1,0,0,炸弹普攻
553,0,918,2,-1,-1,0,0,炸弹普攻
554,0,919,2,-1,-1,0,0,炸弹普攻
555,0,920,2,-1,-1,0,0,炸弹天赋
546,0,885,2,-1,-1,0,0,喷气子弹
547,0,886,2,-1,-1,0,0,弹射
548,0,887,2,-1,-1,0,0,弹射伤害
549,0,888,2,-1,-1,0,0,无面者天赋攻击
550,0,889,2,-1,-1,0,0,时光旅者天赋爆发
551,0,855,2,-1,-1,0,0,ATM释放
552,0,917,2,4,1,0,0,炸弹普攻
553,0,918,2,-1,-1,0,0,炸弹普攻
554,0,919,2,-1,-1,0,0,炸弹普攻
555,0,920,2,-1,-1,0,0,炸弹天赋
556,0,895,2,-1,-1,0,0,冲锋动作1
557,0,896,2,-1,-1,0,0,冲锋动作2
558,0,897,2,-1,-1,0,0,炮手普攻
559,0,949,2,-1,-1,0,0,炮手普攻
560,0,899,2,-1,-1,0,0,炮手天赋
561,0,958,2,-1,-1,0,0,乌妮普攻
562,0,959,2,-1,-1,0,0,乌妮普攻
563,0,957,2,-1,-1,0,0,乌妮天赋
564,0,980,2,-1,-1,0,0,无畏指环
565,0,981,2,-1,-1,0,0,无畏战刃
566,0,982,2,-1,-1,0,0,刺客飞刀
567,0,983,2,-1,-1,0,0,荒原链锤
568,0,984,2,-1,-1,0,0,寒冰连枷
569,0,986,2,-1,-1,0,0,圣徒信仰
570,0,987,2,-1,-1,0,0,异能碎片
571,0,988,2,-1,-1,0,0,牧师指环
565,0,981,2,-1,-1,0,0,无畏战刃
567,0,983,2,-1,-1,0,0,荒原链锤
568,0,984,2,-1,-1,0,0,寒冰连枷
569,0,986,2,-1,-1,0,0,圣徒信仰
570,0,987,2,-1,-1,0,0,异能碎片
571,0,988,2,-1,-1,0,0,牧师指环
572,0,964,2,-1,-1,0,0,乌妮瞄准射击1
573,0,965,2,-1,-1,0,0,乌妮瞄准射击2
574,0,966,2,-1,-1,0,0,乌妮瞄准射击3
575,0,1001,2,-1,-1,0,0,炸弹翻滚
576,0,1002,2,-1,-1,0,0,炸弹翻滚
577,0,1003,2,-1,-1,0,0,炸弹翻滚
578,0,1004,2,-1,-1,0,0,炸弹翻滚
579,0,1016,2,-1,-1,0,0,尸毒
580,0,1017,2,-1,-1,0,0,小炮翻滚
581,0,1018,2,-1,-1,0,0,小炮翻滚
582,0,1019,2,-1,-1,0,0,小炮翻滚
583,0,1020,2,-1,-1,0,0,小炮翻滚
584,0,1021,2,-1,-1,0,0,小炮前闪
585,0,1016,2,-1,-1,0,0,小炮普攻2
586,0,1023,2,-1,-1,0,0,弓箭手一级大招普攻
587,0,1025,2,-1,-1,0,0,弓箭手二级大招普攻
588,0,1024,2,-1,-1,0,0,异鬼普攻2
589,0,1027,2,4,-1,0,0,摩托普攻1
590,0,1028,2,-1,1,0,0,摩托普攻2
591,0,1043,2,-1,-1,0,0,火魔女回城
592,0,1044,2,-1,-1,0,0,无情刀回城
593,0,1047,2,-1,-1,0,0,精灵游侠回城
594,0,1048,2,-1,-1,0,0,东洋剑客回城
595,0,1049,2,-1,-1,0,0,巨盾勇士回城
596,0,1050,2,-1,-1,0,0,青蛙王子回城
597,0,1051,2,-1,-1,0,0,花仙子回城
598,0,1052,2,-1,-1,0,0,草原飞鹰回城
599,0,1053,2,-1,-1,0,0,暴怒骑士回城
600,0,1054,2,-1,-1,0,0,沙蛇回城
601,0,1055,2,-1,-1,0,0,恶灵术士回城
602,0,1056,2,-1,-1,0,0,圣焰之手回城
603,0,1057,2,-1,-1,0,0,七境守护者回城
604,0,1058,2,-1,-1,0,0,灵狐刺客回城
605,0,1059,2,-1,-1,0,0,荒墓行尸回城
606,0,1060,2,-1,-1,0,0,异域狼灵回城
607,0,1061,2,-1,-1,0,0,丛林先知回城
608,0,1062,2,-1,-1,0,0,双枪女警回城
609,0,1063,2,-1,-1,0,0,魔龙公主回城
610,0,1064,2,-1,-1,0,0,蒸汽机器人回城
611,0,1065,2,-1,-1,0,0,地穴之王回城
612,0,1066,2,-1,-1,0,0,唤潮海灵回城
613,0,1067,2,-1,-1,0,0,暗影蔷薇回城
614,0,1068,2,-1,-1,0,0,幻影利刃回城
615,0,1069,2,-1,-1,0,0,时空旅行者回城
616,0,1070,2,-1,-1,0,0,幽冥领主回城
617,0,1071,2,-1,-1,0,0,火炮男爵回城
618,0,1072,2,-1,-1,0,0,爆破狂人回城
619,0,1073,2,11,1,0,0,北境游神回城
620,0,1094,2,-1,-1,0,0,绿先知群吸法强
621,0,1096,2,-1,-1,0,0,东洋XP
622,0,1110,2,-1,-1,0,0,被动天赋：闪电
623,0,1111,2,-1,-1,0,0,龙普攻二段
624,0,1112,2,-1,-1,0,0,征服者?野蛮
625,0,1113,2,-1,-1,0,0,傀儡龙自放技能
626,0,1022,2,-1,-1,0,0,NPC翅膀飞行
627,0,547,2,6,1,0,0,艾丽娅翻滚1
628,0,548,2,7,1,0,0,艾丽娅翻滚2
629,0,549,2,8,1,0,0,艾丽娅翻滚3
630,0,550,2,9,1,0,0,艾丽娅翻滚4
631,0,1125,2,6,1,0,0,死神翻滚1
632,0,1126,2,7,1,0,0,死神翻滚2
633,0,1127,2,8,1,0,0,死神翻滚3
634,0,1128,2,9,1,0,0,死神翻滚4
635,0,1129,2,6,1,0,0,机器人翻滚1
636,0,1130,2,7,1,0,0,机器人翻滚2
637,0,1131,2,8,1,0,0,机器人翻滚3
638,0,1132,2,9,1,0,0,机器人翻滚4
639,5,2388,1,,,,,出生自动买眼
