 ,天赋ID,天赋学习等级,天赋图标,推荐显示,激活类型（0默认自动;1系统）,升星激活等级（激活类型需为0）,场内是否等级互斥(0不互斥1互斥),显示类型（0未激活不显示1未激活显示）,影响技能槽位 ,天赋名称,天赋奖励名称,天赋描述,未激活描述,场内天赋描述,前置天赋,战场类型ID
7,10706,9,330,1,0,0,1,1,1,三色堇【[SKILLSLOT=1]键】,天赋：三色堇,提升仙女散花的伤害,,提升仙女散花的伤害到[LEVEL=1539+215][blue](+[MA=90])[/blue]点,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10707,9,330,0,0,5,1,1,1,含羞草【[SKILLSLOT=1]键】,天赋：含羞草,被仙女散花击中的敌方英雄，输出伤害降低30%,,被仙女散花击中的敌方英雄，输出伤害降低30%,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10708,9,330,0,0,5,1,1,1,紫罗兰【[SKILLSLOT=1]键】,天赋：紫罗兰,敌方英雄被仙女散花击中扣除50金币，周围的友方英雄获得50金币,,敌方英雄被仙女散花击中扣除50金币，周围的友方英雄获得50金币,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10711,12,145,0,0,0,1,1,16,真视【1键】,天赋：真视,12秒内获得真视效果,,12秒内获得真视效果,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
7,10712,12,104,1,0,0,1,1,16,塔防【1键】,天赋：塔防,我方建筑8秒内免疫伤害,,我方建筑8秒内免疫伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
7,10713,12,235,0,0,0,1,1,16,庇护【1键】,天赋：庇护,给周围友方英雄增加护盾，持续5秒,,给周围友方英雄增加护盾，持续5秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
7,10709,15,331,1,0,0,1,1,-1,彼岸仙境【[SKILLSLOT=2]键】,天赋：彼岸仙境,提升彼岸仙境的生命回复量,,提升彼岸仙境的生命回复量,10704,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10710,15,331,0,0,5,1,1,-1,仙女下凡【[SKILLSLOT=2]键】,天赋：仙女下凡,提升仙女下凡的伤害,,提升仙女下凡的伤害,10705,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10714,18,98,0,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
7,10715,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
7,10716,18,170,1,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
8,10801,3,108,1,0,0,1,1,3,夺息飞刃【被动】,天赋：夺息飞刃,蛮族之刃的被动伤害提升,,蛮族之刃的被动伤害提升，最多造成[orange][PASD=[LEVEL=16000+2000]/[_PASD=100]][/orange][red]（+[PASD=[PA=1000]/[_PASD=100]]）[/red]点的法术伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10802,3,109,0,0,5,1,1,0,撕裂伤口【[SKILLSLOT=0]键】,天赋：撕裂伤口,回旋飞刃命中目标会使其持续流血，伤害跟撕裂层数相关,,回旋飞刃命中目标时会每秒最多造成[LEVEL=150+20][red]（+[PA=10]）[/red]点物理伤害，持续3秒（伤害跟撕裂层数有关）,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10803,3,108,0,0,5,1,1,3,养精蓄锐【被动】,天赋：养精蓄锐,身边有敌方小兵殒命时永久提升攻击力,,身边有敌方小兵殒命时永远提升攻击力，最多增加30点,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10804,6,294,1,0,0,1,1,-1,狂烈之舞【[SKILLSLOT=2]键】,天赋：狂烈之舞,给周围目标附加5层撕裂效果，同时提升自身攻击力,,给周围目标附加5层撕裂效果，同时提升自身50点攻击力,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10805,6,112,0,0,5,1,1,-1,滑翔狩猎【[SKILLSLOT=2]键】,天赋：滑翔狩猎,向远距离单体目标冲锋，造成伤害并定身,,向远距离单体目标冲锋，造成物理伤害并定身1.5秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
8,10806,9,108,1,0,0,1,1,3,无路可逃【被动】,天赋：无路可逃,普攻带有20%吸血,,普攻带有20%吸血,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10807,9,111,0,0,5,1,1,1,绝处逢生【[SKILLSLOT=1]键】,天赋：绝处逢生,双刀斩击会对目标造成减速,,双刀斩击会对目标降低30%移动速度，持续2秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10808,9,108,0,0,5,1,1,3,危压【被动】,天赋：危压,降低敌方带5层撕裂效果的英雄的输出伤害,,降低敌方带5层撕裂效果的英雄的30%输出伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10811,12,116,1,0,0,1,1,16,净化【1键】,天赋：净化,移除身上减益效果并在之后的3秒内降低减益效果持续时间,,移除身上减益效果并在之后的3秒内降低减益效果持续时间,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
8,10812,12,227,0,0,0,1,1,3,三环【被动】,天赋：三环,对英雄连续三次普攻可造成额外60%攻击力的伤害,,对英雄连续三次普攻可造成额外60%攻击力的伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10813,12,224,0,0,0,1,1,3,法术护盾【被动】,天赋：法术护盾,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害15%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10809,15,294,1,0,0,1,1,2,狂烈之舞【[SKILLSLOT=2]键】,天赋：狂烈之舞,狂烈之舞增加提升的攻击力,,狂烈之舞提升自己80点的攻击力,10804,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
8,10810,15,112,0,0,5,1,1,2,滑翔狩猎【[SKILLSLOT=2]键】,天赋：滑翔狩猎,提升滑翔狩猎伤害,,提升滑翔狩猎伤害,10805,0;1;2;3;4;5;6;7;8;9;11;12;13;14
8,10814,18,98,0,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
8,10815,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
8,10816,18,170,1,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
8,10817,3,109,1,0,0,1,1,0,撕裂伤口【[SKILLSLOT=0]键】,天赋：撕裂伤口,回旋弯刀击带有撕裂的目标使其持续流血，撕裂层数越高伤害越高,,回旋弯刀击中带有撕裂效果的目标时会使其每秒受到撕裂层数*10+[LEVEL=300][red]（+[PA=10]）[/red]的物理伤害，持续3秒,,10
8,10818,6,112,1,0,0,1,1,2,狂烈之舞【[SKILLSLOT=2]键】,天赋：狂烈之舞,给周围目标附加5层撕裂效果，同时提升自身攻击力,,给周围目标附加5层撕裂效果，同时提升自身50点攻击力,,10
8,10819,9,111,1,0,0,1,1,1,绝处逢生【[SKILLSLOT=1]键】,天赋：绝处逢生,使用双刀斩击时，会对目标造成减速,,使用双刀斩击时，目标减慢30%移动速度，持续2秒,,10
8,10820,12,227,0,0,0,1,1,3,三环【被动】,天赋：三环,对英雄连续三次普攻可造成额外80%攻击力的伤害,,对英雄连续三次普攻可造成额外80%攻击力的伤害,,10
8,10821,12,145,0,0,0,1,1,16,真视【1键】,天赋：真视,12秒内获得永久真视效果,,12秒内获得永久真视效果,,10
8,10822,12,116,1,0,0,1,1,16,净化【1键】,天赋：净化,移除身上减益效果并在之后的3秒内降低减益效果持续时间,,移除身上减益效果并在之后的3秒内降低减益效果持续时间,,10
8,10823,15,294,1,0,0,1,1,2,狂烈之舞【[SKILLSLOT=2]键】,天赋：狂烈之舞,狂烈之舞增加提升的攻击力,,狂烈之舞提升自己80点的攻击力,10818,10
8,10824,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,10
8,10825,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,10
8,10826,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,10
9,10901,3,95,0,0,5,1,1,1,格挡反击【[SKILLSLOT=1]键】,天赋：格挡反击,盛怒咆哮格挡成功后会对攻击者进行反击，造成物理伤害,,盛怒咆哮格挡成功后会对攻击者进行反击，造成[LEVEL=606+45][red]（+[PA=60]）[/red]点的物理伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10902,3,95,0,0,5,1,1,1,怒吼震慑【[SKILLSLOT=1]键】,天赋：怒吼震慑,盛怒咆哮对周围所有敌对目标造成40%减速效果，持续2秒,,盛怒咆哮对周围所有敌对目标造成40%减速效果，持续2秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10903,3,95,1,0,0,1,1,1,铜墙铁壁【[SKILLSLOT=1]键】,天赋：铜墙铁壁,盛怒咆哮格挡成功后获得吸收伤害的护盾，持续2秒,,盛怒咆哮格挡成功后获得吸收[LEVEL=700+24][red]（+[PA=30]）[/red]点物理伤害的护盾，持续4秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10904,6,97,0,0,5,1,1,-1,重剑无锋【[SKILLSLOT=2]键】,天赋：重剑无锋,帝国之剑跳跃而起对敌方英雄单位进行致命攻击，敌方英雄受到真实伤害,,帝国之剑跳跃而起对敌方英雄单位进行致命攻击，敌方英雄受到真实伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10905,6,97,1,0,0,1,1,-1,裂地重劈【[SKILLSLOT=2]键】,天赋：裂地重劈,帝国之剑高高跃起对地面进行斩击，前方范围内所有敌人受到物理伤害并击倒晕眩,,帝国之剑高高跃起对地面进行斩击，前方范围内所有敌人受到物理伤害并击倒晕眩,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10906,9,93,0,0,5,1,1,3,狂战士【被动】,天赋：狂战士,舍弃自身生命值，攻击力提升,,舍弃自身10%最大生命值，技能伤害提升20%,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
60,10907,9,93,0,0,5,1,1,3,战士之血【被动】,天赋：战士之血,每次受到攻击会获得回血状态，持续5秒，可叠加10层,,每次受到攻击会获得回血状态，持续5秒，可叠加10层,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10908,9,94,1,0,0,1,1,0,沉重打击【[SKILLSLOT=0]键】,天赋：沉重打击,碎骨冲锋击中目标后，会降低其护甲，持续3秒,,碎骨冲锋击中目标后，目标护甲降低30%，持续3秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10911,12,124,1,0,0,1,1,16,激昂【1键】,天赋：激昂,增加周围我方英雄移速,,增加周围我方英雄移速,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
9,10912,12,237,0,0,0,1,1,3,防御光环【被动】,天赋：防御光环,周围友方英雄双抗提升20,,周围友方英雄双抗提升20,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10913,12,162,0,0,0,1,1,16,腐蚀【1键】,天赋：腐蚀,降低范围内敌方英雄护甲,,降低范围内敌方英雄护甲,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
9,10909,15,97,0,0,5,1,1,2,无尽毁灭【[SKILLSLOT=2]键】,天赋：无尽毁灭,增加重剑无锋技能伤害，且成功用重剑无锋消灭敌方英雄后，清除重剑无锋冷却时间,,增加重剑无锋技能伤害，且成功用重剑无锋消灭敌方英雄后，清除重剑无锋冷却时间,10904,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10910,15,97,1,0,0,1,1,2,山崩【[SKILLSLOT=2]键】,天赋：山崩,裂地重劈伤害提升,,裂地重劈伤害提升,10905,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
9,10914,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
9,10915,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
9,10916,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
10,11001,3,127,0,0,5,1,1,1,礼物【[SKILLSLOT=1]键】,天赋：礼物,扭转乾坤二段可在原地留下一把枪，延迟1秒后造成范围伤害,,扭转乾坤二段可在原地留下一把枪，延迟1秒后造成[LEVEL=606+45][red]（+[PA=60]）[/red]的范围伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11002,3,125,0,0,5,1,1,3,神意【被动】,天赋：神意,消灭或助攻可提升攻击，最多叠加10层，殒命清除,,消灭或助攻可提升10点攻击，最多叠加10层，殒命清除,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11003,3,126,1,0,0,1,1,0,枪术训练【[SKILLSLOT=0]键】,天赋：枪术训练,向陨而生第一段击中英雄永久提升伤害,,向陨而生第一段击中英雄提升[LEVEL=404+30][red]（+[PA=40]）[/red]点伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11004,6,129,1,0,0,1,1,-1,无双枪阵【[SKILLSLOT=2]键】,天赋：无双枪阵,对周围敌人造成大量伤害，持续2秒,,对周围敌人造成大量伤害，持续2秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11005,9,127,0,0,5,1,1,1,横扫【[SKILLSLOT=1]键】,天赋：横扫,提升扭转乾坤一段伤害和范围,,提升扭转乾坤一段伤害提高[LEVEL=252+15][red]（+[PA=25]）[/red]点物理伤害，并且增加伤害范围,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11006,9,127,0,0,5,1,1,1,脱身【[SKILLSLOT=1]键】,天赋：脱身,提升扭转乾坤二段的后退距离,,提升扭转乾坤二段的后退距离,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11007,9,126,1,0,0,1,1,0,内伤【[SKILLSLOT=0]键】,天赋：内伤,向陨而生第二段标记目标，3秒造已损失生命值30%的伤害,,向陨而生第二段标记目标，3秒后造已损失生命值30%的伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11010,12,116,1,0,0,1,1,16,净化【1键】,天赋：净化,移除身上减益效果并在之后的3秒内降低减益效果持续时间,,移除身上减益效果并在之后的3秒内降低减益效果持续时间,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
10,11011,12,162,0,0,0,1,1,16,腐蚀【1键】,天赋：腐蚀,降低范围内敌方英雄护甲,,降低范围内敌方英雄护甲,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
10,11012,12,234,0,0,0,1,1,3,法术护盾【被动】,天赋：法术护盾,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害15%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11008,15,129,1,0,0,1,1,2,无双枪阵【[SKILLSLOT=2]键】,天赋：无双枪阵,提升无双枪阵伤害,,提升无双枪阵伤害,11004,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
10,11013,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
10,11014,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
10,11015,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
11,11101,3,141,1,0,0,1,1,0,恶念传播【[SKILLSLOT=0]键】,天赋：恶念传播,禁术咒印第一段变成范围技能，目标区域敌人都会被印记,,禁术咒印第一段变成范围技能，目标区域敌人都会被印记,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11102,3,141,0,0,5,1,1,0,波动印记【[SKILLSLOT=0]键】,天赋：波动印记,提升禁术咒印的伤害,,禁术咒印第一段印记额外造成[LEVEL=342+45][red]（+[MA=20]）[/red]点法术伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11103,3,140,0,0,5,1,1,3,天意【被动】,天赋：天意,消灭或助攻法强提升，殒命后消除,,消灭或助攻法强提升20点，最多提升100点，殒命后消除,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11104,6,143,1,0,0,1,1,-1,厄运锁链【[SKILLSLOT=2]键】,天赋：厄运锁链,对单个目标造成伤害，并与目标连接一连锁链，两秒后如果目标没有逃离则造成禁锢,,对单个目标造成伤害，并与目标连接一连锁链，两秒后如果目标没有逃离则造成禁锢,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11105,9,142,0,0,5,1,1,1,厄运降临【[SKILLSLOT=1]键】,天赋：厄运降临,提升移形换影伤害,,提升移形换影伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11106,9,142,1,0,0,1,1,1,殒命路径【[SKILLSLOT=1]键】,天赋：殒命路径,提升移形换影返回间隔时间到5秒,,提升移形换影返回间隔时间到5秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11107,9,140,0,0,5,1,1,3,致命伪装【被动】,天赋：致命伪装,增加替罪者出现时，恶灵术士隐身时间,,增加替罪者出现时，恶灵术士隐身时间到3秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11109,12,230,1,0,0,1,1,18,金身【1键】,天赋：金身,使英雄无敌2.5秒，期间不能做任何操作,,使英雄无敌2.5秒，期间不能做任何操作,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
11,11110,12,231,0,0,0,1,1,16,冰霜冲击【1键】,天赋：冰霜冲击,对目标英雄造成一次魔法伤害并减速,,对目标英雄造成一次魔法伤害并减速,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
11,11111,12,224,0,0,0,1,1,3,法术护盾【被动】,天赋：聚合,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害10%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11108,15,143,1,0,0,1,1,2,厄运锁链【[SKILLSLOT=2]键】,天赋：厄运锁链,提升厄运锁链伤害,,提升厄运锁链伤害,11104,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
11,11112,18,98,0,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
11,11113,18,36,1,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
11,11114,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
12,11207,3,137,0,0,5,1,1,1,魔焰侵袭【[SKILLSLOT=1]键】,天赋：魔焰侵袭,圣焰斩击击中目标额外降低魔法抗性,,圣焰斩击击中目标额外降低魔法抗性15点,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11206,3,136,1,0,0,1,1,0,烈焰灼烧【[SKILLSLOT=0]键】,天赋：烈焰灼烧,圣焰火鸟击中敌人时，受到持续火焰伤害,,圣焰火鸟击中敌人时，目标每秒受到[LEVEL=85+10][blue](+[MA=5])[/blue]点的火焰伤害，持续3秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11203,3,138,0,0,5,1,1,3,火神祭品【被动】,天赋：火神祭品,周围有英雄或敌对目标殒命自身获得法强,,周围有英雄或敌对目标殒命自身获得0.6点法强，上限加60法强,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11204,6,139,1,0,0,1,1,-1,浴火重生【[SKILLSLOT=2]键】,天赋：浴火重生,若友方英雄在接下来的10秒内阵亡，圣焰之手可以使之复活且回复部分生命值,,若友方英雄在接下来的10秒内阵亡，圣焰之手可以使之复活且回复部分生命值,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11205,6,139,0,0,5,1,1,-1,火神附体【[SKILLSLOT=2]键】,天赋：火神附体,圣焰之手生命值提高，并且对周围所有敌人持续灼烧，持续10秒,,圣焰之手生命值提高，并且对周围所有敌人持续灼烧，持续10秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11202,9,137,0,0,5,1,1,3,火焰附着【被动】,天赋：火焰附着,圣焰裁决的持续时间延长至10秒，并且普攻造成的额外魔法伤害提高,,圣焰裁决的持续时间延长至10秒，并且普攻造成的额外魔法伤害提高,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11208,9,136,0,0,5,1,1,0,魔力回溯【[SKILLSLOT=0]键】,天赋：魔力回溯,圣焰火鸟每击中一个敌方英雄，冷却降低4秒,,圣焰火鸟每击中一个敌方英雄，冷却降低4秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11217,9,136,1,0,0,1,1,0,火焰强袭,天赋：火焰强袭,提高圣焰火鸟的最大伤害,,提高圣焰火鸟的最大伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11211,12,230,0,0,0,1,1,18,金身【1键】,天赋：金身,使英雄无敌2.5秒，期间不能做任何操作,,使英雄无敌2.5秒，期间不能做任何操作,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
12,11212,12,231,1,0,0,1,1,16,冰霜冲击【1键】,天赋：冰霜冲击,对目标英雄造成一次魔法伤害并减速,,对目标英雄造成一次魔法伤害并减速,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
12,11213,12,224,0,0,0,1,1,3,法术护盾【被动】,天赋：聚合,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害15%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11209,15,139,1,0,0,1,1,2,火神注视【[SKILLSLOT=2]键】,天赋：火神注视,若浴火重生未进入冷却，自己殒命则自动复活并进入冷却,,若浴火重生未进入冷却，自己殒命则自动复活并进入冷却,11204,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11210,15,139,0,0,5,1,1,2,火神【[SKILLSLOT=2]键】,天赋：火神,火神附体提高血量上限和对周围的伤害,,火神附体提高血量上限和对周围的伤害,11205,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
12,11214,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
12,11215,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
12,11216,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
13,11301,3,133,1,0,0,1,1,3,魔性铠甲【被动】,天赋：魔性铠甲,反弹受到的普通攻击伤害的20%魔法伤害 ,,反弹受到的普通攻击伤害的20%魔法伤害 ,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
13,11302,3,131,0,0,5,1,1,0,双刃剑【[SKILLSLOT=0]键】,天赋：双刃剑,再来一桶伤害提升,,再来一桶伤害提升到[LEVEL=1368+190][blue](+[MA=80])[/blue],,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
13,11303,3,130,0,0,5,1,1,3,养精蓄锐【被动】,天赋：养精蓄锐,附近敌方小兵阵亡永久提升生命,,附近敌方小兵阵亡永久提升2点生命，每叠加满100点生命，会额外获得100点生命值,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
13,11304,6,134,1,0,0,1,1,-1,震天撼地【[SKILLSLOT=2]键】,天赋：重盾挥击,高高跃起，全力砸击目标地面，造成伤害并眩晕,,高高跃起，全力砸击目标地面，造成伤害并眩晕,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
13,11305,9,131,0,0,5,1,1,0,浓度酒桶【[SKILLSLOT=0]键】,天赋：浓度酒桶[SKILLSLOT=0]键】,被再来一桶击中会进入醉酒。醉酒状态下普攻输出降低。,,被再来一桶击中会进入醉酒。醉酒状态下普攻输出降低。,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
13,11306,9,133,1,0,0,1,1,1,难以承受【[SKILLSLOT=1]键】,天赋：难以承受,禁军铠甲对目标伤害会持续提升,,禁军铠甲对目标伤害逐渐提高,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
200,11307,9,130,0,0,5,1,1,1,酒气护体【[SKILLSLOT=1]键】,天赋：酒气护体,被动护盾效果可在战斗中触发，每10秒触发1次,,被动护盾效果可在战斗中触发，每10秒触发1次,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
13,11309,12,124,0,0,0,1,1,16,激昂【1键】,天赋：激昂,增加周围我方英雄移速,,增加周围我方英雄移速,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
13,11310,12,237,1,0,0,1,1,3,防御光环【被动】,天赋：防御光环,周围友方英雄双抗提升20,,周围友方英雄双抗提升20,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
13,11311,12,162,0,0,0,1,1,16,腐蚀【1键】,天赋：腐蚀,降低范围内敌方英雄护甲,,降低范围内敌方英雄护甲,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
13,11308,15,134,1,0,0,1,1,2,震天撼地【[SKILLSLOT=2]键】,天赋：重盾挥击,提升重盾挥击伤害,,提升重盾挥击伤害,11304,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
13,11312,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
