技能ID,事件ID,客户端条件列表,客户端效果列表,服务器条件列表,服务器效果列表
379,3,empty,empty,1,6454
379,3,empty,empty,155;558,4653
380,3,empty,empty,79,3135
380,3,empty,empty,152,4640
381,1,empty,empty,90,empty
381,4,empty,empty,empty,3404
381,2,empty,empty,empty,6008
381,1,empty,empty,empty,6018
382,3,empty,empty,22,1502;1147;1668;1500;1218
383,2,empty,empty,empty,1541
387,2,empty,empty,empty,1521;1520
387,1,empty,empty,empty,1509;1527;1877
388,3,empty,empty,79,3131
389,3,empty,empty,79,3131
390,3,empty,empty,79,3135
391,3,empty,empty,79,3132
396,2,empty,empty,empty,1524
397,2,empty,empty,empty,1597
399,3,empty,empty,33,1710;1711
399,3,empty,empty,34,1712;1717
399,3,empty,empty,35,1719;1713
400,3,empty,empty,79,1603
400,8,empty,empty,empty,2178
400,1,empty,empty,56,2176
400,3,empty,empty,4,3380;1026
401,1,empty,empty,empty,1666
402,2,empty,empty,empty,2042
402,3,empty,empty,48,2054
402,3,empty,empty,49;305;4,6810
402,3,empty,empty,304;326,5717
402,3,empty,empty,327;304,743
402,3,empty,empty,49;305;12,7032
404,1,empty,1893,empty,1709
406,10,empty,empty,44,empty
406,6,empty,1893,empty,empty
406,3,empty,empty,50,1509;1527
406,3,empty,empty,51,1509;12
406,4,empty,1893,empty,1520
407,3,empty,empty,empty,1726
407,2,empty,empty,empty,3341
408,3,empty,empty,empty,1731
408,2,empty,empty,empty,3340
409,2,empty,empty,empty,1732
410,2,empty,empty,empty,1736;3339
411,2,empty,empty,empty,1737;3338
412,10,empty,empty,empty,1789
412,3,empty,empty,15,1369
412,3,empty,empty,1,6409
412,11,empty,empty,empty,21366
413,3,empty,empty,15,1369
413,3,empty,empty,1,6410
414,3,empty,empty,79,3134
414,3,empty,empty,15,1369
414,3,empty,empty,1,6411
415,3,empty,empty,empty,1759
415,3,empty,empty,79,3130
415,3,empty,empty,423,6323
416,3,empty,empty,empty,1760
416,3,empty,empty,79,3130
416,3,empty,empty,4,4713
416,3,empty,empty,423,6323
417,3,empty,empty,empty,1761
417,3,empty,empty,79,3130
417,2,empty,empty,empty,4728
417,3,empty,empty,423,6323
418,3,empty,empty,empty,1762
418,3,empty,empty,79,3131
418,3,empty,empty,423,6323
419,3,empty,empty,empty,1763
419,3,empty,empty,79,3130
419,3,empty,empty,423,6323
420,3,empty,empty,empty,1846
421,3,empty,empty,empty,1850
422,3,empty,empty,empty,1851
423,3,empty,empty,empty,1852
424,3,empty,empty,empty,1853
425,2,empty,empty,empty,1775
426,2,empty,empty,empty,1776
427,2,empty,empty,empty,1777;4719
428,2,empty,empty,empty,1778
429,2,empty,empty,empty,1779
430,3,empty,empty,empty,1785
430,2,empty,empty,empty,1905
431,3,empty,empty,empty,1785
431,2,empty,empty,empty,1905
432,3,empty,empty,empty,1785
432,2,empty,empty,empty,1905
433,10,empty,empty,empty,1787
433,3,empty,empty,1,6410
433,11,empty,empty,empty,21363
434,3,empty,empty,1,6410
435,3,empty,empty,1,6409
436,3,empty,empty,1,6411
437,2,empty,empty,empty,1965
438,2,empty,empty,empty,1965
439,2,empty,empty,empty,1965
440,2,empty,empty,empty,1965
441,2,empty,empty,empty,1965
442,2,empty,empty,empty,3017
442,3,empty,empty,571,6942
443,2,empty,empty,empty,3018
443,3,empty,empty,empty,3030
444,2,empty,empty,empty,3019
444,3,empty,empty,empty,3031
445,2,empty,empty,empty,3020
445,3,empty,empty,empty,3032
446,2,empty,empty,empty,3021
446,3,empty,empty,empty,3033
447,2,empty,empty,empty,3022
447,2,empty,empty,156,4665
447,2,empty,empty,479,6487
447,2,empty,empty,480,6488
448,2,empty,empty,empty,3023
449,2,empty,empty,empty,3024
450,2,empty,empty,empty,3025
451,2,empty,empty,empty,3026
452,2,empty,empty,empty,1965;4214
452,1,empty,empty,empty,4205;1870
453,2,empty,empty,empty,1965;4214
453,1,empty,empty,empty,4205;1870
454,2,empty,empty,empty,1965;4214
454,1,empty,empty,empty,4205;1870
456,11,empty,empty,empty,1746
457,11,empty,empty,empty,6715
458,10,empty,empty,empty,1791
458,3,empty,empty,15,1369
458,3,empty,empty,1,6409
458,11,empty,empty,empty,21365
459,3,empty,empty,15,1369
459,3,empty,empty,1,6410
460,3,empty,empty,15,1369
460,3,empty,empty,1,6454
461,3,empty,empty,15,1369
461,3,empty,empty,79,3136
461,3,empty,empty,1,empty
462,3,empty,empty,515,1792
462,1,empty,empty,empty,1862
462,4,empty,empty,empty,1863
462,6,empty,empty,empty,1863;6914
462,2,empty,1946;2055;2056;21351,empty,empty
462,2,empty,2028,45,empty
462,2,empty,2029,46,empty
462,3,empty,empty,79,3135
462,3,empty,empty,235;4,5158
462,3,empty,empty,236,5184
462,2,empty,empty,513;514,6628
462,3,empty,empty,516,6629
463,3,empty,empty,empty,1793
463,1,empty,empty,empty,1862
463,4,empty,empty,empty,1863
463,6,empty,empty,empty,1863;6914
463,2,empty,1946;2055;2056,empty,empty
463,2,empty,2028,45,empty
463,2,empty,2029,46,empty
463,3,empty,empty,79,3135
463,3,empty,empty,235;4,5158
463,3,empty,empty,236,5184
464,3,empty,empty,empty,2841;1794
464,1,empty,empty,empty,1862
464,4,empty,empty,empty,1863
464,6,empty,empty,empty,1863
464,2,empty,1946;2055;2056,empty,empty
464,2,empty,2028,45,empty
464,2,empty,2029,46,empty
464,3,empty,empty,79,3132
465,3,empty,empty,empty,2841;1795
465,4,empty,empty,empty,1863
465,1,empty,empty,empty,1862
465,6,empty,empty,empty,1863
465,2,empty,1946;2055;2056,empty,empty
465,2,empty,2028,45,empty
465,2,empty,2029,46,empty
465,3,empty,empty,79,3131
466,3,empty,empty,empty,2841;1796
466,1,empty,empty,empty,1862
466,4,empty,empty,empty,1863
466,6,empty,empty,empty,1863
466,2,empty,1946;2055;2056,empty,empty
466,2,empty,2028,45,empty
466,2,empty,2029,46,empty
466,3,empty,empty,79,3135
467,3,empty,empty,empty,1797
467,2,empty,empty,empty,1803
467,3,empty,empty,234,5157
468,3,empty,empty,empty,1798
468,2,empty,empty,empty,1803
469,3,empty,empty,empty,1799
469,2,empty,empty,empty,1803
470,3,empty,empty,empty,1800
470,2,empty,empty,empty,1803
471,3,empty,empty,empty,1801
471,2,empty,empty,empty,1803
472,2,empty,empty,empty,1804
473,2,empty,empty,empty,1805
474,2,empty,empty,empty,1806
475,2,empty,empty,empty,1807
476,2,empty,empty,empty,1808
477,2,empty,empty,empty,1810
478,2,empty,empty,empty,1811
478,11,empty,empty,empty,5207
479,2,empty,empty,empty,1812
484,3,empty,empty,411,2841
484,3,empty,empty,412,5156
484,3,empty,empty,empty,1992
485,3,empty,empty,empty,2841;1992
486,3,empty,empty,empty,1844
487,10,empty,empty,empty,1880
487,3,empty,empty,37,1899;1904
487,3,empty,empty,15,1369
487,3,empty,empty,1,6466
487,3,518,6415,empty,empty
487,11,empty,empty,empty,21364
488,3,empty,empty,37,1899;1904
488,3,empty,empty,15,1369
488,3,empty,empty,1,6466
488,3,518,6416,empty,empty
489,3,empty,empty,37,1899;1904
489,3,empty,empty,15,1369
489,3,empty,empty,1,6411
490,3,empty,empty,empty,1888
490,3,empty,empty,575,6947
491,3,empty,empty,empty,1888
492,3,empty,empty,empty,1888
493,3,empty,empty,empty,1891
494,3,empty,empty,empty,1964
495,2,empty,empty,empty,4282
495,3,empty,empty,37,1899;1904
495,1,empty,empty,empty,5139
495,3,empty,empty,574,6949
496,2,empty,empty,empty,4288
496,3,empty,empty,37,1899;1904
496,1,empty,empty,empty,empty
497,2,empty,empty,empty,4288
497,3,empty,empty,37,1899;1904
497,1,empty,empty,empty,5140
498,2,empty,empty,empty,4290
498,3,empty,empty,37,1899;1904
498,3,empty,empty,38,1900;1904
498,3,empty,empty,39,1901;1904
498,3,empty,empty,40,1902;1904
498,3,empty,empty,41,1903;1904
498,1,empty,empty,empty,5142
499,2,empty,empty,empty,4291
499,3,empty,empty,37,1899;1904
499,3,empty,empty,38,1900;1904
499,3,empty,empty,39,1901;1904
499,3,empty,empty,40,1902;1904
499,3,empty,empty,41,1903;1904
499,1,empty,empty,empty,5143
500,3,empty,empty,empty,50;1883
500,3,empty,empty,37,1899;1904
500,2,empty,empty,empty,6178
501,3,empty,empty,empty,50;1883
501,3,empty,empty,37,1899;1904
501,2,empty,empty,empty,6178
502,3,empty,empty,empty,50;1883
502,3,empty,empty,37,1899;1904
502,3,empty,empty,38,1900;1904
502,2,empty,empty,empty,6178
505,3,empty,empty,empty,1881
505,3,empty,empty,37,1899;1904
505,3,empty,empty,38,1900;1904;4697
505,3,empty,empty,39,1901;1904
505,3,empty,empty,40,1902;1904
505,3,empty,empty,41,1903;1904
505,2,empty,empty,empty,6178
506,3,empty,empty,empty,1881
506,3,empty,empty,37,1899;1904
506,3,empty,empty,38,1900;1904
506,3,empty,empty,39,1901;1904
506,3,empty,empty,40,1902;1904
506,3,empty,empty,41,1903;1904
506,2,empty,empty,empty,6178
507,3,empty,empty,37,1899;1904
507,3,empty,empty,38,1900;1904
507,3,empty,empty,39,1901;1904
507,3,empty,empty,40,1902;1904
507,3,empty,empty,41,1903;1904
507,3,empty,empty,empty,1963
508,11,empty,empty,empty,6470
508,2,empty,empty,empty,5381
509,3,empty,empty,37,1899;1904
509,3,empty,empty,38,1900;1904
509,3,empty,empty,39,1901;1904
509,3,empty,empty,40,1902;1904
509,3,empty,empty,41,1903;1904
509,3,empty,empty,empty,1963
510,3,empty,empty,empty,2791;2804;3466
510,2,empty,empty,empty,empty
510,3,empty,empty,157,4679
510,9,empty,empty,empty,2819
511,3,empty,empty,empty,2791;2805;3466
511,2,empty,empty,empty,empty
512,3,empty,empty,empty,2791;2806;3466
512,2,empty,empty,empty,empty
513,3,empty,empty,empty,2791;2807;3466
513,2,empty,empty,empty,empty
514,3,empty,empty,empty,2791;2808;3466
514,2,empty,empty,empty,empty
515,2,empty,empty,empty,1915
515,3,empty,empty,empty,2838;2819
515,10,empty,empty,68,empty
515,3,empty,empty,160,4686
516,2,empty,empty,empty,1915
516,3,empty,empty,empty,2838;2819
516,10,empty,empty,68,empty
517,2,empty,empty,empty,1915
517,3,empty,empty,empty,2838;2819
517,10,empty,empty,68,empty
518,2,empty,empty,empty,1915
518,3,empty,empty,empty,2838;2819
518,10,empty,empty,68,empty
518,3,empty,empty,160,4686
519,2,empty,empty,empty,1915
519,3,empty,empty,empty,2838;2819
519,10,empty,empty,68,empty
520,2,empty,empty,empty,112
521,2,empty,empty,empty,112
522,2,empty,empty,empty,112
523,2,empty,empty,empty,112
524,2,empty,empty,empty,112;747
525,11,empty,empty,empty,1954
525,2,empty,empty,empty,5381
526,1,empty,empty,90,empty
526,2,empty,empty,empty,3404
526,6,empty,6079;6080,empty,3404
527,3,empty,empty,empty,1908;2038
527,2,empty,empty,empty,1823;2037
528,3,empty,empty,empty,1908;2038
528,2,empty,empty,empty,1823;2037
529,3,empty,empty,empty,1908;2038
529,2,empty,empty,empty,1823;2037
530,3,empty,empty,empty,1908;2038
530,2,empty,empty,empty,1823;2037
531,3,empty,empty,47,2041
532,10,empty,empty,empty,2142
532,3,empty,empty,1,6409
532,11,empty,empty,empty,21367
533,3,empty,empty,1,6410
534,3,empty,empty,1,6411
535,3,empty,empty,79,3134
536,2,empty,empty,empty,2173;3147;6060
536,3,empty,empty,empty,4110;6938
536,3,empty,empty,79,3124
536,3,empty,empty,438,6376
536,2,empty,empty,133,6627
537,2,empty,empty,empty,6062
537,3,empty,empty,empty,4110
537,3,empty,empty,79,3124
537,3,empty,empty,empty,3147;6060
537,2,empty,empty,133,6627
538,2,empty,empty,empty,2173;3147
538,3,empty,empty,empty,4110
538,3,empty,empty,79,3124
539,2,empty,empty,empty,2173;3150
539,3,empty,empty,empty,4110
539,3,empty,empty,79,3124
540,2,empty,empty,empty,2173;3151
540,3,empty,empty,empty,4110
540,3,empty,empty,79,3124
541,2,empty,empty,empty,2148
541,2,empty,empty,437,4538
542,2,empty,empty,empty,2217;4538
543,2,empty,empty,empty,2218;4560
544,2,empty,empty,empty,2219
545,2,empty,empty,empty,2220
546,2,empty,empty,empty,2185
547,2,empty,empty,empty,112
548,2,empty,empty,empty,112
549,2,empty,empty,empty,112
550,2,empty,empty,empty,112
551,3,empty,2276,empty,2229;2233;3141
551,1,521,2232,empty,empty
551,4,empty,2245,empty,empty
552,3,empty,2276,empty,2229;2233
552,1,empty,empty,2,empty
552,4,empty,2245,empty,empty
553,3,empty,2276,empty,2229;2233
553,1,empty,empty,2,empty
553,4,empty,2245,empty,empty
554,11,empty,empty,empty,3216
555,2,empty,empty,empty,2173;5206;3152
555,3,empty,empty,79,3124
555,4,empty,empty,empty,4110
555,3,empty,empty,438,6376
555,2,empty,empty,133,6627
556,2,empty,empty,empty,5206;3152;6062
556,3,empty,empty,79,3124
556,4,empty,empty,empty,4110
556,2,empty,empty,133,6627
557,2,empty,empty,empty,2173
557,3,empty,empty,79,3124
557,4,empty,empty,empty,3152;4110
558,2,empty,empty,empty,2173
558,3,empty,empty,79,3133
558,4,empty,empty,empty,3152;4110
559,2,empty,empty,empty,2173
559,3,empty,empty,79,3133
559,4,empty,empty,empty,3152;4110
560,2,empty,3262,empty,3511;3515;3534;3536;3533;2182
560,1,empty,empty,93,2682
560,4,empty,empty,empty,3676
560,2,empty,empty,131,4361
560,1,empty,empty,286,empty
560,2,empty,empty,493,19209
561,3,empty,empty,empty,2237
561,4,empty,empty,empty,2236
564,4,empty,empty,empty,2323
565,4,empty,empty,empty,2344
565,2,empty,empty,empty,112;2345
566,2,empty,empty,59,4361
566,7,empty,empty,60,empty
567,10,empty,empty,empty,2353
567,3,empty,empty,443;4,5629
567,3,empty,empty,1,6409
568,3,empty,empty,443;4,5629
568,3,empty,empty,1,6410
569,3,empty,empty,79,3130
569,3,empty,empty,443;4,5629
569,3,empty,empty,1,6411
570,3,empty,empty,167;161;495,2881
570,3,empty,empty,168,2882
570,3,empty,empty,440,2883
570,3,empty,empty,441,2884
570,3,empty,empty,441;4,6495
571,3,empty,empty,empty,2882
572,3,empty,empty,empty,2883
573,3,empty,empty,empty,2884
574,3,empty,empty,empty,2885
575,2,empty,empty,170;162,2383
575,2,empty,empty,171,2384
575,2,empty,empty,163,2385
576,2,empty,empty,162,4734
576,3,empty,empty,161,4731
576,2,empty,empty,163,4735
576,2,empty,empty,164,4736
576,2,empty,empty,165,4737
576,2,empty,empty,166,4738
576,11,empty,empty,empty,4765
577,2,empty,empty,empty,2385
578,2,empty,empty,empty,2386
579,2,empty,empty,empty,2387
580,3,empty,empty,empty,2400;2404;3292
580,2,empty,empty,167;169,2881;4758
580,2,empty,empty,168;169,2882;4759
581,3,empty,empty,empty,2401;3082;3304
581,1,empty,empty,2,empty
581,2,empty,empty,167;169,2881;4758
581,2,empty,empty,168;169,2882;4759
582,3,empty,empty,empty,2402;3083;3292
582,1,empty,empty,2,empty
583,11,empty,empty,empty,2351
584,2,empty,empty,empty,2403;4762
584,3,empty,empty,empty,2418
584,3,empty,empty,79,3132
585,2,empty,empty,empty,2403;4762
585,3,empty,empty,79,3133
585,3,empty,empty,empty,2418
586,2,empty,empty,empty,2403;2418
586,3,empty,empty,79,3132
587,10,empty,empty,empty,2428
587,2,empty,empty,empty,20702
587,2,empty,empty,433,20703
587,11,empty,empty,empty,20715;20716
587,3,empty,empty,1,6466
587,3,518,6415,empty,empty
587,11,empty,empty,empty,21371
588,2,empty,empty,empty,3056;20702
588,2,empty,empty,433,20703
588,3,empty,empty,1,6466
588,3,518,6416,empty,empty
589,2,empty,empty,empty,2779
589,3,empty,empty,79,3124
590,4,empty,empty,432,20703
590,4,empty,empty,empty,20724
590,1,empty,empty,empty,20739
591,4,empty,empty,432,20703
591,1,empty,empty,empty,empty
592,4,empty,empty,432,20703
592,4,empty,empty,empty,20724
592,1,empty,empty,empty,20739
592,2,empty,20711,empty,empty
592,14,empty,6990,empty,empty
595,1,empty,empty,empty,6288;20739
595,4,empty,empty,empty,6289;20714
595,3,empty,empty,431,6615
595,4,empty,empty,432,20703
595,4,empty,empty,empty,20724
595,2,empty,empty,430,20712
596,3,empty,empty,empty,2595
596,3,empty,empty,79,3131
596,2,empty,empty,empty,4586
597,3,empty,empty,empty,empty
597,3,empty,empty,79,3131
598,3,empty,empty,empty,empty
598,3,empty,empty,79,3132
599,3,empty,empty,empty,4595
600,1,empty,empty,empty,20721
601,1,empty,empty,empty,20721
602,4,empty,2835,empty,empty
602,3,empty,empty,79,3133
602,2,empty,empty,empty,3311
603,10,empty,empty,empty,2472
603,3,empty,empty,1,6466
603,3,518,6415,empty,empty
603,11,empty,empty,empty,21369
604,3,empty,empty,1,6466
604,3,518,6416,empty,empty
605,3,empty,empty,1,6411
607,3,empty,empty,226,5093
608,3,empty,empty,226,5093
612,2,empty,empty,empty,2439;4378
612,2,empty,empty,554,6821
613,2,empty,empty,empty,2441;4378
614,2,empty,empty,empty,2452;4378
615,2,empty,empty,empty,2455;4378
616,2,empty,empty,empty,2456;4378
617,2,empty,2029,empty,3699;3698;3697;6709
617,2,empty,empty,227,5087
618,2,empty,empty,empty,3697;3698;3754;6710
618,2,empty,empty,227,5087
619,2,empty,empty,empty,3755;3697;3698;6711
619,2,empty,empty,227,5087
620,11,empty,empty,empty,3695;3722
622,4,empty,empty,empty,5549
622,2,empty,empty,empty,5088;6712
623,11,empty,empty,empty,empty
624,10,empty,empty,empty,2469
624,3,empty,empty,15,1369
624,3,empty,empty,1,6409
624,11,empty,empty,empty,21370
625,3,empty,empty,15,1369
625,3,empty,empty,1,6410
626,3,empty,empty,79,3134
626,3,empty,empty,15,1369
626,3,empty,empty,1,6411
627,3,empty,empty,15,1369
628,3,empty,empty,empty,empty
628,3,empty,empty,79,3130
628,2,empty,empty,243,5192
629,3,empty,empty,empty,5678
629,2,empty,6940,empty,empty
630,3,empty,empty,empty,2666
630,3,empty,empty,79,3130
631,3,empty,empty,empty,2667
631,3,empty,empty,79,3130
631,3,empty,empty,295;4,5683
631,2,empty,empty,empty,6933
632,3,empty,empty,481,2668
632,3,empty,empty,79,3130
632,3,empty,empty,293,5678
632,3,empty,empty,295,5683
632,2,empty,empty,empty,6933
633,3,empty,3091;3139,empty,2669
633,3,empty,empty,238,5185;5186
633,3,empty,empty,239,5187;5188
633,3,empty,empty,240;241,5189
633,2,empty,empty,243,5192
633,3,empty,empty,288,5631
634,3,empty,3091;3139,empty,2669;3113
635,3,empty,3091;3139,empty,2669
636,3,empty,3091;3139,empty,2669;2440
636,3,empty,empty,294,5681
637,3,empty,3091;3139,empty,2669
638,2,empty,empty,407,2687
638,2,empty,empty,243,5192
638,2,empty,empty,408,2688
639,2,empty,empty,empty,2688
639,2,empty,empty,243,5192
640,2,empty,empty,empty,2689
641,11,empty,empty,empty,2786
642,10,empty,empty,empty,2772
642,3,empty,empty,67,1369
642,3,empty,empty,1,6466
642,3,518,6415,empty,empty
642,11,empty,empty,empty,21372
643,3,empty,empty,67,1369
643,3,empty,empty,1,6466
643,3,518,6416,empty,empty
644,3,empty,empty,67,1369
644,3,empty,empty,1,6411
645,11,empty,empty,empty,3583
646,3,empty,21284,empty,2760
646,3,empty,empty,112;224,3415
646,2,empty,empty,empty,5705
646,2,empty,empty,300,5707
646,14,empty,5890,empty,empty
647,3,empty,21284,empty,2760;2894
647,3,empty,empty,220,5077
647,3,empty,empty,112;224,5768
647,2,empty,empty,empty,5705
647,2,empty,empty,300,5707
647,14,empty,5890,empty,empty
648,3,empty,empty,empty,2760;2893;3410
649,3,empty,empty,empty,2760;2893;3411
650,3,empty,empty,empty,2760;2893;3412
651,3,empty,empty,4,2768
651,3,empty,empty,92,3527
651,3,empty,empty,216;332,5078
652,3,empty,empty,4,3808
652,3,empty,empty,92,5693
652,3,empty,empty,216;332,5078
653,3,empty,empty,4,3809
653,3,empty,empty,92,3527
653,3,empty,empty,332;216,5078
654,3,empty,empty,4,3810
654,3,empty,empty,92,3527
655,3,empty,empty,4,3811
655,3,empty,empty,92,3527
656,13,empty,2793,empty,2787;6015
656,4,empty,2896,empty,3620;6016
656,1,empty,empty,empty,20978
656,6,empty,empty,empty,21272
657,13,empty,2942,empty,2787
657,4,empty,2896,empty,3620
657,6,empty,empty,empty,21272
658,13,empty,2943,empty,2787
658,4,empty,2896,empty,3620
658,1,empty,empty,empty,20978
658,6,empty,empty,empty,21272
660,11,empty,empty,empty,2778
663,2,empty,empty,263,5436
663,2,empty,empty,264,5437
664,4,empty,empty,empty,5549
664,2,empty,empty,empty,6264;6713
664,1,empty,empty,empty,5107
664,2,empty,empty,229,5137
664,2,empty,empty,230,5138
665,11,empty,empty,empty,2875
666,11,empty,empty,empty,2877
667,11,empty,empty,empty,2878
668,11,empty,empty,empty,2879
669,11,empty,empty,empty,2880
670,10,empty,empty,empty,2892
670,3,empty,empty,67,1369
670,3,empty,empty,187,empty
670,3,empty,empty,1,6409
670,11,empty,empty,empty,21373
671,3,empty,empty,67,1369
671,3,empty,empty,187,4830
671,3,empty,empty,1,6410
672,3,empty,empty,67,1369
672,3,empty,empty,187,4830
672,3,empty,empty,1,6411
673,2,empty,empty,empty,2923;4867
673,2,empty,empty,183,3228
673,2,empty,empty,184,4822
673,2,empty,empty,185;194,4824
673,2,empty,empty,188;185,4840
673,2,empty,empty,189;185,4840
673,2,empty,empty,190;185,4840
673,2,empty,empty,191;185,4840
674,2,empty,empty,empty,2919;2923;3228
675,2,empty,empty,empty,2919;2923;3228
676,2,empty,empty,empty,2919;2923;3228
677,2,empty,empty,empty,2923;2919;3228
678,3,empty,empty,empty,3289
678,2,empty,empty,empty,3290;4867
678,3,empty,empty,82,3159
678,3,empty,empty,83,3162
678,3,empty,empty,84,3163
678,3,empty,empty,186,4827
678,3,empty,empty,192,2937;7046
678,3,empty,empty,193,4858;4859
678,2,empty,empty,empty,2923
678,2,empty,empty,185;194,4824
678,2,empty,empty,188;185,4840
678,2,empty,empty,189;185,4840
678,2,empty,empty,190;185,4840
678,2,empty,empty,191;185,4840
678,9,empty,empty,empty,6898
679,2,empty,empty,empty,3290
679,3,empty,empty,empty,3289;4858
679,3,empty,empty,82,3159
679,3,empty,empty,83,3162
679,3,empty,empty,84,3163
680,3,empty,empty,empty,2937;3289
680,2,empty,empty,empty,3290
680,3,empty,empty,82,3159
680,3,empty,empty,83,3162
680,3,empty,empty,84,3163
681,3,empty,empty,empty,2937;3289
681,2,empty,empty,empty,3290
681,3,empty,empty,82,3159
681,3,empty,empty,83,3304
681,3,empty,empty,84,3163
682,3,empty,empty,empty,2934;2937;3289
682,2,empty,empty,empty,3290
682,3,empty,empty,82,3159
682,3,empty,empty,83,3162
682,3,empty,empty,84,3163
683,3,empty,empty,empty,2982
684,3,empty,empty,empty,2982
685,3,empty,empty,empty,2982
685,4,empty,empty,empty,3248;3043
686,3,empty,empty,empty,5694
687,3,empty,empty,436,3415
688,3,empty,empty,436,3415
689,10,empty,empty,empty,2921
689,3,empty,empty,1,6409
689,11,empty,empty,empty,21368
690,3,empty,empty,1,6410
691,10,empty,empty,77,empty
691,2,empty,empty,empty,2937
692,2,empty,empty,empty,747
699,3,empty,empty,empty,2934;3162;3289
699,2,empty,empty,empty,3290;4867
699,3,empty,empty,192,2937
699,3,empty,empty,193,4858;4859
699,3,empty,empty,186,4827
699,2,empty,empty,empty,2923
699,2,empty,empty,185;194,4824
699,2,empty,empty,188;185,4840
699,2,empty,empty,189;185,4840
699,2,empty,empty,190;185,4840
699,2,empty,empty,191;185,4840
700,2,empty,empty,empty,3290
700,3,empty,empty,empty,2934;3162;3289
701,3,empty,empty,empty,3162;2934;2937;3289
701,2,empty,empty,empty,3290
702,2,empty,empty,empty,3290
702,3,empty,empty,empty,2934;3162;2937;3289
703,3,empty,empty,empty,3162;2934;2937;3289
703,2,empty,empty,empty,3290
704,2,empty,empty,empty,3290;4867
704,3,empty,empty,empty,3163;2934;3289
704,3,empty,empty,192,2937
704,3,empty,empty,193,4858;4859
704,3,empty,empty,186,4827
704,2,empty,empty,empty,2923
704,2,empty,empty,185;194,4824
704,2,empty,empty,188;185,4840
704,2,empty,empty,189;185,4840
704,2,empty,empty,190;185,4840
704,2,empty,empty,191;185,4840
705,3,empty,empty,empty,2934;3163;2937;3289
705,2,empty,empty,empty,3290
706,2,empty,empty,empty,3290
706,3,empty,empty,empty,3163;2934;2937;3289
707,3,empty,empty,empty,2934;3163;2937;3289
707,2,empty,empty,empty,3290
708,2,empty,empty,empty,3290
708,3,empty,empty,empty,2934;3163;2937;3289
709,2,empty,empty,empty,3231;4867
709,3,empty,empty,182,4821
709,2,empty,empty,empty,2923
709,2,empty,empty,185;194,4824
709,2,empty,empty,188;185,4840
709,2,empty,empty,189;185,4840
709,2,empty,empty,190;185,4840
709,2,empty,empty,191;185,4840
710,11,empty,empty,empty,3189
711,3,empty,empty,empty,3051
713,3,empty,empty,empty,3052
714,3,empty,empty,empty,3053
715,3,empty,empty,empty,3054
716,3,empty,empty,empty,3055
717,3,empty,empty,79,3133
718,3,empty,empty,79,3133
719,3,empty,empty,79,3133
720,3,empty,empty,79,3133
721,3,empty,empty,79,3133
722,3,empty,empty,15,1369
722,3,empty,empty,1,6466
722,3,518,6415,empty,empty
722,11,empty,empty,empty,21374
723,3,empty,empty,15,1369
724,3,empty,empty,15,1369
725,2,empty,6104,empty,3382;3373;3372;3548;5605;6480
725,3,empty,empty,172,4783
725,3,empty,empty,empty,3525;4779
726,2,empty,empty,empty,3367;6829
726,2,empty,empty,173,4733
726,2,empty,empty,174,4788
726,2,empty,empty,287,5604
726,2,empty,empty,511,3362
726,2,empty,empty,512,3361
727,2,empty,empty,empty,3368;3358
727,2,empty,empty,287,5604
728,2,empty,empty,empty,3369;3358
729,2,empty,empty,empty,3370;3358
730,2,empty,empty,empty,3371;3358
731,2,empty,empty,empty,3383
732,2,empty,empty,empty,3384
733,2,empty,empty,empty,3385
734,2,empty,empty,empty,3386
735,2,empty,empty,empty,3387
736,2,empty,empty,empty,3373;3372;3548;3731;3764;4971;6250;5605;6480
736,2,empty,empty,562,3382
737,2,empty,empty,empty,3373;3372;3548;3731;3764;4971;6250;5605;6480
737,2,empty,empty,562,3382
738,2,empty,empty,empty,3373;3372;3548;3731;3764;4971;6250
740,3,empty,empty,empty,3415
741,3,empty,empty,empty,3415
742,3,empty,empty,empty,3415
743,2,empty,empty,empty,2682;3260;6649
744,2,empty,empty,empty,3270;3260;6649
745,2,empty,empty,empty,3260;3271;6649
746,2,empty,6104,empty,3382;3373;3372;3548;5605;6480
746,3,empty,empty,172,4783
746,3,empty,empty,empty,3525;4779
746,4,empty,6626,empty,6830
747,2,empty,6104,empty,3373;3372;3548;4314;5605;6480
747,3,empty,empty,empty,3525
747,2,empty,empty,172,4783
748,2,empty,empty,empty,3382;3372;3373;3548;6480
748,3,empty,empty,empty,3525
749,2,empty,empty,empty,3382;3373;3372;3548
749,3,empty,empty,empty,3525
750,2,empty,empty,empty,3382;3373;3372;3548
750,3,empty,empty,empty,3525
751,3,empty,empty,empty,4278;5402
752,2,empty,empty,empty,4274
752,3,empty,empty,empty,5403;5896
753,2,empty,empty,empty,4276
753,3,empty,empty,empty,4277
754,2,empty,empty,empty,empty
755,2,empty,empty,empty,empty
756,2,empty,empty,empty,empty
757,2,empty,empty,empty,empty
758,2,empty,empty,empty,empty
759,11,empty,empty,empty,2332
760,1,empty,empty,90,empty
760,2,empty,empty,empty,5945;3404;6010
760,4,empty,5952,empty,empty
761,13,empty,5961,empty,empty
761,4,empty,empty,empty,7031
762,4,empty,empty,empty,5953;6011
762,1,empty,empty,empty,5958;5982
763,3,empty,empty,empty,2841
764,3,empty,empty,empty,2841
765,2,empty,empty,empty,3732
765,1,empty,3729,empty,5611;6251
