奖励ID,奖励名称,奖励图标,品质,奖励描述,广播标识,奖励类型(1召唤师经验2绑金3英雄4固定核晶5固定基因样本6随机基因样本7天赋8宝箱9特殊物品(例如改名卡、刷新卡牌商店)10增益卡11XP技能12皮肤13水晶14水晶模组15任务搜索次数16表情包),圆饼拖尾光效,模型底座光效,模型底座外发光光效,参数1（英雄ID）,参数2（皮肤ID）,参数3,参数4,参数5,备注
1114,中级成长护甲符印 ,1,3, 每级0.72物理防御(18级12.96),,4,13,19,25,114,1,,,,
1115,中级成长护甲精华 ,1,3, 每级1.14物理防御(18级20.52),,4,13,19,25,115,1,,,,
1116,中级移动速度精华 ,1,3, 4.5%移动速度,,4,13,19,25,116,1,,,,
1117,初级暴击印记 ,1,2,4.2%暴击几率,,4,9,15,21,117,1,,,,
1118,初级暴击几率精华 ,1,2, 5.58%暴击几率,,4,9,15,21,118,1,,,,
1119,初级暴伤印记 ,1,2,10%暴击伤害,,4,9,15,21,119,1,,,,
1120,初级暴击伤害吸血精华 ,1,2, 13.38%暴击伤害,,4,9,15,21,120,1,,,,
1121,初级法力回复雕文 ,1,2, 1.5法力回复/5秒,,4,9,15,21,121,1,,,,
1122,初级法力回复精华 ,1,2, 3.75法力回复/5秒,,4,9,15,21,122,1,,,,
1123,初级成长法力回复雕文 ,1,2, 每级0.27法力回复/5秒(18级4.86),,4,9,15,21,123,1,,,,
1124,初级成长法力回复精华 ,1,2, 每级0.82法力回复/5秒(18级12.96),,4,9,15,21,124,1,,,,
1125,初级法力值雕文 ,1,2, 50.6法力值,,4,9,15,21,125,1,,,,
1126,初级法力值精华 ,1,2, 112.5法力值,,4,9,15,21,126,1,,,,
1127,初级成长法力值雕文 ,1,2, 每级6.4法力值(18级115.2),,4,9,15,21,127,1,,,,
1128,初级成长法力值精华 ,1,2, 每级12.51法力值(18级225.18),,4,9,15,21,128,1,,,,
1129,初级法术穿透印记 ,1,2, 3.9法术穿透,,4,9,15,21,129,1,,,,
1130,初级法术穿透精华 ,1,2, 6.03法术穿透,,4,9,15,21,130,1,,,,
1131,初级法术防御雕文 ,1,2, 6法术防御,,4,9,15,21,131,1,,,,
1132,初级法术防御精华 ,1,2, 12法术防御,,4,9,15,21,132,1,,,,
1133,初级成长法术防御雕文 ,1,2, 每级0.72法术防御(18级12.96),,4,9,15,21,133,1,,,,
1134,初级成长法术防御精华 ,1,2, 每级1.11法术防御(18级19.98),,4,9,15,21,134,1,,,,
1135,初级法术强度雕文 ,1,2, 5.4法术强度,,4,9,15,21,135,1,,,,
1136,初级法术强度精华 ,1,2, 14.85法术强度,,4,9,15,21,136,1,,,,
1137,初级成长法术强度雕文 ,1,2, 每级0.77法术强度(18级13.86),,4,9,15,21,137,1,,,,
1138,初级成长法术强度精华 ,1,2, 每级1.29法术强度(18级23.22),,4,9,15,21,138,1,,,,
1139,初级法术吸血精华 ,1,2, 6%法术吸血,,4,9,15,21,139,1,,,,
1140,初级攻击印记 ,1,2, 4.7攻击力,,4,9,15,21,140,1,,,,
1141,初级攻击力精华 ,1,2, 7.5攻击力,,4,9,15,21,141,1,,,,
1142,初级成长攻击印记 ,1,2, 每级0.65攻击力(18级11.7),,4,9,15,21,142,1,,,,
1143,初级成长攻击力精华 ,1,2, 每级0.83攻击力(18级14.94),,4,9,15,21,143,1,,,,
1144,初级护甲穿透印记 ,1,2, 5.8护甲穿透,,4,9,15,21,144,1,,,,
1145,初级护甲穿透精华 ,1,2, 7.68护甲穿透,,4,9,15,21,145,1,,,,
1146,初级初级混合穿透印记 ,1,2, 4.05物理防御穿透/2.79法术防御穿透,,4,9,15,21,146,1,,,,
1147,初级混合穿透精 ,1,2, 5.37物理防御穿透/4.2法术防御穿透,,4,9,15,21,147,1,,,,
1148,初级冷却缩减雕文 ,1,2, 3.74%冷却缩减,,4,9,15,21,148,1,,,,
1149,初级冷却缩减精华 ,1,2, 7.5%冷却缩减,,4,9,15,21,149,1,,,,
1150,初级成长冷却缩减雕文 ,1,2, 每级0.4%冷却缩减(18级7.2%),,4,9,15,21,150,1,,,,
1151,初级成长生冷却缩减精华 ,1,2, 每级0.84%冷却缩减(18级15.12%),,4,9,15,21,151,1,,,,
1152,初级能量回复符印 ,1,2, 2.84能量回复/5秒,,4,9,15,21,152,1,,,,
1153,初级能量回复精华 ,1,2, 4.73能量回复/5秒,,4,9,15,21,153,1,,,,
1154,初级成长能量回复符印 ,1,2, 每级0.29能量回复/5秒(18级5.22),,4,9,15,21,154,1,,,,
1155,初级能量值雕文 ,1,2, 10能量值,,4,9,15,21,155,1,,,,
1156,初级能量值精华 ,1,2, 16.2能量值,,4,9,15,21,156,1,,,,
1157,初级普攻伤害印记 ,1,2,7.65%普攻伤害,,4,9,15,21,157,1,,,,
1158,初级普攻伤害精华 ,1,2, 13.5%普攻伤害,,4,9,15,21,158,1,,,,
1159,初级生命回复符印 ,1,2, 2.52生命恢复/5秒,,4,9,15,21,159,1,,,,
1160,初级生命回复精华 ,1,2, 8.1生命恢复/5秒,,4,9,15,21,160,1,,,,
1161,初级成长生命回复符印 ,1,2, 每级0.5生命恢复/5秒(18级9),,4,9,15,21,161,1,,,,
1162,初级成长生命回复精华 ,1,2, 每级0.84生命恢复/5秒(18级15.12),,4,9,15,21,162,1,,,,
1163,初级生命偷取精华 ,1,2, 4.5%生命偷取,,4,9,15,21,163,1,,,,
1164,初级生命值符印 ,1,2, 36生命值,,4,9,15,21,164,1,,,,
1165,初级生命值精华 ,1,2, 78生命值,,4,9,15,21,165,1,,,,
1166,初级长生命值符印 ,1,2, 每级5.99生命值(18级107.82),,4,9,15,21,166,1,,,,
1167,初级成长生命值精华 ,1,2, 每级8.1生命值(18级145.8),,4,9,15,21,167,1,,,,
1168,初级百分比生命值符印 ,1,2, 2.25%生命值,,4,9,15,21,168,1,,,,
1169,初级百分比生命值精华 ,1,2, 4.5%生命值加成,,4,9,15,21,169,1,,,,
1170,初级护甲符印 ,1,2, 4.5物理防御,,4,9,15,21,170,1,,,,
1171,初级护甲精华 ,1,2, 12.78物理防御,,4,9,15,21,171,1,,,,
1172,初级成长护甲符印 ,1,2, 每级0.72物理防御(18级12.96),,4,9,15,21,172,1,,,,
1173,初级成长护甲精华 ,1,2, 每级1.14物理防御(18级20.52),,4,9,15,21,173,1,,,,
1174,初级移动速度精华 ,1,2, 4.5%移动速度,,4,9,15,21,174,1,,,,
1501,金币+100,1,1,金币+100,,2,11,17,23,100,,,,,
1502,金币+300,1,1,金币+300,,2,11,17,23,300,,,,,
1503,金币+500,1,2,金币+500,,2,9,15,21,500,,,,,
1504,金币+1000,1,3,金币+1000,,2,13,19,25,1000,,,,,
1505,冠军宝箱,1,2,开启可获得金币、英雄基因样本、宝石等,,8,9,15,21,1,1,,,,
1506,国王宝箱,2,3,开启可获得金币、英雄基因样本、宝石等，最高可获得史诗级奖励,,8,13,19,25,2,1,,,,
1507,永恒宝箱,3,4,开启可获得金币、英雄基因样本、宝石等，最高可获得传说级奖励,,8,12,18,24,3,1,,,,
1508,金币+200,1,1,金币+200,,2,11,17,23,200,,,,,
1509,金币+500,1,3,金币+500,,2,13,19,25,500,,,,,
1510,金币+5000,1,5,金币+5000,,2,14,20,26,5000,,,,,
1511,英雄基因样本礼包,1,1,随机获得英雄基因样本*5,,6,11,17,23,5,1,0,,,
1512,冠军基因样本礼包,1,1,随机获得英雄基因样本*10,,6,11,17,23,10,2,30,,,
1513,史诗基因样本大礼包,1,2,随机获得英雄基因样本*40,,6,9,15,21,40,2,30,,,
1514,传说基因样本大礼包,1,3,随机获得英雄基因样本*200,,6,13,19,25,200,3,30,,,
1515,新手冠军宝箱,1,2,开启可随机获得金币，英雄基因样本，核晶等，有机率获得国王宝箱,,8,9,15,21,4,1,,,,
1516,新手冠军宝箱,1,2,开启可随机获得金币，英雄基因样本，核晶等，有机率获得国王宝箱,,8,9,15,21,5,1,,,,
1517,新手国王宝箱,2,3,开启可随机获得史诗级奖励，有机率获得永恒宝箱,,8,13,19,25,6,1,,,,
1518,金币奖励,2,1,可获得金币奖励,,2,11,17,23,50,,,,,任务通用显示
1519,角色经验,1,1,可获得角色经验奖励,,1,11,17,23,50,,,,,任务通用显示
1520,藏宝矿石,1,2,开启可获得各种宝石，最高品级：收藏,,8,9,15,21,7,1,,,,
1521,藏宝矿石,1,2,开启可获得各种宝石，最高品级：珍藏,,8,9,15,21,8,1,,,,
1522,珍宝矿石,2,3,开启可获得各种宝石，最高品级：传世,,8,13,19,25,9,1,,,,
1523,稀世矿石,3,4,开启可获得各种宝石，最高品级：稀世,,8,12,18,24,10,1,,,,
1524,大师基因样本礼包,1,1,随机获得英雄基因样本*20,,6,11,17,23,20,2,30,,,
1525,联赛基因样本礼包1级,1,3,随机获得英雄基因样本*50,,6,13,19,25,50,2,30,,,
1526,联赛基因样本礼包2级,1,4,随机获得英雄基因样本*75,,6,12,18,24,75,3,30,,,
1527,联赛基因样本礼包3级,1,5,随机获得英雄基因样本*100,,6,14,20,26,100,3,30,,,
1528,联赛基因样本礼包4级,1,6,随机获得英雄基因样本*150,,6,10,16,22,150,3,30,,,
1529,联赛金币1级,1,4,金币+3000,,2,12,18,24,3000,,,,,
1530,联赛金币2级,1,5,金币+5000,,2,14,20,26,5000,,,,,
1531,联赛金币3级,1,5,金币+6500,,2,14,20,26,6500,,,,,
1532,联赛金币4级,1,6,金币+8000,,2,10,16,22,8000,,,,,
1533,导师基因样本,1,1,随机获得英雄基因样本*2,,6,11,17,23,2,1,30,,,
1534,学徒基因样本,1,1,随机获得英雄基因样本*4,,6,11,17,23,4,1,30,,,
1535,冠军基因样本礼包,1,1,随机获得英雄基因样本*20,,6,11,17,23,20,2,30,,,
1536,史诗基因样本大礼包,1,1,随机获得英雄基因样本*40,,6,11,17,23,40,2,30,,,
1537,核晶宝箱,1,2,开启可随机获得一颗优质核晶或完美核晶,,8,9,15,21,7,1,,,,
1538,冠军基因样本礼包,1,1,随机获得英雄基因样本*15,,6,11,17,23,15,2,30,,,
1539,金币奖励,1,2,与联盟成员组队获得胜利后，完成任务获得金币500,,2,12,18,24,500,,,,,
1540,信号搜索4次,1,2,增加4次信号搜索次数,,15,12,18,24,4,,,,,
1541,注册礼包,2,3,金币500<br>基因样本*20<br>[普通]英勇核晶*1<br>新手冠军宝箱<br>[优质]生命核晶,,8,13,19,25,11,1,,,,
1542,问卷礼包,1,3,1000金币,,2,13,19,25,1000,,,,,
1543,登陆礼包1天,2,3,金币500<br>随机获得基因样本*20,,8,13,19,25,12,1,,,,
1544,登陆礼包2天,2,3,金币500<br>随机获得基因样本*20<br>新手冠军宝箱,,8,13,19,25,13,1,,,,
1545,登陆礼包3天,2,3,金币500<br>随机获得基因样本*20<br>2级英勇核晶,,8,13,19,25,14,1,,,,
1546,登陆礼包4天,2,3,金币500<br>随机获得基因样本*20<br>核晶模组,,8,13,19,25,15,1,,,,
1547,登陆礼包5天,2,3,金币500<br>随机获得基因样本*20<br>新手冠军宝箱,,8,13,19,25,16,1,,,,
1548,登陆礼包6天,2,3,金币500<br>随机获得基因样本*20<br>新手国王宝箱,,8,13,19,25,17,1,,,,
1549,登陆礼包7天,3,4,金币500<br>随机获得基因样本*20<br>终结技·终焉之歌（绯红女巫）,,8,12,18,24,18,1,,,,
1550,每日签到礼包,1,2,200金币,,2,13,19,25,200,,,,,
1551,每日在线礼包30分钟,1,2,50金币,,2,13,19,25,200,,,,,
1552,每日在线礼包60分钟,1,2,50金币,,2,13,19,25,200,,,,,
1553,每日在线礼包90分钟,1,2,75金币,,2,13,19,25,200,,,,,
1554,每日在线礼包120分钟,1,2,75金币,,2,13,19,25,200,,,,,
1555,每日在线礼包150分钟,1,2,75金币,,2,13,19,25,200,,,,,
1556,每日在线礼包180分钟,1,2,100金币<br>新手冠军宝箱*1,,8,9,15,21,19,1,,,,
1557,累积签到礼包3天,1,2,随机获得基因样本*20<br>[普通]庇护核晶,,8,9,15,21,20,1,,,,
1558,累积签到礼包5天,1,2,随机获得基因样本*30,,8,9,15,21,21,1,,,,
1559,累积签到礼包8天,1,2,随机获得基因样本*30<br>[优质]生命核晶,,8,9,15,21,22,1,,,,
1560,累积签到礼包11天,1,2,随机获得基因样本*40,,8,9,15,21,23,1,,,,
1561,累积签到礼包15天,2,3,随机获得基因样本*50<br>[完美]庇护核晶,,8,13,19,25,24,1,,,,
1562,胜场礼包5场,1,3,金币+500,,2,13,19,25,500,,,,,
1563,胜场礼包10场,1,3,金币+800,,2,13,19,25,800,,,,,
1564,胜场礼包20场,1,2,开启可获得金币、英雄基因样本、宝石等,,8,9,15,21,1,1,,,,
1565,胜场礼包30场,1,3,金币+800,,2,13,19,25,800,,,,,
1566,胜场礼包40场,1,3,金币+800,,2,13,19,25,800,,,,,
1567,胜场礼包50场,2,3,开启可获得金币、英雄基因样本、宝石等，最高可获得史诗级奖励,,8,13,19,25,2,1,,,,
1568,基因样本*20,1,1,随机获得英雄基因样本*20,,6,11,17,23,20,2,30,,,
1569,基因样本*30,1,1,随机获得英雄基因样本*30,,6,11,17,23,30,2,30,,,
1570,基因样本*40,1,1,随机获得英雄基因样本*40,,6,11,17,23,40,2,30,,,
1571,基因样本*50,1,1,随机获得英雄基因样本*50,,6,11,17,23,50,2,30,,,
1572,金币+800,1,3,金币+800,,2,13,19,25,800,,,,,
1573,基因样本*10,1,1,英雄基因样本*10,,6,11,17,23,10,2,30,,,
1574,金币+5000,1,5,金币+5000,,2,13,19,25,5000,,,,,
1575,金币+10000,1,6,金币+10000,,2,13,19,25,10000,,,,,
1576,青铜3金币奖励,1,5,青铜段位胜场奖赛季结束可领取,,2,14,20,26,5000,,,,,
1577,青铜2金币奖励,1,5,青铜段位胜场奖赛季结束可领取,,2,14,20,26,5200,,,,,
1578,青铜1金币奖励,1,5,青铜段位胜场奖赛季结束可领取,,2,14,20,26,5400,,,,,
1579,白银5金币奖励,1,5,青铜段位胜场奖赛季结束可领取,,2,14,20,26,7500,,,,,
1580,白银4金币奖励,1,5,白银段位胜场奖赛季结束可领取,,2,14,20,26,7700,,,,,
1581,白银3金币奖励,1,5,白银段位胜场奖赛季结束可领取,,2,14,20,26,7900,,,,,
1582,白银2金币奖励,1,5,白银段位胜场奖赛季结束可领取,,2,14,20,26,8100,,,,,
1583,白银1金币奖励,1,5,白银段位胜场奖赛季结束可领取,,2,14,20,26,8300,,,,,
1584,黄金5金币奖励,1,6,白银段位胜场奖赛季结束可领取,,2,10,16,22,10000,,,,,
1585,黄金4金币奖励,1,5,黄金段位胜场奖赛季结束可领取,,2,10,16,22,10500,,,,,
1586,黄金3金币奖励,1,5,黄金段位胜场奖赛季结束可领取,,2,10,16,22,11000,,,,,
1587,黄金2金币奖励,1,5,黄金段位胜场奖赛季结束可领取,,2,10,16,22,11500,,,,,
1588,黄金1金币奖励,1,5,黄金段位胜场奖赛季结束可领取,,2,10,16,22,12000,,,,,
1589,白金5金币奖励,1,5,黄金段位胜场奖赛季结束可领取,,2,10,16,22,15000,,,,,
1590,白金4金币奖励,1,5,白金段位胜场奖赛季结束可领取,,2,10,16,22,15500,,,,,
1591,白金3金币奖励,1,5,白金段位胜场奖赛季结束可领取,,2,10,16,22,16000,,,,,
1592,白金2金币奖励,1,5,白金段位胜场奖赛季结束可领取,,2,10,16,22,16500,,,,,
1593,白金1金币奖励,1,5,白金段位胜场奖赛季结束可领取,,2,10,16,22,17000,,,,,
1594,钻石5金币奖励,1,5,白金段位胜场奖赛季结束可领取,,2,10,16,22,20000,,,,,
1595,钻石4金币奖励,1,5,钻石段位胜场奖赛季结束可领取,,2,10,16,22,20500,,,,,
1596,钻石3金币奖励,1,5,钻石段位胜场奖赛季结束可领取,,2,10,16,22,21000,,,,,
1597,钻石2金币奖励,1,5,钻石段位胜场奖赛季结束可领取,,2,10,16,22,21500,,,,,
1598,钻石1金币奖励,1,5,钻石段位胜场奖赛季结束可领取,,2,10,16,22,22000,,,,,
1599,大师5金币奖励,1,5,钻石段位胜场奖赛季结束可领取,,2,10,16,22,25000,,,,,
1600,大师4金币奖励,1,5,大师段位胜场奖赛季结束可领取,,2,10,16,22,25500,,,,,
1601,大师3金币奖励,1,5,大师段位胜场奖赛季结束可领取,,2,10,16,22,26000,,,,,
1602,大师2金币奖励,1,5,大师段位胜场奖赛季结束可领取,,2,10,16,22,26500,,,,,
1603,大师1金币奖励,1,5,大师段位胜场奖赛季结束可领取,,2,10,16,22,27000,,,,,
1604,王者5金币奖励,1,5,大师段位胜场奖赛季结束可领取,,2,10,16,22,30000,,,,,
1605,王者4金币奖励,1,5,王者段位胜场奖赛季结束可领取,,2,10,16,22,30500,,,,,
1606,王者3金币奖励,1,5,王者段位胜场奖赛季结束可领取,,2,10,16,22,31000,,,,,
1607,王者2金币奖励,1,5,王者段位胜场奖赛季结束可领取,,2,10,16,22,31500,,,,,
1608,王者1金币奖励,1,5,王者段位胜场奖赛季结束可领取,,2,10,16,22,32000,,,,,
1609,青铜3基因样本奖励,1,5,青铜段位胜场奖赛季结束可领取,,6,14,20,26,100,3,30,,,
1610,青铜2基因样本奖励,1,5,青铜段位胜场奖赛季结束可领取,,6,14,20,26,104,3,30,,,
1611,青铜1基因样本奖励,1,5,青铜段位胜场奖赛季结束可领取,,6,14,20,26,108,3,30,,,
1612,白银5基因样本奖励,1,5,青铜段位胜场奖赛季结束可领取,,6,14,20,26,150,3,30,,,
1613,白银4基因样本奖励,1,5,白银段位胜场奖赛季结束可领取,,6,14,20,26,154,3,30,,,
1614,白银3基因样本奖励,1,5,白银段位胜场奖赛季结束可领取,,6,14,20,26,158,3,30,,,
1615,白银2基因样本奖励,1,5,白银段位胜场奖赛季结束可领取,,6,14,20,26,162,3,30,,,
1616,白银1基因样本奖励,1,5,白银段位胜场奖赛季结束可领取,,6,14,20,26,166,3,30,,,
1617,黄金5基因样本奖励,1,6,白银段位胜场奖赛季结束可领取,,6,10,16,22,200,3,30,,,
1618,黄金4基因样本奖励,1,5,黄金段位胜场奖赛季结束可领取,,6,10,16,22,210,3,30,,,
1619,黄金3基因样本奖励,1,5,黄金段位胜场奖赛季结束可领取,,6,10,16,22,220,3,30,,,
1620,黄金2基因样本奖励,1,5,黄金段位胜场奖赛季结束可领取,,6,10,16,22,230,3,30,,,
1621,黄金1基因样本奖励,1,5,黄金段位胜场奖赛季结束可领取,,6,10,16,22,240,3,30,,,
1622,白金5基因样本奖励,1,5,黄金段位胜场奖赛季结束可领取,,6,10,16,22,300,3,30,,,
1623,白金4基因样本奖励,1,5,白金段位胜场奖赛季结束可领取,,6,10,16,22,310,3,30,,,
1624,白金3基因样本奖励,1,5,白金段位胜场奖赛季结束可领取,,6,10,16,22,320,3,30,,,
1625,白金2基因样本奖励,1,5,白金段位胜场奖赛季结束可领取,,6,10,16,22,330,3,30,,,
1626,白金1基因样本奖励,1,5,白金段位胜场奖赛季结束可领取,,6,10,16,22,340,3,30,,,
1627,钻石5基因样本奖励,1,5,白金段位胜场奖赛季结束可领取,,6,10,16,22,400,3,30,,,
1628,钻石4基因样本奖励,1,5,钻石段位胜场奖赛季结束可领取,,6,10,16,22,410,3,30,,,
1629,钻石3基因样本奖励,1,5,钻石段位胜场奖赛季结束可领取,,6,10,16,22,420,3,30,,,
1630,钻石2基因样本奖励,1,5,钻石段位胜场奖赛季结束可领取,,6,10,16,22,430,3,30,,,
1631,钻石1基因样本奖励,1,5,钻石段位胜场奖赛季结束可领取,,6,10,16,22,440,3,30,,,
1632,大师5基因样本奖励,1,5,钻石段位胜场奖赛季结束可领取,,6,10,16,22,500,3,30,,,
1633,大师4基因样本奖励,1,5,大师段位胜场奖赛季结束可领取,,6,10,16,22,510,3,30,,,
1634,大师3基因样本奖励,1,5,大师段位胜场奖赛季结束可领取,,6,10,16,22,520,3,30,,,
1635,大师2基因样本奖励,1,5,大师段位胜场奖赛季结束可领取,,6,10,16,22,530,3,30,,,
1636,大师1基因样本奖励,1,5,大师段位胜场奖赛季结束可领取,,6,10,16,22,540,3,30,,,
1637,王者5基因样本奖励,1,5,大师段位胜场奖赛季结束可领取,,6,10,16,22,600,3,30,,,
1638,王者4基因样本奖励,1,5,王者段位胜场奖赛季结束可领取,,6,10,16,22,610,3,30,,,
1639,王者3基因样本奖励,1,5,王者段位胜场奖赛季结束可领取,,6,10,16,22,620,3,30,,,
1640,王者2基因样本奖励,1,5,王者段位胜场奖赛季结束可领取,,6,10,16,22,630,3,30,,,
1641,王者1基因样本奖励,1,5,王者段位胜场奖赛季结束可领取,,6,10,16,22,640,3,30,,,
2001,英雄：风月游侠,1,3,获得英雄：风月游侠,,3,13,19,25,1,,,,,
2002,英雄：追风箭灵,2,3,获得英雄：追风箭灵,,3,13,19,25,2,,,,,
2003,英雄：绯红之焰,3,3,获得英雄：绯红之焰,,3,13,19,25,3,,,,,
2004,英雄：绯樱剑客,4,3,获得英雄：绯樱剑客,,3,13,19,25,4,,,,,
2005,英雄：狂野巨盾,5,3,获得英雄：狂野巨盾,,3,13,19,25,5,,,,,
2006,英雄：深海蛙王,6,3,获得英雄：深海蛙王,,3,13,19,25,6,,,,,
2007,英雄：花仙子,7,3,获得英雄：花仙子,,3,13,19,25,7,,,,,
2008,英雄：蛮族之刃,8,3,获得英雄：蛮族之刃,,3,13,19,25,8,,,,,
2009,英雄：帝国之剑,9,3,获得英雄：帝国之剑,,3,13,19,25,9,,,,,
2010,英雄：灭世枪神,1,3,获得英雄：灭世枪神,,3,13,19,25,10,,,,,
2011,英雄：暗裔魔法师,1,3,获得英雄：暗裔魔法师,,3,13,19,25,11,,,,,
2012,英雄：圣焰之手,1,3,获得英雄：圣焰之手,,3,13,19,25,12,,,,,
2013,英雄：中土之王,1,3,获得英雄：中土之王,,3,13,19,25,13,,,,,
2014,英雄：轻灵蔷薇,1,3,获得英雄：轻灵蔷薇,,3,13,19,25,14,,,,,
2015,英雄：生化魔人,1,3,获得英雄：生化魔人,,3,13,19,25,15,,,,,
2016,英雄：异域狼灵,1,3,获得英雄：异域狼灵,,3,13,19,25,16,,,,,
2017,英雄：虚空邪镰,1,3,获得英雄：虚空邪镰,,3,13,19,25,17,,,,,
2018,英雄：圣枪战姬,1,3,获得英雄：圣枪战姬,,3,13,19,25,18,,,,,
2019,英雄：风暴龙灵,1,3,获得英雄：风暴龙灵,,3,13,19,25,19,,,,,
2020,英雄：钢铁纪元,1,3,获得英雄：钢铁纪元,,3,13,19,25,20,,,,,
2021,英雄：深渊领主,1,3,获得英雄：深渊领主,,3,13,19,25,21,,,,,
2022,英雄：唤潮小鱼人,1,3,获得英雄：唤潮小鱼人,,3,13,19,25,22,,,,,
2023,英雄：魅眼神狙,1,3,获得英雄：魅眼神狙,,3,13,19,25,23,,,,,
2024,英雄：幻影利刃,1,3,获得英雄：幻影利刃,,3,13,19,25,24,,,,,
2025,英雄：时空幻象,1,3,获得英雄：时空幻象,,3,13,19,25,25,,,,,
2026,英雄：凛冬战魂,1,3,获得英雄：凛冬战魂,,3,13,19,25,26,,,,,
2027,英雄：傲世神拳,1,3,获得英雄：傲世神拳,,3,13,19,25,27,,,,,
2028,英雄：火炮男爵,1,3,获得英雄：火炮男爵,,3,13,19,25,28,,,,,
2029,英雄：电竞小子,1,3,获得英雄：电竞小子,,3,13,19,25,29,,,,,
2030,英雄：狂野紫罗兰,1,3,获得英雄：狂野紫罗兰,,3,13,19,25,30,,,,,
2031,英雄：龙猫萝莉,1,3,获得英雄：龙猫萝莉,,3,13,19,25,31,,,,,
2032,英雄：北海鱼姬,1,3,获得英雄：北海鱼姬,,3,13,19,25,32,,,,,
2033,英雄：芳野鹿灵,1,3,获得英雄：芳野鹿灵,,3,13,19,25,33,,,,,
2034,英雄：铁拳兽宝,1,3,获得英雄：铁拳兽宝,,3,13,19,25,34,,,,,
2035,英雄：蓝翼切割者,1,3,获得英雄：蓝翼切割者,,3,13,19,25,35,,,,,
2036,英雄：银河战警,1,3,获得英雄：银河战警,,3,13,19,25,36,,,,,
2037,英雄：光子跃迁者,1,3,获得英雄：光子跃迁者,,3,13,19,25,37,,,,,
2038,英雄：末日战甲,1,3,获得英雄：末日战甲,,3,13,19,25,38,,,,,
2039,英雄：邪能恶魔,1,3,获得英雄：邪能恶魔,,3,13,19,25,39,,,,,
2040,英雄：傀儡双骄,1,3,获得英雄：傀儡双骄,,3,13,19,25,40,,,,,
2041,英雄：契约者,1,3,获得英雄：契约者,,3,13,19,25,41,,,,,
2042,英雄：战争祸源,1,3,获得英雄：战争祸源,,3,13,19,25,42,,,,,
2101,基因样本：风月游侠,1,3,购买获得英雄基因样本：风月游侠,,5,13,19,25,1,1,,,,
2102,基因样本：追风箭灵,1,3,购买获得英雄基因样本：追风箭灵,,5,13,19,25,2,1,,,,
2103,基因样本：绯红之焰,1,3,购买获得英雄基因样本：绯红之焰,,5,13,19,25,3,1,,,,
2104,基因样本：绯樱剑客,1,3,购买获得英雄基因样本：绯樱剑客,,5,13,19,25,4,1,,,,
2105,基因样本：狂野巨盾,1,3,购买获得英雄基因样本：狂野巨盾,,5,13,19,25,5,1,,,,
2106,基因样本：深海蛙王,1,3,购买获得英雄基因样本：深海蛙王,,5,13,19,25,6,1,,,,
2107,基因样本：花仙子,1,3,购买获得英雄基因样本：花仙子,,5,13,19,25,7,1,,,,
2108,基因样本：蛮族之刃,1,3,购买获得英雄基因样本：蛮族之刃,,5,13,19,25,8,1,,,,
2109,基因样本：帝国之剑,1,3,购买获得英雄基因样本：帝国之剑,,5,13,19,25,9,1,,,,
2110,基因样本：灭世枪神,1,3,购买获得英雄基因样本：灭世枪神,,5,13,19,25,10,1,,,,
2111,基因样本：暗裔魔法师,1,3,购买获得英雄基因样本：暗裔魔法师,,5,13,19,25,11,1,,,,
2112,基因样本：圣焰之手,1,3,购买获得英雄基因样本：圣焰之手,,5,13,19,25,12,1,,,,
2113,基因样本：中土之王,1,3,购买获得英雄基因样本：中土之王,,5,13,19,25,13,1,,,,
2114,基因样本：轻灵蔷薇,1,3,购买获得英雄基因样本：轻灵蔷薇,,5,13,19,25,14,1,,,,
2115,基因样本：生化魔人,1,3,购买获得英雄基因样本：生化魔人,,5,13,19,25,15,1,,,,
2116,基因样本：异域狼灵,1,3,购买获得英雄基因样本：异域狼灵,,5,13,19,25,16,1,,,,
2117,基因样本：虚空邪镰,1,3,购买获得英雄基因样本：虚空邪镰,,5,13,19,25,17,1,,,,
2118,基因样本：圣枪战姬,1,3,购买获得英雄基因样本：圣枪战姬,,5,13,19,25,18,1,,,,
2119,基因样本：风暴龙灵,1,3,购买获得英雄基因样本：风暴龙灵,,5,13,19,25,19,1,,,,
2120,基因样本：钢铁纪元,1,3,购买获得英雄基因样本：钢铁纪元,,5,13,19,25,20,1,,,,
2121,基因样本：深渊领主,1,3,购买获得英雄基因样本：深渊领主,,5,13,19,25,21,1,,,,
2122,基因样本：唤潮小鱼人,1,3,购买获得英雄基因样本：唤潮小鱼人,,5,13,19,25,22,1,,,,
2123,基因样本：魅眼神狙,1,3,购买获得英雄基因样本：魅眼神狙,,5,13,19,25,23,1,,,,
2124,基因样本：幻影利刃,1,3,购买获得英雄基因样本：幻影利刃,,5,13,19,25,24,1,,,,
2125,基因样本：时空幻象,1,3,购买获得英雄基因样本：时空幻象,,5,13,19,25,25,1,,,,
2126,基因样本：凛冬战魂,1,3,购买获得英雄基因样本：凛冬战魂,,5,13,19,25,26,1,,,,
2127,基因样本：傲世神拳,1,3,购买获得英雄基因样本：傲世神拳,,5,13,19,25,27,1,,,,
2128,基因样本：火炮男爵,1,3,购买获得英雄基因样本：火炮男爵,,5,13,19,25,28,1,,,,
2129,基因样本：电竞小子,1,3,购买获得英雄基因样本：电竞小子,,5,13,19,25,29,1,,,,
