成长属性ID,星级血量,星级血量成长,星级血量成长率,星级血量成长率成长,星级魔法,星级魔法成长,星级魔法成长率,星级魔法成长率成长,星级物理攻击,星级物理攻击成长,星级物理攻击成长率,星级物理攻击成长率成长,星级法术攻击,星级法术攻击成长,星级法术攻击成长率,星级法术攻击成长率成长,星级物理防御,星级物理防御成长,星级物理防御成长率,星级物理防御成长率成长,星级法术防御,星级法术防御成长,星级法术防御成长率,星级法术防御成长率成长
920,0,0,1498,0,0,0,400,0,0,0,44.44,0,0,0,0,0,0,0,80,0,0,0,80,0
921,0,0,1573,0,0,0,420,0,0,0,46.67,0,0,0,0,0,0,0,84,0,0,0,84,0
922,0,0,1648,0,0,0,440,0,0,0,48.89,0,0,0,0,0,0,0,88,0,0,0,88,0
923,0,0,1723,0,0,0,460,0,0,0,51.11,0,0,0,0,0,0,0,92,0,0,0,92,0
924,0,0,1798,0,0,0,480,0,0,0,53.33,0,0,0,0,0,0,0,96,0,0,0,96,0
925,0,0,1873,0,0,0,500,0,0,0,55.56,0,0,0,0,0,0,0,100,0,0,0,100,0
926,0,0,1948,0,0,0,520,0,0,0,57.78,0,0,0,0,0,0,0,104,0,0,0,104,0
927,0,0,2022,0,0,0,540,0,0,0,60,0,0,0,0,0,0,0,108,0,0,0,108,0
928,0,0,2097,0,0,0,560,0,0,0,62.22,0,0,0,0,0,0,0,112,0,0,0,112,0
929,0,0,2172,0,0,0,580,0,0,0,64.44,0,0,0,0,0,0,0,116,0,0,0,116,0
930,0,0,2247,0,0,0,600,0,0,0,66.67,0,0,0,0,0,0,0,120,0,0,0,120,0
1001,0,0,60,0,0,0,20,0,0,0,5.56,0,0,0,0,0,0,0,2,0,0,0,2,0
1002,0,0,120,0,0,0,40,0,0,0,11.11,0,0,0,0,0,0,0,4,0,0,0,4,0
1003,0,0,180,0,0,0,60,0,0,0,16.67,0,0,0,0,0,0,0,6,0,0,0,6,0
1004,0,0,240,0,0,0,80,0,0,0,22.22,0,0,0,0,0,0,0,8,0,0,0,8,0
1005,0,0,300,0,0,0,100,0,0,0,27.78,0,0,0,0,0,0,0,10,0,0,0,10,0
1006,0,0,360,0,0,0,120,0,0,0,33.33,0,0,0,0,0,0,0,12,0,0,0,12,0
1007,0,0,419,0,0,0,140,0,0,0,38.89,0,0,0,0,0,0,0,14,0,0,0,14,0
1008,0,0,479,0,0,0,160,0,0,0,44.44,0,0,0,0,0,0,0,16,0,0,0,16,0
1009,0,0,539,0,0,0,180,0,0,0,50,0,0,0,0,0,0,0,18,0,0,0,18,0
1010,0,0,599,0,0,0,200,0,0,0,55.56,0,0,0,0,0,0,0,20,0,0,0,20,0
1011,0,0,659,0,0,0,220,0,0,0,61.11,0,0,0,0,0,0,0,22,0,0,0,22,0
1012,0,0,719,0,0,0,240,0,0,0,66.67,0,0,0,0,0,0,0,24,0,0,0,24,0
1013,0,0,779,0,0,0,260,0,0,0,72.22,0,0,0,0,0,0,0,26,0,0,0,26,0
1014,0,0,839,0,0,0,280,0,0,0,77.78,0,0,0,0,0,0,0,28,0,0,0,28,0
1015,0,0,899,0,0,0,300,0,0,0,83.33,0,0,0,0,0,0,0,30,0,0,0,30,0
1016,0,0,959,0,0,0,320,0,0,0,88.89,0,0,0,0,0,0,0,32,0,0,0,32,0
1017,0,0,1019,0,0,0,340,0,0,0,94.44,0,0,0,0,0,0,0,34,0,0,0,34,0
1018,0,0,1079,0,0,0,360,0,0,0,100,0,0,0,0,0,0,0,36,0,0,0,36,0
1019,0,0,1139,0,0,0,380,0,0,0,105.56,0,0,0,0,0,0,0,38,0,0,0,38,0
1020,0,0,1199,0,0,0,400,0,0,0,111.11,0,0,0,0,0,0,0,40,0,0,0,40,0
1021,0,0,1258,0,0,0,420,0,0,0,116.67,0,0,0,0,0,0,0,42,0,0,0,42,0
1022,0,0,1318,0,0,0,440,0,0,0,122.22,0,0,0,0,0,0,0,44,0,0,0,44,0
1023,0,0,1378,0,0,0,460,0,0,0,127.78,0,0,0,0,0,0,0,46,0,0,0,46,0
1024,0,0,1438,0,0,0,480,0,0,0,133.33,0,0,0,0,0,0,0,48,0,0,0,48,0
1025,0,0,1498,0,0,0,500,0,0,0,138.89,0,0,0,0,0,0,0,50,0,0,0,50,0
1026,0,0,1558,0,0,0,520,0,0,0,144.44,0,0,0,0,0,0,0,52,0,0,0,52,0
1027,0,0,1618,0,0,0,540,0,0,0,150,0,0,0,0,0,0,0,54,0,0,0,54,0
1028,0,0,1678,0,0,0,560,0,0,0,155.56,0,0,0,0,0,0,0,56,0,0,0,56,0
1029,0,0,1738,0,0,0,580,0,0,0,161.11,0,0,0,0,0,0,0,58,0,0,0,58,0
1030,0,0,1798,0,0,0,600,0,0,0,166.67,0,0,0,0,0,0,0,60,0,0,0,60,0
1101,0,0,30,0,0,0,20,0,0,0,0,0,0,0,9.22,0,0,0,2,0,0,0,2,0
1102,0,0,60,0,0,0,40,0,0,0,0,0,0,0,18.43,0,0,0,4,0,0,0,4,0
1103,0,0,90,0,0,0,60,0,0,0,0,0,0,0,27.65,0,0,0,6,0,0,0,6,0
1104,0,0,120,0,0,0,80,0,0,0,0,0,0,0,36.87,0,0,0,8,0,0,0,8,0
1105,0,0,150,0,0,0,100,0,0,0,0,0,0,0,46.08,0,0,0,10,0,0,0,10,0
1106,0,0,180,0,0,0,120,0,0,0,0,0,0,0,55.3,0,0,0,12,0,0,0,12,0
1107,0,0,210,0,0,0,140,0,0,0,0,0,0,0,64.52,0,0,0,14,0,0,0,14,0
1108,0,0,240,0,0,0,160,0,0,0,0,0,0,0,73.73,0,0,0,16,0,0,0,16,0
1109,0,0,270,0,0,0,180,0,0,0,0,0,0,0,82.95,0,0,0,18,0,0,0,18,0
1110,0,0,300,0,0,0,200,0,0,0,0,0,0,0,92.17,0,0,0,20,0,0,0,20,0
1111,0,0,330,0,0,0,220,0,0,0,0,0,0,0,101.38,0,0,0,22,0,0,0,22,0
1112,0,0,360,0,0,0,240,0,0,0,0,0,0,0,110.6,0,0,0,24,0,0,0,24,0
1113,0,0,390,0,0,0,260,0,0,0,0,0,0,0,119.82,0,0,0,26,0,0,0,26,0
1114,0,0,419,0,0,0,280,0,0,0,0,0,0,0,129.03,0,0,0,28,0,0,0,28,0
1115,0,0,449,0,0,0,300,0,0,0,0,0,0,0,138.25,0,0,0,30,0,0,0,30,0
1116,0,0,479,0,0,0,320,0,0,0,0,0,0,0,147.47,0,0,0,32,0,0,0,32,0
1117,0,0,509,0,0,0,340,0,0,0,0,0,0,0,156.68,0,0,0,34,0,0,0,34,0
1118,0,0,539,0,0,0,360,0,0,0,0,0,0,0,165.9,0,0,0,36,0,0,0,36,0
1119,0,0,569,0,0,0,380,0,0,0,0,0,0,0,175.12,0,0,0,38,0,0,0,38,0
1120,0,0,599,0,0,0,400,0,0,0,0,0,0,0,184.33,0,0,0,40,0,0,0,40,0
1121,0,0,629,0,0,0,420,0,0,0,0,0,0,0,193.55,0,0,0,42,0,0,0,42,0
1122,0,0,659,0,0,0,440,0,0,0,0,0,0,0,202.76,0,0,0,44,0,0,0,44,0
1123,0,0,689,0,0,0,460,0,0,0,0,0,0,0,211.98,0,0,0,46,0,0,0,46,0
1124,0,0,719,0,0,0,480,0,0,0,0,0,0,0,221.2,0,0,0,48,0,0,0,48,0
1125,0,0,749,0,0,0,500,0,0,0,0,0,0,0,230.41,0,0,0,50,0,0,0,50,0
1126,0,0,779,0,0,0,520,0,0,0,0,0,0,0,239.63,0,0,0,52,0,0,0,52,0
1127,0,0,809,0,0,0,540,0,0,0,0,0,0,0,248.85,0,0,0,54,0,0,0,54,0
1128,0,0,839,0,0,0,560,0,0,0,0,0,0,0,258.06,0,0,0,56,0,0,0,56,0
1129,0,0,869,0,0,0,580,0,0,0,0,0,0,0,267.28,0,0,0,58,0,0,0,58,0
1130,0,0,899,0,0,0,600,0,0,0,0,0,0,0,276.5,0,0,0,60,0,0,0,60,0
1201,0,0,60,0,0,0,20,0,0,0,0,0,0,0,9.22,0,0,0,2,0,0,0,2,0
1202,0,0,120,0,0,0,40,0,0,0,0,0,0,0,18.43,0,0,0,4,0,0,0,4,0
1203,0,0,180,0,0,0,60,0,0,0,0,0,0,0,27.65,0,0,0,6,0,0,0,6,0
1204,0,0,240,0,0,0,80,0,0,0,0,0,0,0,36.87,0,0,0,8,0,0,0,8,0
1205,0,0,300,0,0,0,100,0,0,0,0,0,0,0,46.08,0,0,0,10,0,0,0,10,0
1206,0,0,360,0,0,0,120,0,0,0,0,0,0,0,55.3,0,0,0,12,0,0,0,12,0
1207,0,0,419,0,0,0,140,0,0,0,0,0,0,0,64.52,0,0,0,14,0,0,0,14,0
1208,0,0,479,0,0,0,160,0,0,0,0,0,0,0,73.73,0,0,0,16,0,0,0,16,0
1209,0,0,539,0,0,0,180,0,0,0,0,0,0,0,82.95,0,0,0,18,0,0,0,18,0
1210,0,0,599,0,0,0,200,0,0,0,0,0,0,0,92.17,0,0,0,20,0,0,0,20,0
1211,0,0,659,0,0,0,220,0,0,0,0,0,0,0,101.38,0,0,0,22,0,0,0,22,0
1212,0,0,719,0,0,0,240,0,0,0,0,0,0,0,110.6,0,0,0,24,0,0,0,24,0
1213,0,0,779,0,0,0,260,0,0,0,0,0,0,0,119.82,0,0,0,26,0,0,0,26,0
1214,0,0,839,0,0,0,280,0,0,0,0,0,0,0,129.03,0,0,0,28,0,0,0,28,0
1215,0,0,899,0,0,0,300,0,0,0,0,0,0,0,138.25,0,0,0,30,0,0,0,30,0
1216,0,0,959,0,0,0,320,0,0,0,0,0,0,0,147.47,0,0,0,32,0,0,0,32,0
1217,0,0,1019,0,0,0,340,0,0,0,0,0,0,0,156.68,0,0,0,34,0,0,0,34,0
1218,0,0,1079,0,0,0,360,0,0,0,0,0,0,0,165.9,0,0,0,36,0,0,0,36,0
1219,0,0,1139,0,0,0,380,0,0,0,0,0,0,0,175.12,0,0,0,38,0,0,0,38,0
1220,0,0,1199,0,0,0,400,0,0,0,0,0,0,0,184.33,0,0,0,40,0,0,0,40,0
1221,0,0,1258,0,0,0,420,0,0,0,0,0,0,0,193.55,0,0,0,42,0,0,0,42,0
1222,0,0,1318,0,0,0,440,0,0,0,0,0,0,0,202.76,0,0,0,44,0,0,0,44,0
1223,0,0,1378,0,0,0,460,0,0,0,0,0,0,0,211.98,0,0,0,46,0,0,0,46,0
1224,0,0,1438,0,0,0,480,0,0,0,0,0,0,0,221.2,0,0,0,48,0,0,0,48,0
1225,0,0,1498,0,0,0,500,0,0,0,0,0,0,0,230.41,0,0,0,50,0,0,0,50,0
1226,0,0,1558,0,0,0,520,0,0,0,0,0,0,0,239.63,0,0,0,52,0,0,0,52,0
1227,0,0,1618,0,0,0,540,0,0,0,0,0,0,0,248.85,0,0,0,54,0,0,0,54,0
1228,0,0,1678,0,0,0,560,0,0,0,0,0,0,0,258.06,0,0,0,56,0,0,0,56,0
1229,0,0,1738,0,0,0,580,0,0,0,0,0,0,0,267.28,0,0,0,58,0,0,0,58,0
1230,0,0,1798,0,0,0,600,0,0,0,0,0,0,0,276.5,0,0,0,60,0,0,0,60,0
1301,0,0,75,0,0,0,20,0,0,0,0,0,0,0,3.69,0,0,0,6,0,0,0,2,0
1302,0,0,150,0,0,0,40,0,0,0,0,0,0,0,7.37,0,0,0,12,0,0,0,4,0
1303,0,0,225,0,0,0,60,0,0,0,0,0,0,0,11.06,0,0,0,18,0,0,0,6,0
1304,0,0,300,0,0,0,80,0,0,0,0,0,0,0,14.75,0,0,0,24,0,0,0,8,0
1305,0,0,375,0,0,0,100,0,0,0,0,0,0,0,18.43,0,0,0,30,0,0,0,10,0
1306,0,0,449,0,0,0,120,0,0,0,0,0,0,0,22.12,0,0,0,36,0,0,0,12,0
1307,0,0,524,0,0,0,140,0,0,0,0,0,0,0,25.81,0,0,0,42,0,0,0,14,0
1308,0,0,599,0,0,0,160,0,0,0,0,0,0,0,29.49,0,0,0,48,0,0,0,16,0
1309,0,0,674,0,0,0,180,0,0,0,0,0,0,0,33.18,0,0,0,54,0,0,0,18,0
1310,0,0,749,0,0,0,200,0,0,0,0,0,0,0,36.87,0,0,0,60,0,0,0,20,0
1311,0,0,824,0,0,0,220,0,0,0,0,0,0,0,40.55,0,0,0,66,0,0,0,22,0
1312,0,0,899,0,0,0,240,0,0,0,0,0,0,0,44.24,0,0,0,72,0,0,0,24,0
1313,0,0,974,0,0,0,260,0,0,0,0,0,0,0,47.93,0,0,0,78,0,0,0,26,0
1314,0,0,1049,0,0,0,280,0,0,0,0,0,0,0,51.61,0,0,0,84,0,0,0,28,0
1315,0,0,1124,0,0,0,300,0,0,0,0,0,0,0,55.3,0,0,0,90,0,0,0,30,0
1316,0,0,1199,0,0,0,320,0,0,0,0,0,0,0,58.99,0,0,0,96,0,0,0,32,0
1317,0,0,1273,0,0,0,340,0,0,0,0,0,0,0,62.67,0,0,0,102,0,0,0,34,0
1318,0,0,1348,0,0,0,360,0,0,0,0,0,0,0,66.36,0,0,0,108,0,0,0,36,0
1319,0,0,1423,0,0,0,380,0,0,0,0,0,0,0,70.05,0,0,0,114,0,0,0,38,0
1320,0,0,1498,0,0,0,400,0,0,0,0,0,0,0,73.73,0,0,0,120,0,0,0,40,0
1321,0,0,1573,0,0,0,420,0,0,0,0,0,0,0,77.42,0,0,0,126,0,0,0,42,0
1322,0,0,1648,0,0,0,440,0,0,0,0,0,0,0,81.11,0,0,0,132,0,0,0,44,0
1323,0,0,1723,0,0,0,460,0,0,0,0,0,0,0,84.79,0,0,0,138,0,0,0,46,0
1324,0,0,1798,0,0,0,480,0,0,0,0,0,0,0,88.48,0,0,0,144,0,0,0,48,0
1325,0,0,1873,0,0,0,500,0,0,0,0,0,0,0,92.17,0,0,0,150,0,0,0,50,0
1326,0,0,1948,0,0,0,520,0,0,0,0,0,0,0,95.85,0,0,0,156,0,0,0,52,0
1327,0,0,2022,0,0,0,540,0,0,0,0,0,0,0,99.54,0,0,0,162,0,0,0,54,0
1328,0,0,2097,0,0,0,560,0,0,0,0,0,0,0,103.23,0,0,0,168,0,0,0,56,0
1329,0,0,2172,0,0,0,580,0,0,0,0,0,0,0,106.91,0,0,0,174,0,0,0,58,0
1330,0,0,2247,0,0,0,600,0,0,0,0,0,0,0,110.6,0,0,0,180,0,0,0,60,0
1401,0,0,60,0,0,0,20,0,0,0,5.56,0,0,0,0,0,0,0,2,0,0,0,2,0
1402,0,0,120,0,0,0,40,0,0,0,11.11,0,0,0,0,0,0,0,4,0,0,0,4,0
1403,0,0,180,0,0,0,60,0,0,0,16.67,0,0,0,0,0,0,0,6,0,0,0,6,0
1404,0,0,240,0,0,0,80,0,0,0,22.22,0,0,0,0,0,0,0,8,0,0,0,8,0
1405,0,0,300,0,0,0,100,0,0,0,27.78,0,0,0,0,0,0,0,10,0,0,0,10,0
1406,0,0,360,0,0,0,120,0,0,0,33.33,0,0,0,0,0,0,0,12,0,0,0,12,0
1407,0,0,419,0,0,0,140,0,0,0,38.89,0,0,0,0,0,0,0,14,0,0,0,14,0
1408,0,0,479,0,0,0,160,0,0,0,44.44,0,0,0,0,0,0,0,16,0,0,0,16,0
1409,0,0,539,0,0,0,180,0,0,0,50,0,0,0,0,0,0,0,18,0,0,0,18,0
1410,0,0,599,0,0,0,200,0,0,0,55.56,0,0,0,0,0,0,0,20,0,0,0,20,0
1411,0,0,659,0,0,0,220,0,0,0,61.11,0,0,0,0,0,0,0,22,0,0,0,22,0
1412,0,0,719,0,0,0,240,0,0,0,66.67,0,0,0,0,0,0,0,24,0,0,0,24,0
1413,0,0,779,0,0,0,260,0,0,0,72.22,0,0,0,0,0,0,0,26,0,0,0,26,0
1414,0,0,839,0,0,0,280,0,0,0,77.78,0,0,0,0,0,0,0,28,0,0,0,28,0
1415,0,0,899,0,0,0,300,0,0,0,83.33,0,0,0,0,0,0,0,30,0,0,0,30,0
1416,0,0,959,0,0,0,320,0,0,0,88.89,0,0,0,0,0,0,0,32,0,0,0,32,0
1417,0,0,1019,0,0,0,340,0,0,0,94.44,0,0,0,0,0,0,0,34,0,0,0,34,0
1418,0,0,1079,0,0,0,360,0,0,0,100,0,0,0,0,0,0,0,36,0,0,0,36,0
1419,0,0,1139,0,0,0,380,0,0,0,105.56,0,0,0,0,0,0,0,38,0,0,0,38,0
1420,0,0,1199,0,0,0,400,0,0,0,111.11,0,0,0,0,0,0,0,40,0,0,0,40,0
1421,0,0,1258,0,0,0,420,0,0,0,116.67,0,0,0,0,0,0,0,42,0,0,0,42,0
1422,0,0,1318,0,0,0,440,0,0,0,122.22,0,0,0,0,0,0,0,44,0,0,0,44,0
1423,0,0,1378,0,0,0,460,0,0,0,127.78,0,0,0,0,0,0,0,46,0,0,0,46,0
1424,0,0,1438,0,0,0,480,0,0,0,133.33,0,0,0,0,0,0,0,48,0,0,0,48,0
1425,0,0,1498,0,0,0,500,0,0,0,138.89,0,0,0,0,0,0,0,50,0,0,0,50,0
1426,0,0,1558,0,0,0,520,0,0,0,144.44,0,0,0,0,0,0,0,52,0,0,0,52,0
1427,0,0,1618,0,0,0,540,0,0,0,150,0,0,0,0,0,0,0,54,0,0,0,54,0
1428,0,0,1678,0,0,0,560,0,0,0,155.56,0,0,0,0,0,0,0,56,0,0,0,56,0
1429,0,0,1738,0,0,0,580,0,0,0,161.11,0,0,0,0,0,0,0,58,0,0,0,58,0
1430,0,0,1798,0,0,0,600,0,0,0,166.67,0,0,0,0,0,0,0,60,0,0,0,60,0
1501,0,0,75,0,0,0,20,0,0,0,2.22,0,0,0,0,0,0,0,4,0,0,0,4,0
1502,0,0,150,0,0,0,40,0,0,0,4.44,0,0,0,0,0,0,0,8,0,0,0,8,0
1503,0,0,225,0,0,0,60,0,0,0,6.67,0,0,0,0,0,0,0,12,0,0,0,12,0
1504,0,0,300,0,0,0,80,0,0,0,8.89,0,0,0,0,0,0,0,16,0,0,0,16,0
1505,0,0,375,0,0,0,100,0,0,0,11.11,0,0,0,0,0,0,0,20,0,0,0,20,0
1506,0,0,449,0,0,0,120,0,0,0,13.33,0,0,0,0,0,0,0,24,0,0,0,24,0
1507,0,0,524,0,0,0,140,0,0,0,15.56,0,0,0,0,0,0,0,28,0,0,0,28,0
1508,0,0,599,0,0,0,160,0,0,0,17.78,0,0,0,0,0,0,0,32,0,0,0,32,0
1509,0,0,674,0,0,0,180,0,0,0,20,0,0,0,0,0,0,0,36,0,0,0,36,0
1510,0,0,749,0,0,0,200,0,0,0,22.22,0,0,0,0,0,0,0,40,0,0,0,40,0
1511,0,0,824,0,0,0,220,0,0,0,24.44,0,0,0,0,0,0,0,44,0,0,0,44,0
1512,0,0,899,0,0,0,240,0,0,0,26.67,0,0,0,0,0,0,0,48,0,0,0,48,0
1513,0,0,974,0,0,0,260,0,0,0,28.89,0,0,0,0,0,0,0,52,0,0,0,52,0
1514,0,0,1049,0,0,0,280,0,0,0,31.11,0,0,0,0,0,0,0,56,0,0,0,56,0
1515,0,0,1124,0,0,0,300,0,0,0,33.33,0,0,0,0,0,0,0,60,0,0,0,60,0
1516,0,0,1199,0,0,0,320,0,0,0,35.56,0,0,0,0,0,0,0,64,0,0,0,64,0
1517,0,0,1273,0,0,0,340,0,0,0,37.78,0,0,0,0,0,0,0,68,0,0,0,68,0
1518,0,0,1348,0,0,0,360,0,0,0,40,0,0,0,0,0,0,0,72,0,0,0,72,0
1519,0,0,1423,0,0,0,380,0,0,0,42.22,0,0,0,0,0,0,0,76,0,0,0,76,0
1520,0,0,1498,0,0,0,400,0,0,0,44.44,0,0,0,0,0,0,0,80,0,0,0,80,0
1521,0,0,1573,0,0,0,420,0,0,0,46.67,0,0,0,0,0,0,0,84,0,0,0,84,0
1522,0,0,1648,0,0,0,440,0,0,0,48.89,0,0,0,0,0,0,0,88,0,0,0,88,0
1523,0,0,1723,0,0,0,460,0,0,0,51.11,0,0,0,0,0,0,0,92,0,0,0,92,0
1524,0,0,1798,0,0,0,480,0,0,0,53.33,0,0,0,0,0,0,0,96,0,0,0,96,0
1525,0,0,1873,0,0,0,500,0,0,0,55.56,0,0,0,0,0,0,0,100,0,0,0,100,0
1526,0,0,1948,0,0,0,520,0,0,0,57.78,0,0,0,0,0,0,0,104,0,0,0,104,0
1527,0,0,2022,0,0,0,540,0,0,0,60,0,0,0,0,0,0,0,108,0,0,0,108,0
1528,0,0,2097,0,0,0,560,0,0,0,62.22,0,0,0,0,0,0,0,112,0,0,0,112,0
1529,0,0,2172,0,0,0,580,0,0,0,64.44,0,0,0,0,0,0,0,116,0,0,0,116,0
1530,0,0,2247,0,0,0,600,0,0,0,66.67,0,0,0,0,0,0,0,120,0,0,0,120,0
1601,0,0,30,0,0,0,20,0,0,0,3.33,0,0,0,0,0,0,0,2,0,0,0,2,0
1602,0,0,60,0,0,0,40,0,0,0,6.67,0,0,0,0,0,0,0,4,0,0,0,4,0
1603,0,0,90,0,0,0,60,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,6,0
1604,0,0,120,0,0,0,80,0,0,0,13.33,0,0,0,0,0,0,0,8,0,0,0,8,0
1605,0,0,150,0,0,0,100,0,0,0,16.67,0,0,0,0,0,0,0,10,0,0,0,10,0
1606,0,0,180,0,0,0,120,0,0,0,20,0,0,0,0,0,0,0,12,0,0,0,12,0
1607,0,0,210,0,0,0,140,0,0,0,23.33,0,0,0,0,0,0,0,14,0,0,0,14,0
1608,0,0,240,0,0,0,160,0,0,0,26.67,0,0,0,0,0,0,0,16,0,0,0,16,0
1609,0,0,270,0,0,0,180,0,0,0,30,0,0,0,0,0,0,0,18,0,0,0,18,0
1610,0,0,300,0,0,0,200,0,0,0,33.33,0,0,0,0,0,0,0,20,0,0,0,20,0
1611,0,0,330,0,0,0,220,0,0,0,36.67,0,0,0,0,0,0,0,22,0,0,0,22,0
1612,0,0,360,0,0,0,240,0,0,0,40,0,0,0,0,0,0,0,24,0,0,0,24,0
1613,0,0,390,0,0,0,260,0,0,0,43.33,0,0,0,0,0,0,0,26,0,0,0,26,0
1614,0,0,419,0,0,0,280,0,0,0,46.67,0,0,0,0,0,0,0,28,0,0,0,28,0
1615,0,0,449,0,0,0,300,0,0,0,50,0,0,0,0,0,0,0,30,0,0,0,30,0
1616,0,0,479,0,0,0,320,0,0,0,53.33,0,0,0,0,0,0,0,32,0,0,0,32,0
1617,0,0,509,0,0,0,340,0,0,0,56.67,0,0,0,0,0,0,0,34,0,0,0,34,0
1618,0,0,539,0,0,0,360,0,0,0,60,0,0,0,0,0,0,0,36,0,0,0,36,0
1619,0,0,569,0,0,0,380,0,0,0,63.33,0,0,0,0,0,0,0,38,0,0,0,38,0
1620,0,0,599,0,0,0,400,0,0,0,66.67,0,0,0,0,0,0,0,40,0,0,0,40,0
1621,0,0,629,0,0,0,420,0,0,0,70,0,0,0,0,0,0,0,42,0,0,0,42,0
1622,0,0,659,0,0,0,440,0,0,0,73.33,0,0,0,0,0,0,0,44,0,0,0,44,0
1623,0,0,689,0,0,0,460,0,0,0,76.67,0,0,0,0,0,0,0,46,0,0,0,46,0
1624,0,0,719,0,0,0,480,0,0,0,80,0,0,0,0,0,0,0,48,0,0,0,48,0
1625,0,0,749,0,0,0,500,0,0,0,83.33,0,0,0,0,0,0,0,50,0,0,0,50,0
1626,0,0,779,0,0,0,520,0,0,0,86.67,0,0,0,0,0,0,0,52,0,0,0,52,0
1627,0,0,809,0,0,0,540,0,0,0,90,0,0,0,0,0,0,0,54,0,0,0,54,0
1628,0,0,839,0,0,0,560,0,0,0,93.33,0,0,0,0,0,0,0,56,0,0,0,56,0
1629,0,0,869,0,0,0,580,0,0,0,96.67,0,0,0,0,0,0,0,58,0,0,0,58,0
1630,0,0,899,0,0,0,600,0,0,0,100,0,0,0,0,0,0,0,60,0,0,0,60,0
1701,0,0,60,0,0,0,20,0,0,0,0,0,0,0,7.37,0,0,0,2,0,0,0,2,0
1702,0,0,120,0,0,0,40,0,0,0,0,0,0,0,14.75,0,0,0,4,0,0,0,4,0
1703,0,0,180,0,0,0,60,0,0,0,0,0,0,0,22.12,0,0,0,6,0,0,0,6,0
1704,0,0,240,0,0,0,80,0,0,0,0,0,0,0,29.49,0,0,0,8,0,0,0,8,0
1705,0,0,300,0,0,0,100,0,0,0,0,0,0,0,36.87,0,0,0,10,0,0,0,10,0
1706,0,0,360,0,0,0,120,0,0,0,0,0,0,0,44.24,0,0,0,12,0,0,0,12,0
1707,0,0,419,0,0,0,140,0,0,0,0,0,0,0,51.61,0,0,0,14,0,0,0,14,0
1708,0,0,479,0,0,0,160,0,0,0,0,0,0,0,58.99,0,0,0,16,0,0,0,16,0
1709,0,0,539,0,0,0,180,0,0,0,0,0,0,0,66.36,0,0,0,18,0,0,0,18,0
1710,0,0,599,0,0,0,200,0,0,0,0,0,0,0,73.73,0,0,0,20,0,0,0,20,0
1711,0,0,659,0,0,0,220,0,0,0,0,0,0,0,81.11,0,0,0,22,0,0,0,22,0
1712,0,0,719,0,0,0,240,0,0,0,0,0,0,0,88.48,0,0,0,24,0,0,0,24,0
1713,0,0,779,0,0,0,260,0,0,0,0,0,0,0,95.85,0,0,0,26,0,0,0,26,0
1714,0,0,839,0,0,0,280,0,0,0,0,0,0,0,103.23,0,0,0,28,0,0,0,28,0
1715,0,0,899,0,0,0,300,0,0,0,0,0,0,0,110.6,0,0,0,30,0,0,0,30,0
1716,0,0,959,0,0,0,320,0,0,0,0,0,0,0,117.97,0,0,0,32,0,0,0,32,0
1717,0,0,1019,0,0,0,340,0,0,0,0,0,0,0,125.35,0,0,0,34,0,0,0,34,0
1718,0,0,1079,0,0,0,360,0,0,0,0,0,0,0,132.72,0,0,0,36,0,0,0,36,0
1719,0,0,1139,0,0,0,380,0,0,0,0,0,0,0,140.09,0,0,0,38,0,0,0,38,0
1720,0,0,1199,0,0,0,400,0,0,0,0,0,0,0,147.47,0,0,0,40,0,0,0,40,0
1721,0,0,1258,0,0,0,420,0,0,0,0,0,0,0,154.84,0,0,0,42,0,0,0,42,0
1722,0,0,1318,0,0,0,440,0,0,0,0,0,0,0,162.21,0,0,0,44,0,0,0,44,0
1723,0,0,1378,0,0,0,460,0,0,0,0,0,0,0,169.59,0,0,0,46,0,0,0,46,0
1724,0,0,1438,0,0,0,480,0,0,0,0,0,0,0,176.96,0,0,0,48,0,0,0,48,0
1725,0,0,1498,0,0,0,500,0,0,0,0,0,0,0,184.33,0,0,0,50,0,0,0,50,0
1726,0,0,1558,0,0,0,520,0,0,0,0,0,0,0,191.71,0,0,0,52,0,0,0,52,0
1727,0,0,1618,0,0,0,540,0,0,0,0,0,0,0,199.08,0,0,0,54,0,0,0,54,0
1728,0,0,1678,0,0,0,560,0,0,0,0,0,0,0,206.45,0,0,0,56,0,0,0,56,0
1729,0,0,1738,0,0,0,580,0,0,0,0,0,0,0,213.82,0,0,0,58,0,0,0,58,0
1730,0,0,1798,0,0,0,600,0,0,0,0,0,0,0,221.2,0,0,0,60,0,0,0,60,0
1801,0,0,30,0,0,0,20,0,0,0,5.56,0,0,0,0,0,0,0,2,0,0,0,2,0
1802,0,0,60,0,0,0,40,0,0,0,11.11,0,0,0,0,0,0,0,4,0,0,0,4,0
1803,0,0,90,0,0,0,60,0,0,0,16.67,0,0,0,0,0,0,0,6,0,0,0,6,0
1804,0,0,120,0,0,0,80,0,0,0,22.22,0,0,0,0,0,0,0,8,0,0,0,8,0
1805,0,0,150,0,0,0,100,0,0,0,27.78,0,0,0,0,0,0,0,10,0,0,0,10,0
1806,0,0,180,0,0,0,120,0,0,0,33.33,0,0,0,0,0,0,0,12,0,0,0,12,0
1807,0,0,210,0,0,0,140,0,0,0,38.89,0,0,0,0,0,0,0,14,0,0,0,14,0
