符文ID（1-1000通用符文ID;1000以上为专属符文id）,符文名称,符文图标,符文专属（0为通用;1-1000为相应英雄可用）,符文镶嵌类型(雕文1印记2符印3精华4等分类),符文属性类型(生命1法力2攻击3魔法4防御5功能6),符文等级,符文描述,效果id组(都配效果),改动的参数组(都配效果),符文名称类型 (1加号;2百分比;4成长18;8扩大100),符文限制个数
158,普攻伤害,2,0,4,3,1,[orange]等级1[/orange]<br>      [b][purple]初级普攻伤害精华[/purple][/b] <br>      +4.86%普攻伤害,3094,48600,3,1
159,生命恢复/5秒,3,0,3,1,1,[orange]等级1[/orange]<br>      [b][yellow]初级生命回复符印[/yellow][/b] <br>      +1.51生命恢复/5秒,3105,15120,9,2
160,生命恢复/5秒,3,0,4,1,1,[orange]等级1[/orange]<br>      [b][purple]初级生命回复精华[/purple][/b] <br>      +4.86生命恢复/5秒,3105,48600,9,1
161,生命恢复/5秒(18级),3,0,3,1,1,[orange]等级1[/orange]<br>      [b][yellow]初级成长生命回复符印[/yellow][/b] <br>      每级+0.3生命恢复/5秒(18级+5.4),3006,3000,13,2
162,生命恢复/5秒(18级),4,0,4,1,1,[orange]等级1[/orange]<br>      [b][purple]初级成长生命回复精华[/purple][/b] <br>      每级+0.5生命恢复/5秒(18级+9),3006,5040,13,1
163,生命偷取,4,0,4,3,1,[orange]等级1[/orange]<br>      [b][purple]初级生命偷取精华[/purple][/b] <br>     +2.7%生命偷取,3109,27000,3,1
164,生命值,3,0,3,1,1,[orange]等级1[/orange]<br>      [b][yellow]初级生命值符印[/yellow][/b] <br>      +21.6生命值,3098,2160,1,2
165,生命值,3,0,4,1,1,[orange]等级1[/orange]<br>      [b][purple]初级生命值精华[/purple][/b] <br>     +46.8生命值,3098,4680,1,1
166,生命值(18级),3,0,3,1,1,[orange]等级1[/orange]<br>      [b][yellow]初级长生命值符印[/yellow][/b] <br>      每级+3.6生命值(18级+64.8),2999,360,5,2
167,生命值(18级),4,0,4,1,1,[orange]等级1[/orange]<br>      [b][purple]初级成长生命值精华[/purple][/b] <br>      每级+4.8生命值(18级+86.4),2999,486,5,1
168,生命值加成,3,0,3,1,1,[orange]等级1[/orange]<br>      [b][yellow]初级百分比生命值符印[/yellow][/b] <br>     +1.35%生命值,3099,13500,3,2
169,生命值加成,3,0,4,1,1,[orange]等级1[/orange]<br>      [b][purple]初级百分比生命值精华[/purple][/b]<br>      +2.7%生命值加成,3099,27000,3,1
170,物理防御,3,0,3,5,1,[orange]等级1[/orange]<br>      [b][yellow]初级护甲符印[/yellow][/b] <br>     +2.7物理防御,3102,27000,9,2
171,物理防御,1,0,4,5,1,[orange]等级1[/orange]<br>     [b][purple]初级护甲精华[/purple][/b] <br>     +7.66物理防御,3102,76680,9,1
172,物理防御(18级),3,0,3,5,1,[orange]等级1[/orange]<br>      [b][yellow]初级成长护甲符印[/yellow][/b] <br>      每级+0.43物理防御(18级+7.74),3002,4320,13,2
173,物理防御(18级),4,0,4,5,1,[orange]等级1[/orange]<br>     [b][purple]初级成长护甲精华[/purple][/b] <br>      每级+0.68物理防御(18级+12.24),3002,6840,13,1
174,移动速度,4,0,4,6,1,[orange]等级1[/orange]<br>      [b][purple]初级移动速度精华[/purple][/b] <br>      +2.7%移动速度,3110,27000,3,1
