物品ID,装备名称,物品类型(1、装备 2、物品),装备图标ID,装备标签组,装备标签子类型,是否英雄专属（0.非英雄专属 1.英雄专属）,英雄ID,职业限制（0.无限制  1.近战  2.远程）,合成需要装备,能合装备,绝对价格,出售价格,效果ID组,效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,继承效果ID组,继承效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,继承物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,战场限制（战场ID）,自动使用（装备满格后，购买能够不占格子，自动使用其效果）,特殊槽位物品（0.非眼位  1.眼位）,是否能主动使用（0.无主动技能  1.有主动技能）,使用是否移除（0.主动使用完不移除  1.主动使用完移除）,是否能叠加（0.同格不能叠加  1.同格能叠加）,最大叠加数量,最大拥有数,使用BuffID,使用Buff冷却ID,使用技能ID,可使用次数（主动技能使用buff实现，才可使用）,对应图标组,购买界面描述,物品栏描述,装备贵重度,标识,装备定位说明
60,$深渊权杖,1,1,3;5,3001;4003,0,,0,41;50,,2430,1215,191;192;931,1;1;2,,191;192;931,1;1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+70法攻<br>+50法防[/green]<br>[yellow]唯一光环：[/yellow][blue]降低周围敌方英雄20魔抗 [/blue]  ,$[green]+70法攻<br>+50法防[/green]<br>[yellow]唯一光环：[/yellow][blue]降低周围敌方英雄20魔抗 [/blue]  ,1,,  
61,$大天使之杖,1,1,5;5;5,2001;3002;3004,0,,0,66;22,,3000,1500,190;188;953;1511;1215,1;1;1;3;3,1512,190;188;953;1511;1215,1;1;1;3;3,1512,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+80法攻<br>+250魔法<br>+50%基础法力回复[/green]<br>[yellow]唯一被动 法力积攒：[/yellow][blue]英雄每次使用技能或消耗魔法时，最大法力值就会+4，8秒内最多触发2次；每8秒最大法力值+1. 最多加750法力值[/blue]<br>[yellow]唯一被动 洞察：[/yellow][blue]提供最大魔法值3%的法强[/blue],$[green]+80法攻<br>+250魔法<br>+50%基础法力回复[/green]<br>[yellow]唯一被动 法力积攒：[/yellow][blue]英雄每次使用技能或消耗魔法时，最大法力值就会+4，8秒内最多触发2次；每8秒最大法力值+1. 最多加750法力值[/blue]<br>[yellow]唯一被动 洞察：[/yellow][blue]提供最大魔法值3%的法强[/blue],1,,  
62,$魔宗利刃,1,1,4;5;5,2001;3002;3004,0,,0,66;9,,2200,1100,130;188;946;1511;1214,1;1;1;3;3,1512,130;188;946;1511;1214,1;1;1;3;3,1512,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+28物攻<br>+250魔法<br>+25%基础法力回复[/green]<br>[yellow]唯一被动 法力积攒：[/yellow][blue]英雄每次使用技能或消耗魔法时，最大法力值就会+4，8秒内最多触发2次；每8秒最大法力值+1. 最多加750法力值[/blue]<br>[yellow]唯一被动 敬畏：[/yellow][blue]提供最大魔法值2%的攻击力[/blue],$[green]+28物攻<br>+250魔法<br>+25%基础法力回复[/green]<br>[yellow]唯一被动 法力积攒：[/yellow][blue]英雄每次使用技能或消耗魔法时，最大法力值就会+4，8秒内最多触发2次；每8秒最大法力值+1. 最多加750法力值[/blue]<br>[yellow]唯一被动 敬畏：[/yellow][blue]提供最大魔法值2%的攻击力[/blue],1,,  
63,$巫妖之祸,1,1,5;5;6,3001;3002;5002,0,,0,23;21;50,,3000,1500,142;188;180;1255,1;1;1;3,,142;188;180;1255,1;1;1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+80法攻<br>+250魔法<br>+5%移速[/green]<br>[yellow]唯一被动 咒刃：[/yellow][blue]释放技能后，下一次普攻造成75%总攻击力（+50%法强）的额外魔法伤害。[/blue],$[green]+80法攻<br>+250魔法<br>+5%移速[/green]<br>[yellow]唯一被动 咒刃：[/yellow][blue]释放技能后，下一次普攻造成75%总攻击力（+50%法强）的额外魔法伤害。[/blue],1,,  
64,$远古意志,1,1,5;5,3001;3003,0,,0,55;50,,2250,1125,142;194;141,1;2;1,,142;194;141,1;2;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+80法攻<br>+10%冷缩[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%法术吸血[/blue],$[green]+80法攻<br>+10%冷缩[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%法术吸血[/blue],1,,  
65,$莫雷洛秘典,1,1,5;5;5,3001;3003;3004,0,,0,55;21;76,,2300,1150,142;162;1216;1225,1;1;1;2,,142;162;1216;1225,1;1;1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+80法攻<br>+20%冷缩<br>+100%基础法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]伤害性技能会对生命值低于40%目标造成重伤效果[/blue],$[green]+80法攻<br>+20%冷缩<br>+100%基础法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]伤害性技能会对生命值低于40%目标造成重伤效果[/blue],1,,  
66,$女神之泪,1,1,5;5,3002;3004,0,,0,52;54,61;62,720,360,188;1511;946,1;3;1,1512,188;1511;946,1;3;1,1512,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+250魔法<br>+25%基础法力回复[/green]<br>[yellow]唯一被动 法力积攒：[/yellow][blue]英雄每次使用技能或消耗魔法时，最大法力值就会+4，8秒内最多触发2次；每8秒最大法力值+1. 最多加750法力值[/blue],$[green]+250魔法<br>+25%基础法力回复[/green]<br>[yellow]唯一被动 法力积攒：[/yellow][blue]英雄每次使用技能或消耗魔法时，最大法力值就会+4，8秒内最多触发2次；每8秒最大法力值+1. 最多加750法力值[/blue],1,,  
67,$梅贾的窃魂卷,1,1,5,3001,0,,0,21,,1400,700,148;1088;1342;1365;1497,1;2;2;2;2,1272,148;1088;1342;1365;1497,1;2;2;2;2,1272,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+20法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]每层提供8法强，初始有5层效果。杀一次对面英雄获得2层，助攻获得1层。当达到最大数20层时，获得15%冷却缩减。[/blue],$[green]+20法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]每层提供8法强，初始有5层效果。杀一次对面英雄获得2层，助攻获得1层。当达到最大数20层时，获得15%冷却缩减。[/blue],1,,  
68,$愤怒合剂,2,1,2;4;4,1001;2001;2003,0,,0,,,500,200,,,,,,,1;3;4;5;6,1,0,1,1,0,1,6,1193,,,,,$[yellow]点击饮用：[/yellow][blue]+28物攻以及[/blue][yellow]嗜血[/yellow][blue]，持续3分钟。[/blue]<br>[yellow]嗜血：[/yellow][blue]在对敌方英雄造成物理伤害时，获得实际伤害值10%的生命值[/blue],$[yellow]点击饮用：[/yellow][blue]+28物攻以及[/blue][yellow]嗜血[/yellow][blue]，持续3分钟。[/blue]<br>[yellow]嗜血：[/yellow][blue]在对敌方英雄造成物理伤害时，获得实际伤害值10%的生命值[/blue],1,,  
69,$兰德里的折磨,1,1,3;5,3001;4001,0,,0,70;50,,3000,1500,186;1312;124;937,1;1;3;2,,186;1312;124;937,1;1;3;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+300生命<br>+80法攻<br>[/green][yellow]唯一被动 痛苦之眼：[/yellow][blue]+15法穿[/blue]<br>[yellow]唯一被动：[/yellow][blue]伤害性技能会灼烧敌人3秒，每秒造成敌人当前生命值2%的魔法伤害[/blue],$[green]+300生命<br>+80法攻<br>[/green][yellow]唯一被动 痛苦之眼：[/yellow][blue]+15法穿[/blue]<br>[yellow]唯一被动：[/yellow][blue]伤害性技能会灼烧敌人3秒，每秒造成敌人当前生命值2%的魔法伤害[/blue],1,,  
70,$幽魂面具,1,1,3;5,3001;4001,0,,0,,69,1610,805,157;149;124,1;1;3,,157;149;124,1;1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+200生命<br>+25法攻[/green]<br>[yellow]唯一被动 痛苦之眼：[/yellow][blue]+15法穿[/blue],$[green]+200生命<br>+25法攻[/green]<br>[yellow]唯一被动 痛苦之眼：[/yellow][blue]+15法穿[/blue],1,,  
71,$中娅沙漏,1,1,3;5,3001;4002,0,,0,74;22,,2900,1450,193;154,1;1,,193;154,1;1,,1;3;4;5;6,0,0,1,0,0,1,6,,,,,,$[green]+50物防<br>+120法攻[/green],$[green]+50物防<br>+120法攻[/green],1,,  
72,$鬼索的狂暴,1,1,4;5,2001;3001,0,,0,50;9,,2550,1275,160;184;939;1285,1;1;2;2,1288,160;184;939;1285,1;1;2;2,1288,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+20物攻<br>+40法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]每次普攻或释放技能时都能增加自身4%普攻伤害和4法强，持续8秒，最多叠加8次。[/blue]<br>[yellow]唯一被动：[/yellow][blue]当你生命值掉落50%以下时，增加20%普攻伤害，10%生命偷取，10%法术吸血。直到脱离战斗。冷却时间30秒[/blue],$[green]+20物攻<br>+40法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]每次普攻或释放技能时都能增加自身4%普攻伤害和4法强，持续8秒，最多叠加8次。[/blue]<br>[yellow]唯一被动：[/yellow][blue]当你生命值掉落50%以下时，增加20%普攻伤害，10%生命偷取，10%法术吸血。直到脱离战斗。冷却时间30秒[/blue],1,,  
73,$催化神石,1,1,3;5,4001;3002,0,,0,28;52,75,1200,600,157;196;1182,1;1;3,1270,157;196;1182,1;1;3,1270,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+200生命<br>+300魔法[/green]<br>[yellow]唯一被动 英勇奖赏：[/yellow][blue]升级时会在8秒内获得150生命值和200法力值。[/blue],$[green]+200生命<br>+300魔法[/green]<br>[yellow]唯一被动 英勇奖赏：[/yellow][blue]升级时会在8秒内获得150生命值和200法力值。[/blue],1,,  
74,$探索者的护肩,1,1,3;5,3001;4002,0,,0,34;21,71,1180,590,197;149;1100,1;1;2,1273,197;149;1100,1;1;2,1273,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+30物防<br>+25法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]每杀死一个单位获得0.5护甲和法强，最多叠加30次。[/blue],$[green]+30物防<br>+25法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]每杀死一个单位获得0.5护甲和法强，最多叠加30次。[/blue],1,,  
75,$时光之杖,1,1,3;5;5,3001;4001;3002,0,,0,73;50,,2800,1400,186;1523;170;1314;1182,1;1;1;2;2,1519,186;1523;170;1314;1182,1;1;1;2;2,1519,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+300生命<br>+60法攻<br>+400魔法[/green]<br>[yellow]唯一被动：[/yellow][blue]你的英雄每分钟增长20生命值，40法力值，4法强。最多增加200生命400法力40法强。[/blue]<br>[yellow]唯一被动 英勇奖赏：[/yellow][blue]升级时会在8秒内获得150生命值和200法力值。 [/blue],$[green]+300生命<br>+60法攻<br>+400魔法[/green]<br>[yellow]唯一被动：[/yellow][blue]你的英雄每分钟增长20生命值，40法力值，4法强。最多增加200生命400法力40法强。[/blue]<br>[yellow]唯一被动 英勇奖赏：[/yellow][blue]升级时会在8秒内获得150生命值和200法力值。 [/blue],1,,  
76,$禁忌雕像,1,1,5;5,3003;3004,0,,0,54;54,58;65,650,325,141;953,1;1,,141;953,1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+50%基础法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],$[green]+50%基础法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],1,,  
77,$夺萃之镰,1,1,4;4;5,2001;2003;3003,0,,0,10;11,,3100,1550,135;134;1571;1150,1;1;1;2,,135;134;1571;1150,1;1;1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+90物攻<br>+10%物理吸血<br>+10%冷缩[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻会为你回复法力，回复值为你最大法力值的1%。[/blue],$[green]+90物攻<br>+10%物理吸血<br>+10%冷缩[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻会为你回复法力，回复值为你最大法力值的1%。[/blue],1,,  
78,$卢登的回声,1,1,5;6,3001;5002,0,,0,21;22,,3100,1550,154;204;1386,1;1;2,1402,154;204;1386,1;1;2,1402,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+120法攻<br>+7%移速[/green]<br>[yellow]唯一被动：[/yellow][blue]移动和施法的同时会获得充能。在充能数达到100时，下次施法会释放所有静电，对最多4个目标造成100（+10%法强）魔法伤害。[/blue],$[green]+120法攻<br>+7%移速[/green]<br>[yellow]唯一被动：[/yellow][blue]移动和施法的同时会获得充能。在充能数达到100时，下次施法会释放所有静电，对最多4个目标造成100（+10%法强）魔法伤害。[/blue],1,,  
79,$冰脉护手,1,1,3;5;5;5,4002;3003;3002;3001,0,,0,57;23,,2850,1425,202;183;207;141;1094,1;1;1;1;3,,202;183;207;141;1094,1;1;1;1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+60物防<br>+30法攻<br>+500魔法<br>+10%冷缩[/green]<br>[yellow]唯一被动 咒刃：[/yellow][blue]在释放技能后，下一次普攻会对周围敌人造成相当于你125%基础攻击力的额外物理伤害，并制造一个2秒的减速场，减速场内敌人30%，冷却时间1.5秒。远程英雄减速场尺寸减半。[/blue],$[green]+60物防<br>+30法攻<br>+500魔法<br>+10%冷缩[/green]<br>[yellow]唯一被动 咒刃：[/yellow][blue]在释放技能后，下一次普攻会对周围敌人造成相当于你125%基础攻击力的额外物理伤害，并制造一个2秒的减速场，减速场内敌人30%，冷却时间1.5秒。远程英雄减速场尺寸减半。[/blue],1,,  
80,$多兰之刃,1,1,1;3;4;4,1001;4001;2001;2003,0,,0,,,440,220,209;129;210,1;1;1,,209;129;210,1;1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+70生命<br>+9物攻<br>+3%物理吸血[/green],$[green]+70生命<br>+9物攻<br>+3%物理吸血[/green],1,,  
81,$多兰之戒,1,1,1;3;5;5,1001;4001;3001;3004,0,,0,,,400,200,211;212;1166,1;1;2,,211;212;1166,1;1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+60生命<br>+15法攻[/green]<br>[yellow]被动：[/yellow][blue]+3法力回复/5秒 [/blue]<br>[yellow]被动：[/yellow][blue]击杀一名敌方单位回复4法力[/blue],$[green]+60生命<br>+15法攻[/green]<br>[yellow]被动：[/yellow][blue]+3法力回复/5秒 [/blue]<br>[yellow]被动：[/yellow][blue]击杀一名敌方单位回复4法力[/blue],1,,  
82,$多兰之盾,1,1,1;3;3,1001;4001;4004,0,,0,,,440,220,213;1169,1;2,1276,213;1169,1;2,1276,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+80生命[/green]<br>[yellow]被动：[/yellow][blue]回复6生命/5秒[/blue]<br>[yellow]唯一被动：[/yellow][blue]格挡5来自敌方英雄的普攻和技能伤害[/blue],$[green]+80生命[/green]<br>[yellow]被动：[/yellow][blue]回复6生命/5秒[/blue]<br>[yellow]唯一被动：[/yellow][blue]格挡5来自敌方英雄的普攻和技能伤害[/blue],1,,  
83,$海克斯魔剑,1,1,3;4,4003;2001,0,,0,40;8,84,1410,705,130;173;1283,1;1;3,1286,130;173;1283,1;1;3,1286,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+28物攻<br>+30法防[/green]<br>[yellow]唯一被动 救助灵刀：[/yellow][blue]如果你的生命值即将在承受魔法伤害后低于30%，那么此物品会在此之前为你制造一个吸收250魔法伤害的护盾，持续5秒。冷却90秒[/blue],$[green]+28物攻<br>+30法防[/green]<br>[yellow]唯一被动 救助灵刀：[/yellow][blue]如果你的生命值即将在承受魔法伤害后低于30%，那么此物品会在此之前为你制造一个吸收250魔法伤害的护盾，持续5秒。冷却90秒[/blue],1,,  
84,$玛莫提乌斯之噬,1,1,3;4,4003;2001,0,,0,83;9,,3120,1560,214;189;1061;1284,1;1;2;3,1287,214;189;1061;1284,1;1;2;3,1287,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+68物攻<br>+40法防[/green]<br>[yellow]唯一被动 救助灵刀：[/yellow][blue]如果你的生命值即将在承受魔法伤害后低于30%，那么此物品会在此之前为你制造一个吸收400魔法伤害的护盾，持续5秒。冷却90秒[/blue]<br>[yellow]唯一被动：[/yellow][blue]每损失最大生命值2%的血量，就会+1攻击力，最多+39攻击力。[/blue],$[green]+68物攻<br>+40法防[/green]<br>[yellow]唯一被动 救助灵刀：[/yellow][blue]如果你的生命值即将在承受魔法伤害后低于30%，那么此物品会在此之前为你制造一个吸收400魔法伤害的护盾，持续5秒。冷却90秒[/blue]<br>[yellow]唯一被动：[/yellow][blue]每损失最大生命值2%的血量，就会+1攻击力，最多+39攻击力。[/blue],1,,  
85,$猎人的宽刃刀,1,1,1,1003,0,,0,,92,400,200,1170;3506;4024,1;1;2,4027,1170;3506;4024,1;1;2,4027,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成14额外魔法伤害，同时回复自身3的生命值。[/blue]<br>[yellow]唯一被动：[/yellow][blue]首次击杀野怪可获得额外经验。[/blue],$[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成14额外魔法伤害，同时回复自身3的生命值。[/blue]<br>[yellow]唯一被动：[/yellow][blue]首次击杀野怪可获得额外经验。[/blue],1,,  
86,$幽梦之灵,1,1,4;4;5,2002;2001;3003,0,,0,9;87,,2200,1100,160;177;216;141,1;1;2;1,,160;177;216;141,1;1;2;1,,1;3;4;5;6,0,0,1,0,0,1,6,,,,,,$[green]+33物攻<br>+15%暴击概率<br>+10%冷缩<br>[/green][yellow]唯一被动：[/yellow][blue]+20物穿[/blue],$[green]+33物攻<br>+15%暴击概率<br>+10%冷缩<br>[/green][yellow]唯一被动：[/yellow][blue]+20物穿[/blue],1,,  
87,$残暴之力,1,1,4,2001,0,,0,8;8,86;94,1250,625,130;217;141,1;2;2,,130;217;141,1;2;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+17物攻[/green]<br>[yellow]唯一被动：[/yellow][blue]+10物穿[/blue]<br>[yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],$[green]+17物攻[/green]<br>[yellow]唯一被动：[/yellow][blue]+10物穿[/blue]<br>[yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],1,,  
88,$废墟合剂,2,1,2;3,1001;4001,0,,0,,,500,200,,,,,,,1;3;4;5;6,1,0,1,1,0,1,6,1194,,,,,$[yellow]点击饮用：[/yellow][blue]提供250生命值，以及[/blue][yellow]攻城指挥官[/yellow][blue]，持续3分钟。[/blue]<br>[yellow]攻城指挥官：[/yellow][blue]附近的小兵对防御塔伤害加15%，同时增加他们50护甲和魔抗，以及移速加成（基于使用英雄的移速）。[/blue],$[yellow]点击饮用：[/yellow][blue]提供250生命值，以及[/blue][yellow]攻城指挥官[/yellow][blue]，持续3分钟。[/blue]<br>[yellow]攻城指挥官：[/yellow][blue]附近的小兵对防御塔伤害加15%，同时增加他们50护甲和魔抗，以及移速加成（基于使用英雄的移速）。[/blue],1,,  
89,$钢铁合剂,2,1,2;6,1001;5002,0,,0,,,500,200,,,,,,,1;3;4;5;6,1,0,1,1,0,1,6,1196,,,,,$[yellow]点击饮用：[/yellow][blue]体型增大25%，并且提供25%韧性和25%减速抵抗，以及[/blue][yellow]钢铁之路[/yellow][blue]，持续3分钟。[/blue]<br>[yellow]钢铁之路：[/yellow][blue]移动时会在身后留下一条道路，友方英雄在这条道路上会提升15%移速。[/blue],$[yellow]点击饮用：[/yellow][blue]体型增大25%，并且提供25%韧性和25%减速抵抗，以及[/blue][yellow]钢铁之路[/yellow][blue]，持续3分钟。[/blue]<br>[yellow]钢铁之路：[/yellow][blue]移动时会在身后留下一条道路，友方英雄在这条道路上会提升15%移速。[/blue],1,,  
90,$巫术合剂,2,1,2;5;5,1001;3001;3004,0,,0,,,500,200,,,,,,,1;3;4;5;6,1,0,1,1,0,1,6,1197,,,,,$[yellow]点击饮用：[/yellow][blue]提供40法强，15法力回复/5秒，以及[/blue][yellow]巫术[/yellow][blue]，持续3分钟。[/blue]<br>[yellow]巫术：[/yellow][blue]在对敌方英雄和塔造成伤害时会造成25真实伤害，这个效果在对抗英雄时有冷却时间，但对塔时没有冷却时间。[/blue],$[yellow]点击饮用：[/yellow][blue]提供40法强，15法力回复/5秒，以及[/blue][yellow]巫术[/yellow][blue]，持续3分钟。[/blue]<br>[yellow]巫术：[/yellow][blue]在对敌方英雄和塔造成伤害时会造成25真实伤害，这个效果在对抗英雄时有冷却时间，但对塔时没有冷却时间。[/blue],1,,  
91,$眼,2,1,1;1;2,1001;1001;1003,0,,0,,,75,38,,,,,,,1;3;4;5;6,0,0,1,1,1,5,6,1255,,,,,$[yellow]点击使用：[/yellow][blue]召唤出一个隐形守卫，来监视一片区域，持续3分钟。每个英雄最多召唤3个。[/blue],$[yellow]点击使用：[/yellow][blue]召唤出一个隐形守卫，来监视一片区域，持续3分钟。每个英雄最多召唤3个。[/blue],1,,  
92,$追猎者的刀锋,1,1,1,1003,0,,0,85,94;95;96,850,425,1604;3507;3378;3508,1;1;1;1,3379,1604;3507;3378;3508,1;1;1;1,3379,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+150%基础法力回复[/green]<br>[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成18额外魔法伤害，同时回复自身4（+0.06*攻击力）的生命值。[/blue]<br>[yellow]唯一被动 深寒惩戒：[/yellow][blue]【惩戒】可以对敌方英雄使用，造成少量真实伤害，并减速敌方40%，持续3秒。[/blue],$[green]+150%基础法力回复[/green]<br>[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成18额外魔法伤害，同时回复自身4（+[PA=6]）的生命值。[/blue]<br>[yellow]唯一被动 深寒惩戒：[/yellow][blue]【惩戒】可以对敌方英雄使用，造成少量真实伤害，并减速敌方40%，持续3秒。[/blue],1,,  
93,$真视眼,1,67,1,1001,0,,0,,206,0,0,2228,1,,,,,15,0,1,1,0,0,1,6,,2040,401,,,$[yellow]主动：[/yellow][blue]消耗一层充能召唤出一个[orange]隐形守卫[/orange]，持续60秒。每120秒储存一次充能，最多可有2层充能。[/blue]<br>[orange]隐形守卫：[/orange][blue]可获得附近区域的视野。[/blue],$[yellow]主动：[/yellow][blue]消耗一层充能召唤出一个[orange]隐形守卫[/orange]，持续60秒。每120秒储存一次充能，最多可有2层充能。[/blue]<br>[orange]隐形守卫：[/orange][blue]可获得附近区域的视野。[/blue],1,,  
94,$追猎者的刀锋:战士,1,1,1,1003;2001;3003,0,,0,92;87,,2625,1313,1329;141;217;1604;3507;1609;3378;3508,1;1;1;1;1;1;1;1,3379,1329;141;217;1604;3507;1609;3378;3508,1;1;1;1;1;1;1;1,3379,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+67物攻<br>+10%冷缩<br>+150%基础法力回复<br>[/green][yellow]唯一被动：[/yellow][blue]+10物穿[/blue]<br>[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成18额外魔法伤害，同时回复自身4（+0.06*攻击力）的生命值。[/blue]<br>[yellow]唯一被动 深寒惩戒：[/yellow][blue]【惩戒】可以对敌方英雄使用，造成少量真实伤害，并减速敌方40%，持续3秒。[/blue],$[green]+67物攻<br>+10%冷缩<br>+150%基础法力回复<br>[/green][yellow]唯一被动：[/yellow][blue]+10物穿[/blue]<br>[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成18额外魔法伤害，同时回复自身4（+[PA=6]）的生命值。[/blue]<br>[yellow]唯一被动 深寒惩戒：[/yellow][blue]【惩戒】可以对敌方英雄使用，造成少量真实伤害，并减速敌方40%，持续3秒。[/blue],1,,  
95,$追猎者的刀锋：熔渣巨人,1,1,1,1003;4001,0,,0,92;56,,2625,1313,2086;141;2087;778;1604;3507;1609;3378;3508,1;1;1;1;1;1;1;1;1,1267;3379,2086;141;2087;778;1604;3507;1609;3378;3508,1;1;1;1;1;1;1;1;1,1267;3379,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+400生命值<br>+7.5%生命值<br>+10%冷缩<br>+150%基础法力回复<br>[/green][yellow]唯一被动-献祭：[/yellow][blue]每秒对附近敌人造成15(+0.6*英雄等级)魔法伤害。[/blue]<br>[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成18额外魔法伤害，同时回复自身4（+0.06*攻击力）的生命值。[/blue]<br>[yellow]唯一被动 深寒惩戒：[/yellow][blue]【惩戒】可以对敌方英雄使用，造成少量真实伤害，并减速敌方40%，持续3秒。[/blue],$[green]+400生命值<br>+7.5%生命值<br>+10%冷缩<br>+150%基础法力回复<br>[/green][yellow]唯一被动-献祭：[/yellow][blue]每秒对附近敌人造成15(+0.6x英雄等级)魔法伤害。[/blue]<br>[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成18额外魔法伤害，同时回复自身4（+[PA=6]）的生命值。[/blue]<br>[yellow]唯一被动 深寒惩戒：[/yellow][blue]【惩戒】可以对敌方英雄使用，造成少量真实伤害，并减速敌方40%，持续3秒。[/blue],1,,  
